Serial number,time,size,direction
1,0.0,102,1
2,0.274194,77,1
3,0.291543,77,-1
4,0.292934,66,1
5,0.922323,60,-1
6,1.267295,295,1
7,1.277201,1069,1
8,1.283862,60,-1
9,1.293822,60,-1
10,1.299084,1514,1
11,1.300606,1514,1
12,1.315686,371,1
13,1.315763,60,-1
14,1.316549,491,1
15,1.317337,60,-1
16,1.32585,491,1
17,1.327555,491,1
18,1.332196,60,-1
19,1.332199,99,-1
20,1.340575,491,1
21,1.341589,1365,1
22,1.34241,60,-1
23,1.35714,60,-1
24,1.357163,491,1
25,1.359055,491,1
26,1.361946,491,1
27,1.362149,928,1
28,1.365126,491,1
29,1.3665,491,1
30,1.373728,60,-1
31,1.377117,491,1
32,1.37806,491,1
33,1.378479,60,-1
34,1.381673,60,-1
35,1.393666,60,-1
36,1.403274,491,1
37,1.403414,211,-1
38,1.404655,491,1
39,1.409825,491,1
40,1.421232,60,-1
41,1.430184,1514,1
42,1.431948,1514,1
43,1.431978,1267,1
44,1.433432,795,1
45,1.446899,60,-1
46,1.448748,60,-1
47,1.479888,491,1
48,1.491301,60,-1
49,1.496533,60,-1
50,1.534386,491,1
51,1.551009,60,-1
52,1.562947,491,1
53,1.579581,60,-1
54,1.630899,491,1
55,1.647488,60,-1
56,1.67019,491,1
57,1.686713,60,-1
58,1.739146,491,1
59,1.755637,60,-1
60,1.766304,491,1
61,1.782798,60,-1
62,1.838053,491,1
63,1.854589,60,-1
64,1.875614,491,1
65,1.879979,150,-1
66,1.922317,54,1
67,1.925694,491,1
68,1.941215,60,-1
69,1.942188,60,-1
70,1.961413,491,1
71,1.977932,60,-1
72,2.029847,491,1
73,2.04645,60,-1
74,2.084381,491,1
75,2.100966,60,-1
76,2.121705,491,1
77,2.138247,60,-1
78,2.176735,491,1
79,2.19333,60,-1
80,2.236856,491,1
81,2.25341,60,-1
82,2.261967,491,1
83,2.278508,60,-1
84,2.334828,491,1
85,2.351377,60,-1
86,2.359764,491,1
87,2.376308,60,-1
88,2.426002,491,1
89,2.442617,60,-1
90,2.47055,491,1
91,2.487105,60,-1
92,2.518676,491,1
93,2.535333,60,-1
94,2.567162,491,1
95,2.583799,60,-1
96,2.632839,491,1
97,2.649571,60,-1
98,2.676586,491,1
99,2.693183,60,-1
100,2.727573,491,1
101,2.744096,60,-1
102,2.76245,491,1
103,2.778963,60,-1
104,2.837047,491,1
105,2.853597,60,-1
106,2.873943,491,1
107,2.890545,60,-1
108,2.922158,491,1
109,2.938766,60,-1
110,2.967711,491,1
111,2.984252,60,-1
112,3.034072,491,1
113,3.05078,60,-1
114,3.076429,491,1
115,3.093032,60,-1
116,3.12714,491,1
117,3.143716,60,-1
118,3.161625,491,1
119,3.178228,60,-1
120,3.238752,491,1
121,3.255283,60,-1
122,3.272509,491,1
123,3.289087,60,-1
124,3.32399,491,1
125,3.34059,60,-1
126,3.36898,491,1
127,3.385558,60,-1
128,3.443875,491,1
129,3.46048,60,-1
130,3.476154,491,1
131,3.492789,60,-1
132,3.528898,491,1
133,3.545464,60,-1
134,3.570328,491,1
135,3.58708,60,-1
136,3.587089,99,-1
137,3.589669,54,1
138,3.63096,491,1
139,3.677673,491,1
140,3.694278,60,-1
141,3.723677,491,1
142,3.775755,491,1
143,3.781237,60,-1
144,3.792296,60,-1
145,3.83822,491,1
146,3.857813,60,-1
147,3.876677,491,1
148,3.893259,60,-1
149,3.935527,491,1
150,3.952068,60,-1
151,3.964676,491,1
152,3.981217,60,-1
153,3.981218,99,-1
154,4.019355,54,1
155,4.022501,491,1
156,4.074652,491,1
157,4.081257,60,-1
158,4.091326,60,-1
159,4.119459,491,1
160,4.13606,60,-1
161,4.168303,491,1
162,4.184824,60,-1
163,4.234071,491,1
164,4.250652,60,-1
165,4.275699,491,1
166,4.292258,60,-1
167,4.3294,491,1
168,4.346008,60,-1
169,4.36612,491,1
170,4.382696,60,-1
171,4.429784,491,1
172,4.446377,60,-1
173,4.475846,491,1
174,4.492409,60,-1
175,4.523396,491,1
176,4.539933,60,-1
177,4.572462,491,1
178,4.589054,60,-1
179,4.638038,491,1
180,4.654702,60,-1
181,4.663201,491,1
182,4.679809,60,-1
183,4.733948,491,1
184,4.750484,60,-1
185,4.763182,491,1
186,4.779791,60,-1
187,4.835779,491,1
188,4.862279,60,-1
189,4.869594,491,1
190,4.88613,60,-1
191,4.987023,491,1
192,5.001311,491,1
193,5.003616,60,-1
194,5.017874,60,-1
195,5.081002,491,1
196,5.088442,491,1
197,5.09755,60,-1
198,5.105025,60,-1
199,5.129076,491,1
200,5.145792,60,-1
201,5.176216,491,1
202,5.192886,60,-1
203,5.242276,491,1
204,5.258845,60,-1
205,5.273052,491,1
206,5.289666,60,-1
207,5.327102,491,1
208,5.343648,60,-1
209,5.377439,491,1
210,5.393975,60,-1
211,5.442945,491,1
212,5.459534,60,-1
213,5.476318,491,1
214,5.492921,60,-1
215,5.534128,491,1
216,5.550713,60,-1
217,5.57934,491,1
218,5.595998,60,-1
219,5.639254,491,1
220,5.655928,60,-1
221,5.677609,491,1
222,5.694244,60,-1
223,5.723114,491,1
224,5.739775,60,-1
225,5.775602,491,1
226,5.804085,60,-1
227,5.834603,491,1
228,5.851158,60,-1
229,5.862979,491,1
230,5.879489,60,-1
231,5.934969,491,1
232,5.951601,60,-1
233,5.963067,491,1
234,5.979568,60,-1
235,6.03981,491,1
236,6.056338,60,-1
237,6.075997,491,1
238,6.092559,60,-1
239,6.123128,491,1
240,6.139687,60,-1
241,6.181194,491,1
242,6.197824,60,-1
