Serial number,time,size,direction
1,0.0,288,1
2,0.010339,1514,1
3,0.011669,386,1
4,0.017303,60,-1
5,0.027885,60,-1
6,0.029116,60,-1
7,0.046914,1514,1
8,0.04863,1505,1
9,0.04866,491,1
10,0.052564,491,1
11,0.055855,491,1
12,0.064354,60,-1
13,0.066087,60,-1
14,0.066089,60,-1
15,0.069837,60,-1
16,0.073144,60,-1
17,0.075963,491,1
18,0.076353,491,1
19,0.076383,491,1
20,0.081272,491,1
21,0.081931,491,1
22,0.08293,491,1
23,0.087858,491,1
24,0.088786,491,1
25,0.093334,60,-1
26,0.093694,60,-1
27,0.093696,60,-1
28,0.098585,60,-1
29,0.09921,60,-1
30,0.100239,60,-1
31,0.105186,60,-1
32,0.106092,60,-1
33,0.122918,1291,1
34,0.129733,1514,1
35,0.130438,1514,1
36,0.130468,1514,1
37,0.132286,1514,1
38,0.132316,1514,1
39,0.132338,1020,1
40,0.13236,699,1
41,0.140344,60,-1
42,0.147169,60,-1
43,0.147871,60,-1
44,0.147872,60,-1
45,0.149724,60,-1
46,0.149726,60,-1
47,0.1499,60,-1
48,0.149903,60,-1
49,0.149904,99,-1
50,0.153354,491,1
51,0.165417,217,-1
52,0.166761,54,1
53,0.187755,491,1
54,0.205051,60,-1
55,0.25904,491,1
56,0.29256,491,1
57,0.30989,60,-1
58,0.350075,491,1
59,0.391694,491,1
60,0.407616,60,-1
61,0.408995,60,-1
62,0.451351,491,1
63,0.468667,60,-1
64,0.490317,491,1
65,0.507638,60,-1
66,0.54758,491,1
67,0.56493,60,-1
68,0.606663,491,1
69,0.623984,60,-1
70,0.65331,491,1
71,0.670641,60,-1
72,0.689209,491,1
73,0.706515,60,-1
74,0.754932,491,1
75,0.77236,60,-1
76,0.78789,491,1
77,0.805284,60,-1
78,0.844603,491,1
79,0.861947,60,-1
80,0.893282,491,1
81,0.9107,60,-1
82,0.954465,491,1
83,0.971797,60,-1
84,0.986511,491,1
85,1.003765,60,-1
86,1.057875,491,1
87,1.075427,60,-1
88,1.087663,491,1
89,1.104926,60,-1
90,1.175984,491,1
91,1.187573,491,1
92,1.193321,60,-1
93,1.204857,60,-1
94,1.253648,491,1
95,1.271018,60,-1
96,1.331635,491,1
97,1.348979,60,-1
98,1.350907,491,1
99,1.368271,60,-1
100,1.432386,491,1
101,1.44995,60,-1
102,1.459182,491,1
103,1.476605,60,-1
104,1.48913,491,1
105,1.506481,60,-1
106,1.592105,491,1
107,1.592422,491,1
108,1.609381,60,-1
109,1.609677,60,-1
110,1.642833,491,1
111,1.660126,60,-1
112,1.7145,491,1
113,1.731835,60,-1
114,1.748026,491,1
115,1.765361,60,-1
116,1.788689,491,1
117,1.806236,60,-1
118,1.854749,491,1
119,1.872158,60,-1
120,1.886513,491,1
121,1.903946,60,-1
122,1.995187,491,1
123,1.995415,491,1
124,2.012574,60,-1
125,2.012576,60,-1
126,2.115257,491,1
127,2.127386,491,1
128,2.132595,60,-1
129,2.132596,99,-1
130,2.149481,491,1
131,2.166779,60,-1
132,2.235597,491,1
133,2.263596,491,1
134,2.280838,60,-1
135,2.28628,150,-1
136,2.287592,491,1
137,2.322331,54,1
138,2.347639,60,-1
139,2.359847,491,1
140,2.377831,60,-1
141,2.396323,491,1
142,2.413667,60,-1
143,2.479488,491,1
144,2.496917,60,-1
145,2.523581,491,1
146,2.540878,60,-1
147,2.57978,491,1
148,2.588146,491,1
149,2.597235,60,-1
150,2.605488,60,-1
151,2.659564,491,1
152,2.676975,60,-1
153,2.689741,491,1
154,2.707159,60,-1
155,2.751747,174,-1
156,2.782333,491,1
157,2.78249,54,1
158,2.788088,491,1
159,2.79972,60,-1
160,2.805607,60,-1
161,2.857869,491,1
162,2.875268,60,-1
163,2.927278,491,1
164,2.944704,60,-1
165,2.955446,491,1
166,2.972807,60,-1
167,2.994294,491,1
168,3.011696,60,-1
169,3.057184,491,1
170,3.074586,60,-1
171,3.086012,491,1
172,3.103498,60,-1
173,3.110384,221,-1
174,3.110711,1514,-1
175,3.110918,1041,-1
176,3.116498,1514,-1
177,3.116653,1514,-1
178,3.116654,1267,-1
179,3.116799,640,-1
180,3.118908,54,1
181,3.11901,54,1
182,3.11926,54,1
183,3.149122,491,1
184,3.151706,1514,-1
185,3.151827,1514,-1
186,3.151895,1267,-1
187,3.152028,1514,-1
188,3.152098,1514,-1
189,3.152256,328,-1
190,3.152257,1030,-1
191,3.152382,1514,-1
192,3.152485,1514,-1
193,3.152681,1267,-1
194,3.166656,1514,-1
195,3.166839,1514,-1
196,3.190083,54,1
197,3.190263,54,1
198,3.190408,54,1
199,3.190496,54,1
200,3.190566,54,1
201,3.190644,54,1
202,3.190876,491,1
203,3.207472,1514,-1
204,3.207597,1514,-1
205,3.207718,1514,-1
206,3.207854,1514,-1
207,3.207973,1514,-1
208,3.208093,1514,-1
209,3.208225,1514,-1
210,3.208328,1514,-1
211,3.208452,1514,-1
212,3.208572,1514,-1
213,3.208702,1514,-1
214,3.208817,1514,-1
215,3.208946,1514,-1
216,3.209063,1514,-1
217,3.209197,1514,-1
218,3.20938,1514,-1
219,3.210236,54,1
220,3.211117,54,1
221,3.211193,54,1
222,3.213984,54,1
223,3.214062,54,1
224,3.214936,99,1
225,3.215021,99,1
226,3.215779,54,1
227,3.216388,54,1
228,3.227624,1514,-1
229,3.22782,1514,-1
230,3.228476,1514,-1
231,3.228606,1514,-1
232,3.22872,1514,-1
233,3.228918,1514,-1
234,3.231342,1514,-1
235,3.23147,1514,-1
236,3.231591,1514,-1
237,3.231786,1514,-1
238,3.232278,60,-1
239,3.233179,1514,-1
240,3.233373,1514,-1
241,3.233783,1514,-1
242,3.233913,1514,-1
243,3.234032,1514,-1
244,3.234249,1514,-1
245,3.247525,491,1
246,3.247688,54,1
247,3.247838,54,1
248,3.247978,54,1
249,3.248057,54,1
250,3.248201,54,1
251,3.248341,54,1
252,3.24841,54,1
253,3.248483,54,1
254,3.265063,1514,-1
255,3.265173,1514,-1
256,3.265294,1514,-1
257,3.265418,1514,-1
258,3.265542,1514,-1
259,3.265659,1514,-1
260,3.265728,1514,-1
261,3.265901,849,-1
262,3.282605,99,1
263,3.282685,54,1
264,3.282821,54,1
265,3.282892,54,1
266,3.282974,99,1
267,3.300221,60,-1
268,3.309835,491,1
269,3.33506,91,1
270,3.335133,91,1
271,3.352284,60,-1
272,3.380548,395,1
273,3.397673,60,-1
274,3.397914,60,-1
275,3.533998,161,-1
276,3.574329,154,-1
277,3.590027,54,1
278,3.590135,54,1
