Serial number,time,size,direction
1,0.0,285,1
2,0.016552,60,-1
3,0.031712,1514,1
4,0.033063,347,1
5,0.04361,1514,1
6,0.044931,231,1
7,0.048585,60,-1
8,0.049689,60,-1
9,0.060261,60,-1
10,0.061399,60,-1
11,0.065023,491,1
12,0.065609,1514,1
13,0.065639,1514,1
14,0.071447,371,1
15,0.081535,60,-1
16,0.082366,60,-1
17,0.082369,60,-1
18,0.088219,60,-1
19,0.092853,491,1
20,0.096191,491,1
21,0.097525,491,1
22,0.09869,491,1
23,0.099324,491,1
24,0.100316,491,1
25,0.105092,1514,1
26,0.109383,60,-1
27,0.11086,1514,1
28,0.112662,60,-1
29,0.114055,60,-1
30,0.114214,1514,1
31,0.115172,60,-1
32,0.115766,1514,1
33,0.115886,60,-1
34,0.116461,110,1
35,0.116834,60,-1
36,0.11885,1514,1
37,0.120237,631,1
38,0.121817,60,-1
39,0.125641,891,1
40,0.130942,60,-1
41,0.133094,60,-1
42,0.136786,60,-1
43,0.142233,60,-1
44,0.152483,218,-1
45,0.160439,1514,1
46,0.160764,668,1
47,0.162179,54,1
48,0.177338,60,-1
49,0.19128,491,1
50,0.256547,60,-1
51,0.271297,491,1
52,0.28404,491,1
53,0.288583,60,-1
54,0.300609,60,-1
55,0.347622,491,1
56,0.365484,60,-1
57,0.385835,491,1
58,0.402911,60,-1
59,0.439134,491,1
60,0.455766,60,-1
61,0.499273,491,1
62,0.515924,60,-1
63,0.546733,491,1
64,0.563358,60,-1
65,0.587185,491,1
66,0.603845,60,-1
67,0.651113,491,1
68,0.667734,60,-1
69,0.682172,491,1
70,0.698894,60,-1
71,0.746475,491,1
72,0.763178,60,-1
73,0.785209,491,1
74,0.802466,60,-1
75,0.858137,491,1
76,0.874748,60,-1
77,0.887599,491,1
78,0.904194,60,-1
79,0.948594,491,1
80,0.965165,60,-1
81,0.984648,491,1
82,1.00114,60,-1
83,1.05195,491,1
84,1.06913,60,-1
85,1.079102,491,1
86,1.09562,60,-1
87,1.14996,491,1
88,1.166659,60,-1
89,1.185856,491,1
90,1.202605,60,-1
91,1.240927,491,1
92,1.257583,60,-1
93,1.289152,491,1
94,1.30588,60,-1
95,1.338791,491,1
96,1.35552,60,-1
97,1.385581,491,1
98,1.402423,60,-1
99,1.451963,491,1
100,1.468724,60,-1
101,1.484008,491,1
102,1.500878,60,-1
103,1.559806,491,1
104,1.576811,60,-1
105,1.592321,491,1
106,1.608923,60,-1
107,1.608925,99,-1
108,1.641326,54,1
109,1.645327,491,1
110,1.694785,491,1
111,1.706649,60,-1
112,1.711407,60,-1
113,1.748263,491,1
114,1.764931,60,-1
115,1.784766,491,1
116,1.801408,60,-1
117,1.851179,491,1
118,1.869323,60,-1
119,1.884251,491,1
120,1.901134,60,-1
121,1.953014,491,1
122,1.969538,60,-1
123,1.986778,491,1
124,2.003253,60,-1
125,2.003253,99,-1
126,2.005326,54,1
127,2.041938,491,1
128,2.106653,60,-1
129,2.16942,491,1
130,2.186018,60,-1
131,2.197138,491,1
132,2.199467,491,1
133,2.213804,60,-1
134,2.216115,60,-1
135,2.271429,491,1
136,2.288159,60,-1
137,2.338413,491,1
138,2.346183,491,1
139,2.354996,60,-1
140,2.363197,60,-1
141,2.391475,491,1
142,2.408024,60,-1
143,2.447214,491,1
144,2.463699,60,-1
145,2.487723,491,1
146,2.504206,60,-1
147,2.551048,491,1
148,2.567758,60,-1
149,2.589939,491,1
150,2.606506,60,-1
151,2.656652,491,1
152,2.673186,60,-1
153,2.680028,491,1
154,2.696857,60,-1
155,2.791631,491,1
156,2.792215,491,1
157,2.808251,60,-1
158,2.808834,60,-1
159,2.84131,491,1
160,2.858264,60,-1
161,2.890113,491,1
162,2.906765,60,-1
163,2.958937,491,1
164,2.975505,60,-1
165,2.986774,491,1
166,3.003295,60,-1
167,3.047682,491,1
168,3.064359,60,-1
169,3.080814,491,1
170,3.097319,60,-1
171,3.151811,491,1
172,3.168317,60,-1
173,3.185764,491,1
174,3.20234,60,-1
175,3.24739,491,1
176,3.264144,60,-1
177,3.29353,491,1
178,3.310129,60,-1
179,3.348495,491,1
180,3.365042,60,-1
181,3.391495,491,1
182,3.407981,60,-1
183,3.44261,152,-1
184,3.447074,54,1
185,3.452462,491,1
186,3.482507,491,1
187,3.498952,60,-1
