Serial number,time,size,direction
1,0.0,289,1
2,0.000342,959,1
3,0.015291,1514,1
4,0.01657,60,-1
5,0.016915,60,-1
6,0.029278,231,1
7,0.029691,1514,1
8,0.031049,268,1
9,0.031987,60,-1
10,0.045786,60,-1
11,0.04636,60,-1
12,0.047653,60,-1
13,0.094401,491,1
14,0.095059,1514,1
15,0.095091,1514,1
16,0.095117,1514,1
17,0.095168,1514,1
18,0.09521,1514,1
19,0.095535,620,1
20,0.095563,491,1
21,0.095613,491,1
22,0.095675,491,1
23,0.111015,60,-1
24,0.111788,60,-1
25,0.11179,60,-1
26,0.111973,60,-1
27,0.112112,60,-1
28,0.112114,60,-1
29,0.112288,60,-1
30,0.112292,60,-1
31,0.112293,60,-1
32,0.112295,60,-1
33,0.112778,1514,1
34,0.1139,1514,1
35,0.114337,1067,1
36,0.119285,214,-1
37,0.126497,54,1
38,0.130551,60,-1
39,0.17675,60,-1
40,0.176966,491,1
41,0.19349,60,-1
42,0.207418,491,1
43,0.224,60,-1
44,0.278605,491,1
45,0.295273,60,-1
46,0.30227,491,1
47,0.318826,60,-1
48,0.390932,491,1
49,0.407485,60,-1
50,0.418447,491,1
51,0.43499,60,-1
52,0.467328,491,1
53,0.483875,60,-1
54,0.514697,491,1
55,0.531272,60,-1
56,0.582253,491,1
57,0.601186,60,-1
58,0.607136,491,1
59,0.623737,60,-1
60,0.673427,491,1
61,0.689977,60,-1
62,0.705015,491,1
63,0.721713,60,-1
64,0.721718,99,-1
65,0.725721,54,1
66,0.794367,491,1
67,0.816752,491,1
68,0.833376,60,-1
69,0.864148,491,1
70,0.926402,491,1
71,0.926831,60,-1
72,0.942991,60,-1
73,0.982837,491,1
74,0.999392,60,-1
75,1.005658,491,1
76,1.022291,60,-1
77,1.076259,491,1
78,1.092837,60,-1
79,1.121395,491,1
80,1.137935,60,-1
81,1.175042,491,1
82,1.191569,60,-1
83,1.24621,491,1
84,1.262394,491,1
85,1.262806,60,-1
86,1.279009,60,-1
87,1.372232,491,1
88,1.388702,491,1
89,1.388779,60,-1
90,1.405343,60,-1
91,1.411367,491,1
92,1.428003,60,-1
93,1.502549,491,1
94,1.519093,60,-1
95,1.522086,491,1
96,1.53859,60,-1
97,1.575472,491,1
98,1.592003,60,-1
99,1.62895,491,1
100,1.645521,60,-1
101,1.687467,491,1
102,1.70399,60,-1
103,1.712447,491,1
104,1.729147,60,-1
105,1.84727,491,1
106,1.848136,491,1
107,1.864098,60,-1
108,1.864735,60,-1
109,1.872761,491,1
110,1.889424,60,-1
111,1.906999,491,1
112,1.923569,60,-1
113,1.973077,491,1
114,1.98963,60,-1
115,2.019,491,1
116,2.035517,60,-1
117,2.061936,491,1
118,2.067244,152,-1
119,2.118401,491,1
120,2.118493,54,1
121,2.126759,60,-1
122,2.135004,60,-1
123,2.194575,491,1
124,2.206832,491,1
125,2.211109,60,-1
126,2.223444,60,-1
127,2.278104,491,1
128,2.294828,60,-1
129,2.294834,99,-1
130,2.296936,54,1
131,2.303299,491,1
132,2.366769,60,-1
133,2.371826,491,1
134,2.387733,172,-1
135,2.388362,60,-1
136,2.425111,491,1
137,2.441763,60,-1
138,2.461557,491,1
139,2.478078,60,-1
140,2.518733,491,1
141,2.535257,60,-1
142,2.57946,491,1
143,2.586615,215,-1
144,2.587071,1514,-1
145,2.58728,724,-1
146,2.589365,54,1
147,2.592648,1514,-1
148,2.592748,1514,-1
149,2.592826,1267,-1
150,2.59304,747,-1
151,2.593043,91,-1
152,2.595535,54,1
153,2.595665,54,1
154,2.596021,60,-1
155,2.624318,54,1
156,2.624753,491,1
157,2.641253,60,-1
158,2.672469,491,1
159,2.688986,60,-1
160,2.719663,91,1
161,2.719796,91,1
162,2.736187,60,-1
163,2.736189,60,-1
164,2.749487,303,1
165,2.766023,60,-1
166,2.997108,159,-1
167,3.018614,153,-1
168,3.020149,54,1
