Serial number,time,size,direction
1,0.0,285,1
2,0.019249,60,-1
3,0.03323,1078,1
4,0.033705,783,1
5,0.033734,1078,1
6,0.033758,1078,1
7,0.033782,117,1
8,0.035212,491,1
9,0.03524,491,1
10,0.035263,491,1
11,0.035285,491,1
12,0.037987,491,1
13,0.050821,60,-1
14,0.051205,60,-1
15,0.051207,60,-1
16,0.051437,60,-1
17,0.051639,99,-1
18,0.05316,60,-1
19,0.055536,60,-1
20,0.057703,891,1
21,0.070466,491,1
22,0.077649,1078,1
23,0.079467,1078,1
24,0.079499,1078,1
25,0.079522,1078,1
26,0.081039,432,1
27,0.081812,491,1
28,0.082809,491,1
29,0.083501,491,1
30,0.088124,60,-1
31,0.09014,1078,1
32,0.091506,1078,1
33,0.097091,60,-1
34,0.097252,60,-1
35,0.099356,60,-1
36,0.101004,60,-1
37,0.109141,60,-1
38,0.11227,1078,1
39,0.112628,915,1
40,0.114793,491,1
41,0.130203,60,-1
42,0.157027,219,-1
43,0.173998,491,1
44,0.215944,491,1
45,0.233309,60,-1
46,0.23348,60,-1
47,0.278221,491,1
48,0.295743,60,-1
49,0.310076,491,1
50,0.327579,60,-1
51,0.376865,491,1
52,0.39444,60,-1
53,0.401616,491,1
54,0.41913,60,-1
55,0.480199,491,1
56,0.497724,60,-1
57,0.513674,491,1
58,0.531264,60,-1
59,0.564065,491,1
60,0.581749,60,-1
61,0.611145,491,1
62,0.628976,60,-1
63,0.682025,491,1
64,0.699883,60,-1
65,0.714353,491,1
66,0.732087,60,-1
67,0.780886,491,1
68,0.798577,60,-1
69,0.799456,491,1
70,0.81697,60,-1
71,0.871036,491,1
72,0.888548,60,-1
73,0.916232,491,1
74,0.93679,60,-1
75,0.963673,491,1
76,0.981219,60,-1
77,1.02483,491,1
78,1.043195,60,-1
79,1.08636,491,1
80,1.104004,60,-1
81,1.105388,491,1
82,1.122968,60,-1
83,1.177479,491,1
84,1.195171,60,-1
85,1.199585,491,1
86,1.217206,60,-1
87,1.270599,491,1
88,1.288236,60,-1
89,1.31583,491,1
90,1.333393,60,-1
91,1.382142,491,1
92,1.399698,60,-1
93,1.411491,491,1
94,1.429307,60,-1
95,1.47504,491,1
96,1.492697,60,-1
97,1.505398,491,1
98,1.522911,60,-1
99,1.57322,491,1
100,1.590826,60,-1
101,1.600582,491,1
102,1.618398,60,-1
103,1.670702,491,1
104,1.688391,60,-1
105,1.719463,491,1
106,1.737714,60,-1
107,1.764368,491,1
108,1.782238,60,-1
109,1.821873,491,1
110,1.839384,60,-1
111,1.875324,491,1
112,1.892853,60,-1
113,1.914811,491,1
114,1.932271,60,-1
115,1.973311,491,1
116,1.99079,60,-1
117,2.009956,491,1
118,2.019058,149,-1
119,2.07355,60,-1
120,2.088363,54,1
121,2.088547,491,1
122,2.106563,60,-1
123,2.116164,491,1
124,2.133752,60,-1
125,2.17329,491,1
126,2.190957,60,-1
127,2.219211,491,1
128,2.236911,60,-1
129,2.257256,173,-1
130,2.273309,54,1
131,2.292712,491,1
132,2.358453,491,1
133,2.363327,60,-1
134,2.370944,491,1
135,2.37597,60,-1
136,2.388446,60,-1
137,2.388448,99,-1
138,2.406039,491,1
139,2.47337,60,-1
140,2.474296,491,1
141,2.492061,60,-1
142,2.505502,211,-1
143,2.505862,1514,-1
144,2.505975,1514,-1
145,2.50615,1014,-1
146,2.510785,54,1
147,2.510939,1514,-1
148,2.511168,1514,-1
149,2.511757,54,1
150,2.514333,54,1
151,2.528785,1514,-1
152,2.528787,61,-1
153,2.542756,54,1
154,2.549579,491,1
155,2.549711,99,1
156,2.556035,1514,-1
157,2.556139,1514,-1
158,2.556366,1267,-1
159,2.559438,54,1
160,2.560524,1514,-1
161,2.560648,1514,-1
162,2.560872,1514,-1
163,2.562947,54,1
164,2.565251,54,1
165,2.567203,60,-1
166,2.577038,1514,-1
167,2.577253,1514,-1
168,2.58054,1514,-1
169,2.580765,1514,-1
170,2.582872,1514,-1
171,2.582998,1514,-1
172,2.583131,1514,-1
173,2.583342,1514,-1
174,2.597892,54,1
175,2.598193,54,1
176,2.59832,54,1
177,2.600432,54,1
178,2.601754,491,1
179,2.615621,1514,-1
180,2.615983,1514,-1
181,2.615986,1514,-1
182,2.61599,1514,-1
183,2.616111,1514,-1
184,2.616314,1514,-1
185,2.618169,1514,-1
186,2.618378,1514,-1
187,2.622346,54,1
188,2.622614,54,1
189,2.622758,54,1
190,2.640012,1514,-1
191,2.640224,828,-1
192,2.645532,54,1
193,2.645765,54,1
194,2.648288,491,1
195,2.648478,99,1
196,2.666045,60,-1
197,2.67807,91,1
198,2.678375,91,1
199,2.696018,60,-1
200,2.706688,396,1
201,2.773344,60,-1
202,2.987022,158,-1
203,3.010752,150,-1
204,3.012146,54,1
