Serial number,time,size,direction
1,0.0,284,1
2,0.013397,944,1
3,0.029708,60,-1
4,0.067052,491,1
5,0.084101,491,1
6,0.085525,491,1
7,0.100399,60,-1
8,0.14344,217,-1
9,0.147985,54,1
10,0.186717,491,1
11,0.192854,491,1
12,0.20308,99,-1
13,0.214978,491,1
14,0.216879,491,1
15,0.216907,491,1
16,0.216929,491,1
17,0.216962,491,1
18,0.231278,60,-1
19,0.232904,1514,1
20,0.233217,60,-1
21,0.233219,60,-1
22,0.234319,1514,1
23,0.235008,1514,1
24,0.235371,918,1
25,0.240131,491,1
26,0.240739,491,1
27,0.250706,60,-1
28,0.251716,60,-1
29,0.252204,1514,1
30,0.253353,1514,1
31,0.254912,1514,1
32,0.254942,481,1
33,0.256988,60,-1
34,0.26981,60,-1
35,0.271388,60,-1
36,0.294369,491,1
37,0.322213,491,1
38,0.338513,60,-1
39,0.388124,491,1
40,0.447716,491,1
41,0.464486,60,-1
42,0.485932,491,1
43,0.537771,491,1
44,0.554091,60,-1
45,0.600062,491,1
46,0.625738,491,1
47,0.642054,60,-1
48,0.698571,491,1
49,0.721298,491,1
50,0.734396,156,-1
51,0.766176,54,1
52,0.784256,60,-1
53,0.794303,491,1
54,0.810703,60,-1
55,0.836994,491,1
56,0.853411,60,-1
57,0.884851,491,1
58,0.901268,60,-1
59,0.931886,491,1
60,0.948246,60,-1
61,0.995519,491,1
62,1.011868,60,-1
63,1.027455,491,1
64,1.043979,60,-1
65,1.092603,491,1
66,1.109066,60,-1
67,1.14774,491,1
68,1.16416,60,-1
69,1.184274,491,1
70,1.200611,60,-1
71,1.239957,491,1
72,1.256361,60,-1
73,1.284954,491,1
74,1.301304,60,-1
75,1.332061,491,1
76,1.34842,60,-1
77,1.395934,491,1
78,1.412356,60,-1
79,1.4392,491,1
80,1.45557,60,-1
81,1.496954,491,1
82,1.51337,60,-1
83,1.523196,491,1
84,1.539656,60,-1
85,1.606423,491,1
86,1.622761,60,-1
87,1.63582,491,1
88,1.652153,60,-1
89,1.684236,491,1
90,1.700724,60,-1
91,1.735912,491,1
92,1.752198,60,-1
93,1.799875,491,1
94,1.816163,60,-1
95,1.84445,491,1
96,1.860714,60,-1
97,1.89495,491,1
98,1.911354,60,-1
99,1.92661,491,1
100,1.943002,60,-1
101,1.99054,491,1
102,2.046718,491,1
103,2.054338,60,-1
104,2.10425,60,-1
105,2.128227,491,1
106,2.132965,491,1
107,2.194259,60,-1
108,2.216939,491,1
109,2.233225,60,-1
110,2.264921,491,1
111,2.281195,60,-1
112,2.290982,491,1
113,2.307367,60,-1
114,2.339869,491,1
115,2.356299,60,-1
116,2.406074,491,1
117,2.415942,173,-1
118,2.418996,54,1
119,2.436719,491,1
120,2.453059,60,-1
121,2.506107,491,1
122,2.564361,60,-1
123,2.586698,491,1
124,2.597543,491,1
125,2.603114,60,-1
126,2.613902,60,-1
127,2.613905,99,-1
128,2.662982,359,-1
129,2.663337,1514,-1
130,2.663411,1514,-1
131,2.663604,1048,-1
132,2.667936,1514,-1
133,2.668042,1514,-1
134,2.668257,1267,-1
135,2.668258,226,-1
136,2.675488,491,1
137,2.718897,1514,-1
138,2.719094,1514,-1
139,2.732152,491,1
140,2.732424,491,1
141,2.732441,54,1
142,2.732513,54,1
143,2.733295,54,1
144,2.734125,54,1
145,2.748862,1514,-1
146,2.748982,1514,-1
147,2.749106,1514,-1
148,2.749307,1514,-1
149,2.749643,1514,-1
150,2.749771,1514,-1
151,2.749886,1514,-1
152,2.750092,1514,-1
153,2.750517,1514,-1
154,2.750561,54,1
155,2.750719,1514,-1
156,2.751722,54,1
157,2.753203,54,1
158,2.755205,54,1
159,2.755283,54,1
160,2.76322,99,1
161,2.766924,1514,-1
162,2.767057,1514,-1
163,2.767246,1514,-1
164,2.768039,1514,-1
165,2.768243,1514,-1
166,2.768924,54,1
167,2.769541,1514,-1
168,2.769747,1514,-1
169,2.769899,54,1
170,2.771505,1514,-1
171,2.771636,1514,-1
172,2.771758,1514,-1
173,2.77195,1514,-1
174,2.77222,54,1
175,2.773334,54,1
176,2.775584,54,1
177,2.779619,1514,-1
178,2.781067,54,1
179,2.785278,1514,-1
180,2.785481,1514,-1
181,2.786216,1514,-1
182,2.78641,1514,-1
183,2.787446,54,1
184,2.788586,1514,-1
185,2.788721,54,1
186,2.788796,1514,-1
187,2.789667,1514,-1
188,2.789842,994,-1
189,2.792169,491,1
190,2.792436,54,1
191,2.792515,54,1
192,2.792591,99,1
193,2.808507,99,-1
194,2.851547,54,1
195,2.854205,60,-1
196,2.858621,491,1
197,2.874908,60,-1
198,2.891617,491,1
199,2.907941,60,-1
200,2.932266,91,1
201,2.932418,91,1
202,2.948646,60,-1
203,2.948651,60,-1
204,3.003577,301,1
205,3.019949,60,-1
206,3.077796,158,-1
207,3.082711,54,1
208,3.102282,154,-1
209,3.104216,54,1
