Serial number,time,size,direction
1,0.0,285,1
2,0.00037,983,1
3,0.011751,1291,1
4,0.016336,60,-1
5,0.016746,60,-1
6,0.018954,1514,1
7,0.020314,631,1
8,0.028149,60,-1
9,0.035358,60,-1
10,0.036588,60,-1
11,0.03752,99,-1
12,0.03995,54,1
13,0.044611,1514,1
14,0.045988,631,1
15,0.050102,891,1
16,0.054142,891,1
17,0.055583,491,1
18,0.056342,491,1
19,0.057323,491,1
20,0.062265,60,-1
21,0.063894,928,1
22,0.070552,60,-1
23,0.072629,60,-1
24,0.080291,60,-1
25,0.08061,1514,1
26,0.112243,231,1
27,0.113013,1514,1
28,0.113046,1514,1
29,0.113072,445,1
30,0.12847,60,-1
31,0.129546,60,-1
32,0.137451,215,-1
33,0.156046,491,1
34,0.17784,491,1
35,0.194095,60,-1
36,0.225848,491,1
37,0.28784,60,-1
38,0.290427,491,1
39,0.306657,60,-1
40,0.33489,491,1
41,0.351181,60,-1
42,0.387731,491,1
43,0.40404,60,-1
44,0.41582,491,1
45,0.432149,60,-1
46,0.478083,491,1
47,0.49443,60,-1
48,0.526445,491,1
49,0.54273,60,-1
50,0.574242,491,1
51,0.590625,60,-1
52,0.621978,491,1
53,0.638366,60,-1
54,0.641324,150,-1
55,0.683256,54,1
56,0.693234,491,1
57,0.718593,491,1
58,0.735107,60,-1
59,0.809833,491,1
60,0.81513,491,1
61,0.831442,60,-1
62,0.878143,491,1
63,0.930493,491,1
64,0.937932,60,-1
65,0.946752,60,-1
66,0.977225,491,1
67,0.99357,60,-1
68,1.025573,491,1
69,1.041822,60,-1
70,1.09084,491,1
71,1.107076,60,-1
72,1.123009,491,1
73,1.139391,60,-1
74,1.188589,491,1
75,1.204989,60,-1
76,1.213691,491,1
77,1.229985,60,-1
78,1.28697,491,1
79,1.303253,60,-1
80,1.328633,491,1
81,1.344877,60,-1
82,1.374975,491,1
83,1.391259,60,-1
84,1.423969,491,1
85,1.440258,60,-1
86,1.509958,491,1
87,1.521378,491,1
88,1.526264,60,-1
89,1.537655,60,-1
90,1.587626,491,1
91,1.603943,60,-1
92,1.621297,491,1
93,1.63765,60,-1
94,1.686705,491,1
95,1.703095,60,-1
96,1.73079,491,1
97,1.747119,60,-1
98,1.778872,491,1
99,1.795294,60,-1
100,1.827013,491,1
101,1.843258,60,-1
102,1.890723,491,1
103,1.906957,60,-1
104,1.92106,491,1
105,1.937373,60,-1
106,1.986391,491,1
107,2.002845,60,-1
108,2.018235,491,1
109,2.034498,60,-1
110,2.084039,491,1
111,2.10032,60,-1
112,2.127286,491,1
113,2.143545,60,-1
114,2.176517,491,1
115,2.192881,60,-1
116,2.218781,173,-1
117,2.2202,54,1
118,2.228669,491,1
119,2.289709,491,1
120,2.297825,60,-1
121,2.306004,60,-1
122,2.321536,491,1
123,2.337783,60,-1
124,2.386699,491,1
125,2.403024,60,-1
126,2.443594,491,1
127,2.445851,213,-1
128,2.446281,1514,-1
129,2.446493,779,-1
130,2.449155,54,1
131,2.45294,1514,-1
132,2.453045,1514,-1
133,2.453133,1267,-1
134,2.453333,1136,-1
135,2.4549,54,1
136,2.459255,54,1
137,2.484301,491,1
138,2.499956,1514,-1
139,2.500076,1514,-1
140,2.500165,1267,-1
141,2.500288,1514,-1
142,2.50037,1514,-1
143,2.500517,328,-1
144,2.500519,1030,-1
145,2.500657,1514,-1
146,2.500768,1514,-1
147,2.500891,1514,-1
148,2.501096,1514,-1
149,2.50274,54,1
150,2.503939,54,1
151,2.504766,54,1
152,2.505753,54,1
153,2.51247,54,1
154,2.519195,1514,-1
155,2.519331,1514,-1
156,2.519334,189,-1
157,2.521765,54,1
158,2.522017,54,1
159,2.524064,1514,-1
160,2.524164,1514,-1
161,2.524276,1267,-1
162,2.524401,1514,-1
163,2.524486,1514,-1
164,2.524663,334,-1
165,2.524665,514,-1
166,2.52756,54,1
167,2.528296,54,1
168,2.528532,54,1
169,2.528768,99,1
170,2.529029,1514,-1
171,2.529263,1514,-1
172,2.531782,491,1
173,2.538134,1514,-1
174,2.53826,1514,-1
175,2.538393,1514,-1
176,2.538491,1514,-1
177,2.538637,697,-1
178,2.542878,54,1
179,2.543006,99,1
180,2.54395,54,1
181,2.544034,1514,-1
182,2.544259,1514,-1
183,2.544684,1514,-1
184,2.54481,1514,-1
185,2.544952,1514,-1
186,2.545151,1514,-1
187,2.546517,54,1
188,2.548264,1514,-1
189,2.548499,1514,-1
190,2.54902,54,1
191,2.549166,54,1
192,2.55149,54,1
193,2.559266,1514,-1
194,2.559488,1514,-1
195,2.560318,1514,-1
196,2.56053,1514,-1
197,2.561716,54,1
198,2.562734,54,1
199,2.562948,1514,-1
200,2.563085,1514,-1
201,2.563087,353,-1
202,2.564976,54,1
203,2.565337,54,1
204,2.579589,491,1
205,2.603471,157,-1
206,2.622829,491,1
207,2.682987,91,1
208,2.683315,91,1
209,2.687984,60,-1
210,2.697723,302,1
211,2.699277,60,-1
212,2.699554,60,-1
213,2.714115,60,-1
214,2.83737,148,-1
215,2.882952,54,1
