Serial number,time,size,direction
1,0.0,291,1
2,0.013299,965,1
3,0.016254,60,-1
4,0.029655,60,-1
5,0.057478,1514,1
6,0.059964,231,1
7,0.06063,491,1
8,0.061687,491,1
9,0.072355,1514,1
10,0.07257,231,1
11,0.073822,60,-1
12,0.076151,60,-1
13,0.076763,60,-1
14,0.077174,491,1
15,0.077901,60,-1
16,0.084716,1514,1
17,0.086159,631,1
18,0.088704,60,-1
19,0.088706,60,-1
20,0.093446,60,-1
21,0.101045,60,-1
22,0.102474,60,-1
23,0.128527,1514,1
24,0.128834,1514,1
25,0.130841,1514,1
26,0.130857,1514,1
27,0.130869,1514,1
28,0.13088,428,1
29,0.136796,219,-1
30,0.145169,60,-1
31,0.147325,60,-1
32,0.147326,60,-1
33,0.147493,99,-1
34,0.183075,491,1
35,0.18328,491,1
36,0.199593,60,-1
37,0.212401,54,1
38,0.247529,491,1
39,0.290384,491,1
40,0.306695,60,-1
41,0.352768,491,1
42,0.395949,491,1
43,0.410248,60,-1
44,0.412175,60,-1
45,0.439177,491,1
46,0.455506,60,-1
47,0.486682,491,1
48,0.502974,60,-1
49,0.556567,491,1
50,0.5728,60,-1
51,0.58169,491,1
52,0.597919,60,-1
53,0.647538,491,1
54,0.663779,60,-1
55,0.678882,491,1
56,0.695189,60,-1
57,0.748947,491,1
58,0.765283,60,-1
59,0.792957,491,1
60,0.80931,60,-1
61,0.840131,491,1
62,0.856638,60,-1
63,0.886751,491,1
64,0.902992,60,-1
65,0.951396,491,1
66,0.967911,60,-1
67,0.981671,491,1
68,0.998015,60,-1
69,1.052252,491,1
70,1.068514,60,-1
71,1.075948,491,1
72,1.092216,60,-1
73,1.146226,491,1
74,1.162422,60,-1
75,1.19042,491,1
76,1.20665,60,-1
77,1.23793,491,1
78,1.254292,60,-1
79,1.286263,491,1
80,1.302758,60,-1
81,1.352328,491,1
82,1.368551,60,-1
83,1.383349,491,1
84,1.449572,491,1
85,1.450299,60,-1
86,1.481409,491,1
87,1.520301,60,-1
88,1.544038,491,1
89,1.596321,491,1
90,1.610286,60,-1
91,1.612618,60,-1
92,1.642317,491,1
93,1.658661,60,-1
94,1.694163,491,1
95,1.710437,60,-1
96,1.757086,491,1
97,1.773438,60,-1
98,1.781774,491,1
99,1.798129,60,-1
100,1.848001,491,1
101,1.86438,60,-1
102,1.884188,491,1
103,1.900536,60,-1
104,1.948445,491,1
105,1.964674,60,-1
106,1.991588,491,1
107,2.007986,60,-1
108,2.045596,491,1
109,2.061814,60,-1
110,2.105248,491,1
111,2.121437,60,-1
112,2.152127,491,1
113,2.157429,149,-1
114,2.158804,54,1
115,2.18801,491,1
116,2.20423,60,-1
117,2.252027,491,1
118,2.278132,491,1
119,2.294468,60,-1
120,2.348633,491,1
121,2.400196,491,1
122,2.410259,60,-1
123,2.416454,60,-1
124,2.420105,174,-1
125,2.446591,491,1
126,2.462887,99,-1
127,2.493366,491,1
128,2.550327,60,-1
129,2.563854,491,1
130,2.580171,60,-1
131,2.6617,491,1
132,2.66201,491,1
133,2.677957,60,-1
134,2.678369,60,-1
135,2.681604,491,1
136,2.697833,60,-1
137,2.789242,491,1
138,2.793679,491,1
139,2.805593,60,-1
140,2.810012,60,-1
141,2.853868,491,1
142,2.870164,60,-1
143,2.895327,491,1
144,2.911718,60,-1
145,2.975106,491,1
146,2.984298,491,1
147,2.991349,60,-1
148,3.000498,60,-1
149,3.057518,491,1
150,3.073702,60,-1
151,3.10536,491,1
152,3.121557,60,-1
153,3.131531,211,-1
154,3.131966,1514,-1
155,3.132063,1514,-1
156,3.132265,1169,-1
157,3.135134,54,1
158,3.135212,54,1
159,3.19407,1514,-1
160,3.194175,1514,-1
161,3.194289,1267,-1
162,3.194427,1514,-1
163,3.1945,1514,-1
164,3.194501,328,-1
165,3.19464,1030,-1
166,3.194778,1514,-1
167,3.194897,1514,-1
168,3.195084,1267,-1
169,3.245266,491,1
170,3.24574,99,1
171,3.246652,491,1
172,3.246833,54,1
173,3.247792,491,1
174,3.247965,54,1
175,3.254767,54,1
176,3.25495,54,1
177,3.263008,60,-1
178,3.264068,1514,-1
179,3.2642,1514,-1
180,3.264314,1514,-1
181,3.264519,1514,-1
182,3.264939,1514,-1
183,3.265123,966,-1
184,3.266814,54,1
185,3.267916,54,1
186,3.268871,54,1
187,3.293741,491,1
188,3.350398,60,-1
189,3.354013,491,1
190,3.360254,91,1
191,3.360617,91,1
192,3.370312,60,-1
193,3.376543,60,-1
194,3.37685,60,-1
195,3.377868,299,1
196,3.394084,60,-1
197,3.682266,161,-1
198,3.710031,154,-1
199,3.71236,54,1
