Serial number,time,size,direction
1,0.0,1514,1
2,0.001488,1514,1
3,0.017657,60,-1
4,0.019259,60,-1
5,0.050399,1514,1
6,0.051924,1514,1
7,0.05519,1514,1
8,0.056717,1514,1
9,0.068953,60,-1
10,0.070493,60,-1
11,0.073488,60,-1
12,0.075012,1514,1
13,0.075175,60,-1
14,0.075398,1514,1
15,0.092602,60,-1
16,0.093074,60,-1
17,0.093077,99,-1
18,0.104198,1514,1
19,0.106068,1514,1
20,0.123612,1514,1
21,0.124079,1514,1
22,0.124113,54,1
23,0.124485,60,-1
24,0.126633,1514,1
25,0.128006,1514,1
26,0.14174,60,-1
27,0.143706,532,1
28,0.145652,60,-1
29,0.172903,491,1
30,0.190481,60,-1
31,0.192367,214,-1
32,0.212375,491,1
33,0.266506,491,1
34,0.284177,60,-1
35,0.297334,491,1
36,0.358227,491,1
37,0.375954,60,-1
38,0.417053,491,1
39,0.462634,491,1
40,0.479652,60,-1
41,0.480155,60,-1
42,0.50589,491,1
43,0.523563,60,-1
44,0.576554,491,1
45,0.594079,60,-1
46,0.600904,491,1
47,0.619282,60,-1
48,0.671309,491,1
49,0.688851,60,-1
50,0.695433,491,1
51,0.713009,60,-1
52,0.770095,491,1
53,0.787719,60,-1
54,0.814119,491,1
55,0.836959,60,-1
56,0.860372,491,1
57,0.880636,60,-1
58,0.907533,491,1
59,0.968728,60,-1
60,0.983596,491,1
61,1.017388,491,1
62,1.017925,60,-1
63,1.035033,60,-1
64,1.062266,491,1
65,1.079808,60,-1
66,1.095524,491,1
67,1.113018,60,-1
68,1.166295,491,1
69,1.183966,60,-1
70,1.213482,491,1
71,1.231083,60,-1
72,1.257133,491,1
73,1.274614,60,-1
74,1.304935,491,1
75,1.322895,60,-1
76,1.378298,491,1
77,1.396001,60,-1
78,1.399645,491,1
79,1.417345,60,-1
80,1.467705,491,1
81,1.48521,60,-1
82,1.502962,491,1
83,1.520561,60,-1
84,1.567355,491,1
85,1.584949,60,-1
86,1.613927,491,1
87,1.632104,60,-1
88,1.659073,491,1
89,1.676575,60,-1
90,1.705826,491,1
91,1.72336,60,-1
92,1.777718,491,1
93,1.795364,60,-1
94,1.800122,491,1
95,1.817988,60,-1
96,1.871542,491,1
97,1.88927,60,-1
98,1.902501,491,1
99,1.920042,60,-1
100,1.965403,491,1
101,1.983056,60,-1
102,2.01329,491,1
103,2.030876,60,-1
104,2.030877,99,-1
105,2.056567,491,1
106,2.106259,491,1
107,2.123767,60,-1
108,2.176799,491,1
109,2.198777,491,1
110,2.216302,60,-1
111,2.275467,491,1
112,2.301249,491,1
113,2.318866,60,-1
114,2.366872,491,1
115,2.416575,491,1
116,2.434119,60,-1
117,2.457924,491,1
118,2.508471,491,1
119,2.525969,60,-1
120,2.576821,491,1
121,2.60291,491,1
122,2.620575,60,-1
123,2.667124,491,1
124,2.69902,491,1
125,2.716532,60,-1
126,2.764105,491,1
127,2.816325,491,1
128,2.833867,60,-1
129,2.857385,491,1
130,2.908945,491,1
131,2.926569,60,-1
132,2.974019,491,1
133,3.000096,491,1
134,3.017688,60,-1
135,3.068429,491,1
136,3.100348,491,1
137,3.117856,60,-1
138,3.117857,99,-1
139,3.151956,54,1
140,3.161423,491,1
141,3.216937,491,1
142,3.234425,60,-1
143,3.260895,491,1
144,3.308192,491,1
145,3.32563,60,-1
146,3.411371,491,1
147,3.411612,491,1
148,3.429416,60,-1
149,3.464943,150,-1
150,3.517649,491,1
151,3.545369,491,1
152,3.54556,54,1
153,3.562962,60,-1
154,3.566976,491,1
155,3.620976,491,1
156,3.639493,60,-1
157,3.646503,171,-1
158,3.704535,491,1
159,3.72141,491,1
160,3.738938,60,-1
161,3.791799,491,1
162,3.849688,60,-1
163,3.869925,491,1
164,3.871263,491,1
165,3.887509,60,-1
166,3.888789,60,-1
167,3.895714,491,1
168,3.913368,60,-1
169,3.991063,217,-1
170,3.991434,1514,-1
171,3.991512,1514,-1
172,3.991659,630,-1
173,3.996596,491,1
174,3.998061,1514,-1
175,3.998183,1514,-1
176,3.998383,1267,-1
177,3.998385,208,-1
178,4.01421,60,-1
179,4.025049,491,1
180,4.025227,54,1
181,4.025479,1514,-1
182,4.025687,1514,-1
183,4.039598,54,1
184,4.04293,1514,-1
185,4.043144,1514,-1
186,4.057457,1514,-1
187,4.057872,1514,-1
188,4.100174,99,1
189,4.100296,54,1
190,4.100372,54,1
191,4.10051,491,1
192,4.100527,54,1
