Serial number,time,size,direction
1,0.0,288,1
2,0.014261,942,1
3,0.01654,60,-1
4,0.030975,60,-1
5,0.080186,1291,1
6,0.080412,491,1
7,0.080442,491,1
8,0.087312,491,1
9,0.096827,60,-1
10,0.096973,99,-1
11,0.096975,60,-1
12,0.112121,491,1
13,0.11694,1514,1
14,0.117789,1514,1
15,0.117822,371,1
16,0.117843,491,1
17,0.117867,491,1
18,0.120004,491,1
19,0.121372,491,1
20,0.12171,891,1
21,0.128697,60,-1
22,0.130414,1514,1
23,0.13182,1514,1
24,0.132185,214,-1
25,0.13451,60,-1
26,0.134511,60,-1
27,0.136588,60,-1
28,0.136664,1514,1
29,0.138121,1514,1
30,0.138152,1206,1
31,0.138296,60,-1
32,0.148488,60,-1
33,0.154804,60,-1
34,0.170845,491,1
35,0.187367,60,-1
36,0.219233,491,1
37,0.283767,60,-1
38,0.288323,491,1
39,0.304853,60,-1
40,0.351038,491,1
41,0.36763,60,-1
42,0.37921,491,1
43,0.395767,60,-1
44,0.413144,491,1
45,0.429734,60,-1
46,0.481233,491,1
47,0.497813,60,-1
48,0.527293,491,1
49,0.543896,60,-1
50,0.572414,491,1
51,0.588969,60,-1
52,0.64946,491,1
53,0.666025,60,-1
54,0.682986,491,1
55,0.699537,60,-1
56,0.716866,491,1
57,0.733458,60,-1
58,0.745437,77,1
59,0.763052,77,-1
60,0.764982,66,1
61,0.779515,491,1
62,0.796212,60,-1
63,0.815043,491,1
64,0.831727,60,-1
65,0.881602,491,1
66,0.898225,60,-1
67,0.924806,491,1
68,0.941394,60,-1
69,0.974505,491,1
70,0.991074,60,-1
71,1.022326,491,1
72,1.038895,60,-1
73,1.08734,491,1
74,1.103882,60,-1
75,1.122088,491,1
76,1.138614,60,-1
77,1.184138,491,1
78,1.200711,60,-1
79,1.21595,491,1
80,1.232462,60,-1
81,1.282182,491,1
82,1.298822,60,-1
83,1.348747,491,1
84,1.365438,60,-1
85,1.370322,491,1
86,1.387083,60,-1
87,1.419299,491,1
88,1.435839,60,-1
89,1.485115,491,1
90,1.50178,60,-1
91,1.518109,491,1
92,1.534793,60,-1
93,1.582743,491,1
94,1.599369,60,-1
95,1.614881,491,1
96,1.631464,60,-1
97,1.680915,491,1
98,1.69747,60,-1
99,1.726148,491,1
100,1.742705,60,-1
101,1.775439,491,1
102,1.792056,60,-1
103,1.824718,491,1
104,1.841378,60,-1
105,1.892082,491,1
106,1.90874,60,-1
107,1.922548,491,1
108,1.939223,60,-1
109,1.981795,491,1
110,1.998321,60,-1
111,2.020074,491,1
112,2.036652,60,-1
113,2.080672,491,1
114,2.0972,60,-1
115,2.127661,491,1
116,2.144183,60,-1
117,2.17329,150,-1
118,2.177038,491,1
119,2.226732,491,1
120,2.243274,60,-1
121,2.28901,491,1
122,2.331318,491,1
123,2.347922,60,-1
124,2.382746,491,1
125,2.399403,99,-1
126,2.410877,491,1
127,2.470777,173,-1
128,2.494765,491,1
129,2.536519,491,1
130,2.553014,60,-1
131,2.553015,99,-1
132,2.577626,491,1
133,2.622155,491,1
134,2.638682,60,-1
135,2.75927,491,1
136,2.759606,491,1
137,2.776141,60,-1
138,2.782642,491,1
139,2.843852,60,-1
140,2.847589,491,1
141,2.864327,60,-1
142,2.900915,215,-1
143,2.900989,491,1
144,2.901219,1514,-1
145,2.901328,1514,-1
146,2.901329,170,-1
147,2.904757,54,1
148,2.904896,54,1
149,2.906488,1514,-1
150,2.906626,1514,-1
151,2.906805,1267,-1
152,2.906806,209,-1
153,2.909013,54,1
154,2.942699,54,1
155,2.946895,1514,-1
156,2.946898,1514,-1
157,2.947225,1267,-1
158,2.947226,1514,-1
159,2.947229,1514,-1
160,2.947376,328,-1
161,2.947378,1030,-1
162,2.959689,1514,-1
163,2.959694,1514,-1
164,2.960066,1514,-1
165,3.042151,491,1
166,3.042628,491,1
167,3.042775,91,1
168,3.042847,91,1
169,3.043977,1514,-1
170,3.044314,303,1
171,3.048213,54,1
172,3.059205,60,-1
173,3.059206,60,-1
174,3.059454,54,1
175,3.059761,54,1
176,3.059914,54,1
177,3.059985,54,1
178,3.061325,99,1
179,3.064912,1514,-1
180,3.076061,1514,-1
181,3.076231,1514,-1
182,3.076343,1514,-1
183,3.076466,1514,-1
184,3.076596,1514,-1
185,3.076713,1514,-1
186,3.076843,1514,-1
187,3.07696,1514,-1
188,3.077152,1514,-1
189,3.077985,1514,-1
190,3.082357,54,1
191,3.082548,54,1
192,3.082688,54,1
193,3.082758,54,1
194,3.082841,54,1
195,3.094244,99,1
196,3.098929,999,-1
197,3.163161,54,1
198,3.163773,60,-1
199,3.494266,155,-1
200,3.523932,54,1
201,3.525759,153,-1
202,3.527077,54,1
