Serial number,time,size,direction
1,0.0,288,1
2,0.0168,60,-1
3,0.046009,1514,1
4,0.046192,365,1
5,0.055112,1514,1
6,0.056606,231,1
7,0.062971,60,-1
8,0.062973,60,-1
9,0.072049,60,-1
10,0.073361,60,-1
11,0.08756,491,1
12,0.095868,1291,1
13,0.103279,491,1
14,0.104126,1514,1
15,0.104159,342,1
16,0.104181,491,1
17,0.104273,491,1
18,0.104346,60,-1
19,0.112622,1514,1
20,0.112743,60,-1
21,0.115022,1514,1
22,0.120043,60,-1
23,0.121068,60,-1
24,0.121072,60,-1
25,0.121073,60,-1
26,0.121954,1514,1
27,0.1229,1514,1
28,0.124998,1514,1
29,0.125033,546,1
30,0.129824,60,-1
31,0.131953,60,-1
32,0.136324,1291,1
33,0.138869,60,-1
34,0.139816,60,-1
35,0.141976,60,-1
36,0.141978,60,-1
37,0.153312,60,-1
38,0.154339,491,1
39,0.171154,60,-1
40,0.179011,215,-1
41,0.200756,491,1
42,0.237003,491,1
43,0.253806,60,-1
44,0.299587,491,1
45,0.347924,491,1
46,0.358094,60,-1
47,0.364742,60,-1
48,0.392451,491,1
49,0.409234,60,-1
50,0.450552,491,1
51,0.467405,60,-1
52,0.502517,491,1
53,0.519581,60,-1
54,0.536334,491,1
55,0.553147,60,-1
56,0.60727,491,1
57,0.624076,60,-1
58,0.636174,491,1
59,0.653165,60,-1
60,0.697082,491,1
61,0.713967,60,-1
62,0.747162,491,1
63,0.796154,491,1
64,0.813096,60,-1
65,0.840134,491,1
66,0.910533,491,1
67,0.918077,60,-1
68,0.934843,491,1
69,0.946558,60,-1
70,0.95555,60,-1
71,0.977387,60,-1
72,1.001915,491,1
73,1.019015,60,-1
74,1.036245,491,1
75,1.053069,60,-1
76,1.105273,491,1
77,1.122047,60,-1
78,1.145808,491,1
79,1.162609,60,-1
80,1.193372,491,1
81,1.210207,60,-1
82,1.241066,491,1
83,1.257941,60,-1
84,1.304717,491,1
85,1.321651,60,-1
86,1.336131,491,1
87,1.35305,60,-1
88,1.400753,491,1
89,1.417574,60,-1
90,1.445851,491,1
91,1.462693,60,-1
92,1.493654,491,1
93,1.510476,60,-1
94,1.550096,491,1
95,1.567026,60,-1
96,1.594386,491,1
97,1.601194,152,-1
98,1.639578,54,1
99,1.64842,491,1
100,1.665253,60,-1
101,1.719912,491,1
102,1.750251,491,1
103,1.767179,60,-1
104,1.800738,491,1
105,1.805194,174,-1
106,1.806844,54,1
107,1.83674,491,1
108,1.853715,60,-1
109,1.896557,491,1
110,1.913494,99,-1
111,1.945359,491,1
112,1.995054,491,1
113,2.011855,60,-1
114,2.041226,491,1
115,2.11196,491,1
116,2.119545,219,-1
117,2.119915,1514,-1
118,2.140579,491,1
119,2.140814,54,1
120,2.157425,60,-1
121,2.157641,1514,-1
122,2.157851,1514,-1
123,2.160043,54,1
124,2.176843,1514,-1
125,2.177013,535,-1
126,2.183008,54,1
127,2.199855,1514,-1
128,2.199987,1514,-1
129,2.200101,1514,-1
130,2.200299,1514,-1
131,2.201953,491,1
132,2.202117,54,1
133,2.203384,54,1
134,2.218995,1514,-1
135,2.219188,1514,-1
136,2.220276,1514,-1
137,2.220473,1514,-1
138,2.236635,54,1
139,2.237919,54,1
140,2.246627,491,1
141,2.253567,1514,-1
142,2.25376,1514,-1
143,2.254841,1514,-1
144,2.255033,1514,-1
145,2.257689,91,1
146,2.257767,91,1
147,2.274463,60,-1
148,2.274728,1514,-1
149,2.274882,1514,-1
150,2.277139,54,1
151,2.278452,54,1
152,2.29413,1514,-1
153,2.294328,1514,-1
154,2.295376,1514,-1
155,2.295578,1514,-1
156,2.329378,99,1
157,2.34635,1514,-1
158,2.346545,1514,-1
159,2.361381,428,1
160,2.364537,54,1
161,2.370743,54,1
162,2.37842,1514,-1
163,2.381501,1514,-1
164,2.381696,1514,-1
165,2.387688,1514,-1
166,2.387887,1514,-1
167,2.391764,54,1
168,2.391901,54,1
169,2.400599,99,1
170,2.408739,1514,-1
171,2.408845,1514,-1
172,2.408963,1514,-1
173,2.409161,1514,-1
174,2.412086,54,1
175,2.416201,54,1
176,2.417586,1514,-1
177,2.428979,1514,-1
178,2.429171,1514,-1
179,2.433078,1514,-1
180,2.433207,1514,-1
181,2.433397,1514,-1
182,2.436586,54,1
183,2.437914,54,1
184,2.440714,54,1
185,2.453588,1514,-1
186,2.453788,1514,-1
187,2.455112,1514,-1
188,2.455315,1514,-1
189,2.455883,54,1
190,2.45759,1514,-1
191,2.457785,1514,-1
192,2.472744,1514,-1
193,2.47294,1514,-1
194,2.476392,54,1
195,2.47718,99,1
196,2.477329,54,1
197,2.478218,54,1
198,2.493315,1514,-1
199,2.493508,1514,-1
200,2.494235,1514,-1
201,2.494441,1514,-1
202,2.495084,1514,-1
203,2.495212,1514,-1
204,2.495332,1514,-1
205,2.495532,1514,-1
206,2.496118,54,1
207,2.496919,54,1
208,2.497677,54,1
209,2.498243,54,1
210,2.512987,1514,-1
211,2.513186,1514,-1
212,2.513752,1514,-1
213,2.513964,1514,-1
214,2.514105,99,1
215,2.514541,1514,-1
216,2.514735,1514,-1
217,2.515064,1514,-1
218,2.51526,1514,-1
219,2.515889,54,1
220,2.517286,54,1
221,2.518866,54,1
222,2.519406,54,1
223,2.532746,1514,-1
224,2.532954,1514,-1
225,2.534145,1514,-1
226,2.534346,1514,-1
227,2.534816,54,1
228,2.535716,1514,-1
229,2.535909,1514,-1
230,2.536219,1514,-1
231,2.536412,1514,-1
232,2.551671,1514,-1
233,2.551864,1514,-1
234,2.556695,99,1
235,2.558097,54,1
236,2.559084,54,1
237,2.560151,54,1
238,2.560237,99,1
239,2.573622,1514,-1
240,2.574975,1514,-1
241,2.575193,1514,-1
242,2.576028,1514,-1
243,2.576253,1514,-1
244,2.577039,1514,-1
245,2.577152,54,1
246,2.577257,1514,-1
247,2.580901,54,1
248,2.58222,54,1
249,2.582801,54,1
250,2.594042,1514,-1
251,2.594257,1514,-1
252,2.596117,54,1
253,2.59781,1514,-1
254,2.598013,1514,-1
255,2.599102,1514,-1
256,2.599321,1514,-1
257,2.599761,1514,-1
258,2.599898,1514,-1
259,2.600116,1514,-1
260,2.600639,54,1
261,2.601436,54,1
262,2.603053,54,1
263,2.613056,1514,-1
264,2.61327,1514,-1
265,2.614921,54,1
266,2.615279,99,1
267,2.617528,1514,-1
268,2.617749,1514,-1
269,2.618298,1514,-1
270,2.618516,1514,-1
271,2.620028,1514,-1
272,2.62025,1514,-1
273,2.63182,1514,-1
274,2.632042,1514,-1
275,2.636986,54,1
276,2.638784,54,1
277,2.639558,54,1
278,2.639686,99,1
279,2.639826,54,1
280,2.653911,1514,-1
281,2.653913,296,-1
282,2.656467,54,1
283,2.689958,54,1
284,2.698102,60,-1
285,2.868283,160,-1
286,2.873422,54,1
287,2.890287,154,-1
288,2.892056,54,1
