Serial number,time,size,direction
1,0.0,77,1
2,0.017189,77,-1
3,0.113326,66,1
4,0.53679,286,1
5,0.552973,1514,1
6,0.554323,60,-1
7,0.554473,348,1
8,0.570698,60,-1
9,0.57199,60,-1
10,0.593148,1514,1
11,0.594881,1514,1
12,0.594941,1514,1
13,0.594966,948,1
14,0.608121,491,1
15,0.610214,1291,1
16,0.610954,60,-1
17,0.612808,60,-1
18,0.612938,60,-1
19,0.61294,60,-1
20,0.614182,491,1
21,0.61575,1514,1
22,0.615805,231,1
23,0.616964,491,1
24,0.625701,60,-1
25,0.627859,491,1
26,0.627944,60,-1
27,0.631782,60,-1
28,0.633497,60,-1
29,0.634508,60,-1
30,0.642687,891,1
31,0.644034,1514,1
32,0.644068,1431,1
33,0.645747,60,-1
34,0.650841,491,1
35,0.65118,891,1
36,0.660538,60,-1
37,0.660842,99,-1
38,0.661893,60,-1
39,0.668758,60,-1
40,0.673385,491,1
41,0.673745,54,1
42,0.682969,491,1
43,0.684819,217,-1
44,0.700511,60,-1
45,0.72359,54,1
46,0.745821,491,1
47,0.780663,491,1
48,0.798296,60,-1
49,0.846007,491,1
50,0.88039,491,1
51,0.897878,60,-1
52,0.944323,491,1
53,0.997042,491,1
54,1.002894,60,-1
55,1.014515,60,-1
56,1.038871,491,1
57,1.056643,60,-1
58,1.087794,491,1
59,1.105363,60,-1
60,1.147949,491,1
61,1.165512,60,-1
62,1.181023,491,1
63,1.198614,60,-1
64,1.247689,491,1
65,1.265279,60,-1
66,1.278553,491,1
67,1.296806,60,-1
68,1.342806,491,1
69,1.360418,60,-1
70,1.375582,491,1
71,1.393153,60,-1
72,1.516651,491,1
73,1.516963,491,1
74,1.53428,60,-1
75,1.534554,60,-1
76,1.549884,491,1
77,1.567577,60,-1
78,1.632538,491,1
79,1.649448,491,1
80,1.650183,60,-1
81,1.667259,60,-1
82,1.70145,491,1
83,1.719069,60,-1
84,1.753064,491,1
85,1.770699,60,-1
86,1.784845,491,1
87,1.816269,60,-1
88,1.83611,491,1
89,1.853997,60,-1
90,1.901614,491,1
91,1.919478,60,-1
92,1.949766,491,1
93,1.974219,60,-1
94,1.982769,491,1
95,2.000445,60,-1
96,2.058366,491,1
97,2.076041,60,-1
98,2.111597,491,1
99,2.129188,60,-1
100,2.138073,491,1
101,2.155658,60,-1
102,2.184592,491,1
103,2.202256,60,-1
104,2.238161,491,1
105,2.255898,60,-1
106,2.283627,491,1
107,2.301499,60,-1
108,2.350064,491,1
109,2.368078,60,-1
110,2.399976,491,1
111,2.417539,60,-1
112,2.445012,491,1
113,2.462541,60,-1
114,2.47414,491,1
115,2.491617,60,-1
116,2.545789,491,1
117,2.563405,60,-1
118,2.571016,491,1
119,2.589167,60,-1
120,2.641439,491,1
121,2.659126,60,-1
122,2.685747,491,1
123,2.703408,60,-1
124,2.749274,491,1
125,2.766939,60,-1
126,2.78129,491,1
127,2.799262,60,-1
128,2.846275,491,1
129,2.8638,60,-1
130,2.883836,491,1
131,2.892921,151,-1
132,2.901466,99,-1
133,2.909303,54,1
134,2.910312,54,1
135,2.938691,491,1
136,2.972139,491,1
137,2.989651,60,-1
138,3.036788,491,1
139,3.097055,491,1
140,3.102863,60,-1
141,3.114717,60,-1
142,3.130965,491,1
143,3.148715,60,-1
144,3.178482,491,1
145,3.196135,60,-1
146,3.244934,491,1
147,3.247256,173,-1
148,3.26256,60,-1
149,3.285859,54,1
150,3.290156,491,1
151,3.307799,60,-1
152,3.347028,491,1
153,3.364716,60,-1
154,3.375825,491,1
155,3.393326,60,-1
156,3.444594,491,1
157,3.46915,60,-1
158,3.482209,491,1
159,3.500027,60,-1
160,3.551448,491,1
161,3.568957,60,-1
162,3.584337,491,1
163,3.601874,60,-1
164,3.622127,212,-1
165,3.622684,1514,-1
166,3.622787,1514,-1
167,3.623006,1079,-1
168,3.633104,1514,-1
169,3.633155,1514,-1
170,3.633352,1267,-1
171,3.633355,1514,-1
172,3.633547,1514,-1
173,3.633977,54,1
174,3.638606,54,1
175,3.638894,54,1
176,3.64009,54,1
177,3.640267,54,1
178,3.641222,54,1
179,3.641597,54,1
180,3.642284,54,1
181,3.642666,54,1
182,3.651814,1104,-1
183,3.653901,54,1
184,3.727782,491,1
185,3.728041,491,1
186,3.745676,60,-1
187,3.749054,491,1
188,3.797053,491,1
189,3.813059,60,-1
190,3.81461,60,-1
191,3.844032,491,1
192,3.861524,60,-1
193,3.864827,91,1
194,3.864902,91,1
195,3.88226,60,-1
196,3.882262,60,-1
197,3.955489,392,1
198,3.973,60,-1
199,4.011152,161,-1
200,4.029463,54,1
201,4.031637,155,-1
202,4.032792,54,1
