Serial number,time,size,direction
1,0.0,288,1
2,0.003669,939,1
3,0.020395,60,-1
4,0.067875,1514,1
5,0.068132,631,1
6,0.069974,491,1
7,0.070004,491,1
8,0.070082,491,1
9,0.070132,491,1
10,0.070165,491,1
11,0.070215,491,1
12,0.08873,60,-1
13,0.091127,1514,1
14,0.092857,1514,1
15,0.092937,630,1
16,0.109702,60,-1
17,0.120569,491,1
18,0.120955,928,1
19,0.135427,491,1
20,0.137009,491,1
21,0.137038,491,1
22,0.137091,491,1
23,0.137171,60,-1
24,0.137218,491,1
25,0.139024,1514,1
26,0.140576,1514,1
27,0.15203,60,-1
28,0.153625,60,-1
29,0.153762,60,-1
30,0.155394,1504,1
31,0.155987,491,1
32,0.156164,216,-1
33,0.15749,99,-1
34,0.159694,54,1
35,0.160928,54,1
36,0.17268,60,-1
37,0.190432,491,1
38,0.258965,491,1
39,0.266129,60,-1
40,0.275591,60,-1
41,0.300875,491,1
42,0.317406,60,-1
43,0.350288,491,1
44,0.366876,60,-1
45,0.409105,491,1
46,0.425836,60,-1
47,0.46079,491,1
48,0.477445,60,-1
49,0.488686,491,1
50,0.505367,60,-1
51,0.560727,491,1
52,0.577325,60,-1
53,0.58982,491,1
54,0.606374,60,-1
55,0.652788,491,1
56,0.669456,60,-1
57,0.698276,491,1
58,0.714904,60,-1
59,0.747174,491,1
60,0.763868,60,-1
61,0.79437,491,1
62,0.811014,60,-1
63,0.857734,491,1
64,0.874272,60,-1
65,0.892047,491,1
66,0.908718,60,-1
67,0.957225,491,1
68,0.973869,60,-1
69,0.988657,491,1
70,1.005281,60,-1
71,1.062006,491,1
72,1.078885,60,-1
73,1.100777,491,1
74,1.117501,60,-1
75,1.149748,491,1
76,1.166473,60,-1
77,1.198373,491,1
78,1.215072,60,-1
79,1.264083,491,1
80,1.28067,60,-1
81,1.295157,491,1
82,1.311787,60,-1
83,1.360632,491,1
84,1.377318,60,-1
85,1.390979,491,1
86,1.407933,60,-1
87,1.456015,491,1
88,1.47271,60,-1
89,1.502835,491,1
90,1.519691,60,-1
91,1.54975,491,1
92,1.566483,60,-1
93,1.604962,491,1
94,1.621644,60,-1
95,1.66499,491,1
96,1.681671,60,-1
97,1.69009,491,1
98,1.706833,60,-1
99,1.761069,491,1
100,1.777738,60,-1
101,1.78922,491,1
102,1.80589,60,-1
103,1.813801,165,-1
104,1.848791,491,1
105,1.899157,491,1
106,1.906178,60,-1
107,1.916003,60,-1
108,1.9464,491,1
109,1.956434,173,-1
110,1.963044,60,-1
111,1.996451,54,1
112,1.996745,491,1
113,2.013357,60,-1
114,2.067633,491,1
115,2.084354,60,-1
116,2.093014,491,1
117,2.109658,60,-1
118,2.156504,491,1
119,2.173253,60,-1
120,2.195888,491,1
121,2.213313,60,-1
122,2.260965,491,1
123,2.277653,60,-1
124,2.307462,491,1
125,2.324696,60,-1
126,2.345085,491,1
127,2.360317,274,-1
128,2.361117,1514,-1
129,2.361294,779,-1
130,2.361831,54,1
131,2.362475,99,-1
132,2.368473,54,1
133,2.369163,1514,-1
134,2.369272,1514,-1
135,2.369385,1267,-1
136,2.369482,1514,-1
137,2.369483,439,-1
138,2.381895,54,1
139,2.382977,54,1
140,2.383204,54,1
141,2.384013,54,1
142,2.384334,54,1
143,2.385536,54,1
144,2.385753,54,1
145,2.403251,491,1
146,2.403416,99,1
147,2.406607,1514,-1
148,2.406708,1514,-1
149,2.406809,1267,-1
150,2.406938,1514,-1
151,2.407007,1514,-1
152,2.407175,328,-1
153,2.407176,1030,-1
154,2.407298,1514,-1
155,2.407397,1514,-1
156,2.407516,1267,-1
157,2.407604,1514,-1
158,2.407698,847,-1
159,2.407902,1514,-1
160,2.420031,60,-1
161,2.444482,54,1
162,2.444725,54,1
163,2.444843,54,1
164,2.444949,54,1
165,2.445054,54,1
166,2.445159,54,1
167,2.454329,54,1
168,2.461694,1514,-1
169,2.461823,1514,-1
170,2.461921,1514,-1
171,2.462029,1514,-1
172,2.462141,1514,-1
173,2.462262,1514,-1
174,2.462388,1514,-1
175,2.462509,1514,-1
176,2.462588,1514,-1
177,2.46259,212,-1
178,2.463744,491,1
179,2.466817,54,1
180,2.466966,54,1
181,2.467057,54,1
182,2.468992,54,1
183,2.46923,54,1
184,2.495205,491,1
185,2.512171,60,-1
186,2.521742,91,1
187,2.521885,91,1
188,2.535543,304,1
189,2.53839,60,-1
190,2.596331,60,-1
191,3.071651,160,-1
192,3.09742,153,-1
193,3.099617,54,1
