Serial number,time,size,direction
1,0.0,286,1
2,0.01723,60,-1
3,0.054437,1514,1
4,0.05474,386,1
5,0.072115,60,-1
6,0.072256,60,-1
7,0.083874,1291,1
8,0.08449,891,1
9,0.084521,491,1
10,0.084543,491,1
11,0.08457,491,1
12,0.084591,491,1
13,0.084611,491,1
14,0.084644,491,1
15,0.086569,891,1
16,0.095345,1291,1
17,0.101264,60,-1
18,0.101851,60,-1
19,0.101854,60,-1
20,0.101856,60,-1
21,0.101858,60,-1
22,0.102073,60,-1
23,0.102076,60,-1
24,0.102077,60,-1
25,0.103906,60,-1
26,0.112724,60,-1
27,0.112937,1514,1
28,0.117621,1514,1
29,0.119123,1514,1
30,0.119153,1514,1
31,0.119175,1514,1
32,0.119197,650,1
33,0.119219,491,1
34,0.119239,491,1
35,0.130349,60,-1
36,0.135057,60,-1
37,0.136569,60,-1
38,0.13684,60,-1
39,0.136842,60,-1
40,0.136844,99,-1
41,0.139626,54,1
42,0.143677,491,1
43,0.195089,491,1
44,0.212355,60,-1
45,0.212626,216,-1
46,0.256993,491,1
47,0.288226,491,1
48,0.305593,60,-1
49,0.359027,491,1
50,0.383772,491,1
51,0.40131,60,-1
52,0.449489,491,1
53,0.498163,491,1
54,0.515492,60,-1
55,0.584528,491,1
56,0.595674,491,1
57,0.612932,60,-1
58,0.682852,491,1
59,0.689945,491,1
60,0.707261,60,-1
61,0.784936,491,1
62,0.785046,491,1
63,0.802324,60,-1
64,0.880978,491,1
65,0.940254,60,-1
66,0.94198,491,1
67,0.942628,491,1
68,0.959298,60,-1
69,0.959957,60,-1
70,0.990419,491,1
71,1.007877,60,-1
72,1.056551,491,1
73,1.07394,60,-1
74,1.087918,491,1
75,1.10522,60,-1
76,1.154037,491,1
77,1.171354,60,-1
78,1.19602,491,1
79,1.213344,60,-1
80,1.252576,491,1
81,1.269923,60,-1
82,1.298623,491,1
83,1.315913,60,-1
84,1.350147,491,1
85,1.367632,60,-1
86,1.38912,491,1
87,1.406505,60,-1
88,1.462172,491,1
89,1.47956,60,-1
90,1.487369,491,1
91,1.504745,60,-1
92,1.552917,491,1
93,1.570351,60,-1
94,1.596135,491,1
95,1.613406,60,-1
96,1.656096,491,1
97,1.673406,60,-1
98,1.695987,491,1
99,1.713276,60,-1
100,1.759309,491,1
101,1.776582,60,-1
102,1.794088,491,1
103,1.811449,60,-1
104,1.857335,491,1
105,1.874611,60,-1
106,1.885087,491,1
107,1.902363,60,-1
108,1.958682,491,1
109,1.976104,60,-1
110,1.983028,491,1
111,2.000444,60,-1
112,2.04926,491,1
113,2.066614,60,-1
114,2.105364,491,1
115,2.122675,60,-1
116,2.160638,491,1
117,2.177941,60,-1
118,2.193566,491,1
119,2.210878,60,-1
120,2.258089,491,1
121,2.275418,60,-1
122,2.290068,491,1
123,2.307399,60,-1
124,2.351602,491,1
125,2.368935,60,-1
126,2.368938,99,-1
127,2.395487,491,1
128,2.40439,146,-1
129,2.448636,54,1
130,2.448878,491,1
131,2.466202,60,-1
132,2.493793,491,1
133,2.56007,491,1
134,2.570301,60,-1
135,2.577518,60,-1
136,2.595817,491,1
137,2.61319,60,-1
138,2.660648,491,1
139,2.677957,60,-1
140,2.685639,491,1
141,2.702911,60,-1
142,2.718667,175,-1
143,2.750898,54,1
144,2.757039,491,1
145,2.798868,491,1
146,2.816123,60,-1
147,2.863884,491,1
148,2.904344,491,1
149,2.921584,60,-1
150,2.95905,491,1
151,2.995455,491,1
152,3.012863,60,-1
153,3.062013,491,1
154,3.08577,491,1
155,3.103062,60,-1
156,3.156356,491,1
157,3.159883,217,-1
158,3.160304,1514,-1
159,3.160493,895,-1
160,3.163644,54,1
161,3.16592,1514,-1
162,3.166021,1514,-1
163,3.166089,1267,-1
164,3.166235,516,-1
165,3.168414,54,1
166,3.168503,54,1
167,3.196094,491,1
168,3.201391,1514,-1
169,3.201496,1514,-1
170,3.20161,1267,-1
171,3.201753,1514,-1
172,3.201813,1514,-1
173,3.201967,328,-1
174,3.201968,1030,-1
175,3.202096,1514,-1
176,3.202297,1514,-1
177,3.203735,54,1
178,3.204674,54,1
179,3.205349,54,1
180,3.206195,54,1
181,3.213583,1514,-1
182,3.213777,1514,-1
183,3.215437,54,1
184,3.215973,99,1
185,3.221121,1514,-1
186,3.221314,1514,-1
187,3.222029,1514,-1
188,3.222222,1514,-1
189,3.222681,1514,-1
190,3.222811,1514,-1
191,3.22293,1514,-1
192,3.22313,1514,-1
193,3.223412,54,1
194,3.223578,1514,-1
195,3.223769,1514,-1
196,3.225301,54,1
197,3.226956,54,1
198,3.227719,54,1
199,3.228904,54,1
200,3.232761,1514,-1
201,3.232941,1026,-1
202,3.234511,54,1
203,3.235576,99,1
204,3.252769,60,-1
205,3.256659,491,1
206,3.300886,491,1
207,3.318247,60,-1
208,3.356348,491,1
209,3.369696,91,1
210,3.372041,91,1
211,3.386931,60,-1
212,3.406852,398,1
213,3.424227,60,-1
214,3.781259,159,-1
215,3.825347,155,-1
216,3.840825,54,1
