Serial number,time,size,direction
1,0.0,98,1
2,0.000624,98,-1
3,0.002175,98,1
4,0.002679,98,-1
5,0.009868,98,1
6,0.010335,98,-1
7,0.011757,98,1
8,0.01223,98,-1
9,0.013427,98,1
10,0.013904,98,-1
11,0.015242,98,1
12,0.015711,98,-1
13,0.017616,98,1
14,0.018076,98,-1
15,0.019256,98,1
16,0.019956,98,-1
17,0.021158,98,1
18,0.021608,98,-1
19,0.022867,98,1
20,0.023326,98,-1
21,0.03003,98,1
22,0.030501,98,-1
23,0.032017,98,1
24,0.032665,98,-1
25,0.033963,98,1
26,0.034486,98,-1
27,0.044204,98,1
28,0.044926,98,-1
29,0.048611,98,1
30,0.049056,98,-1
31,0.061985,89,1
32,0.077267,153,-1
33,0.079088,74,1
34,0.086726,74,-1
35,0.088092,66,1
36,0.09083,150,1
37,0.098985,66,-1
38,0.100301,504,-1
39,0.100303,99,-1
40,0.101895,66,1
41,0.102147,66,1
42,0.128679,66,1
43,0.133965,85,1
44,0.134746,54,1
45,0.134816,153,-1
46,0.135991,66,-1
47,0.138299,66,1
48,0.139165,74,1
49,0.155701,66,-1
50,0.156985,54,1
51,0.157573,200,1
52,0.174868,60,-1
53,0.178895,410,-1
54,0.178897,473,-1
55,0.180926,54,1
56,0.18192,54,1
57,0.196372,90,1
58,0.196615,90,1
59,0.248988,90,-1
60,0.251627,90,-1
61,0.351643,54,1
62,0.573058,54,1
63,0.677219,780,1
64,0.685533,1514,1
65,0.687058,631,1
66,0.687795,491,1
67,0.689896,491,1
68,0.694257,60,-1
69,0.698726,491,1
70,0.699301,491,1
71,0.700477,491,1
72,0.702345,491,1
73,0.702563,60,-1
74,0.703994,60,-1
75,0.704658,60,-1
76,0.706802,60,-1
77,0.71574,60,-1
78,0.715849,491,1
79,0.716123,60,-1
80,0.716763,491,1
81,0.717334,60,-1
82,0.719291,60,-1
83,0.72408,491,1
84,0.725523,260,1
85,0.732762,60,-1
86,0.733614,60,-1
87,0.73549,491,1
88,0.736134,491,1
89,0.741067,60,-1
90,0.742335,60,-1
91,0.752382,60,-1
92,0.753109,60,-1
93,0.760182,891,1
94,0.760463,891,1
95,0.767411,491,1
96,0.768414,491,1
97,0.769202,491,1
98,0.770306,491,1
99,0.771265,491,1
100,0.772272,491,1
101,0.777143,60,-1
102,0.777357,60,-1
103,0.781439,491,1
104,0.782334,491,1
105,0.78434,60,-1
106,0.785295,60,-1
107,0.786086,60,-1
108,0.787249,60,-1
109,0.789156,60,-1
110,0.796782,491,1
111,0.798489,60,-1
112,0.798644,491,1
113,0.798668,491,1
114,0.798681,1514,1
115,0.798701,231,1
116,0.798713,491,1
117,0.798731,491,1
118,0.799197,60,-1
119,0.81483,60,-1
120,0.815554,60,-1
121,0.815556,60,-1
122,0.819701,99,-1
123,0.821065,54,1
124,0.835838,216,-1
125,0.838482,54,1
126,0.843751,491,1
127,0.895324,491,1
128,0.905468,60,-1
129,0.912287,60,-1
130,0.959653,491,1
131,0.982043,60,-1
132,0.989761,491,1
133,1.006619,60,-1
134,1.008237,54,1
135,1.060754,491,1
136,1.077701,60,-1
137,1.083168,491,1
138,1.100189,60,-1
139,1.153755,491,1
140,1.170712,60,-1
141,1.19513,491,1
142,1.212005,60,-1
143,1.242146,491,1
144,1.259039,60,-1
145,1.294136,491,1
146,1.310986,60,-1
147,1.359848,491,1
148,1.376763,60,-1
149,1.388338,491,1
150,1.405198,60,-1
151,1.456062,491,1
152,1.472967,60,-1
153,1.490582,491,1
154,1.507454,60,-1
155,1.550849,491,1
156,1.56776,60,-1
157,1.610353,491,1
158,1.627306,60,-1
159,1.646888,491,1
160,1.663807,60,-1
161,1.692779,491,1
162,1.70971,60,-1
163,1.779154,491,1
164,1.79628,491,1
165,1.806887,60,-1
166,1.813246,60,-1
167,1.906134,491,1
168,1.923164,60,-1
169,1.931495,491,1
170,1.931652,54,1
171,1.950233,60,-1
172,1.954042,491,1
173,1.970917,60,-1
174,2.01972,491,1
175,2.036561,60,-1
176,2.051641,491,1
177,2.068521,60,-1
178,2.090668,491,1
179,2.107672,60,-1
180,2.169377,491,1
181,2.18634,60,-1
182,2.197765,491,1
183,2.214774,60,-1
184,2.254444,491,1
185,2.271385,60,-1
186,2.285545,491,1
187,2.302372,60,-1
188,2.399553,491,1
189,2.399954,491,1
190,2.416461,60,-1
191,2.416788,60,-1
192,2.449288,491,1
193,2.466165,60,-1
194,2.491749,491,1
195,2.508618,60,-1
196,2.555829,491,1
197,2.57269,60,-1
198,2.585767,491,1
199,2.602705,60,-1
200,2.656851,491,1
201,2.673825,60,-1
202,2.686731,491,1
203,2.703677,60,-1
204,2.758591,491,1
205,2.775525,60,-1
206,2.796091,491,1
207,2.813097,60,-1
208,2.84299,491,1
209,2.859862,60,-1
210,2.889555,491,1
211,2.906418,60,-1
212,2.938831,151,-1
213,2.957028,491,1
214,2.993936,491,1
215,3.010772,60,-1
216,3.054548,491,1
217,3.071468,99,-1
218,3.085371,491,1
219,3.14551,60,-1
220,3.149025,491,1
221,3.165972,60,-1
222,3.19975,491,1
223,3.205318,175,-1
224,3.247568,54,1
225,3.247806,491,1
226,3.264633,60,-1
227,3.304234,491,1
228,3.363705,491,1
229,3.365474,60,-1
230,3.380596,60,-1
231,3.400265,491,1
232,3.419278,60,-1
233,3.461466,491,1
234,3.478339,60,-1
235,3.489997,491,1
236,3.506866,60,-1
237,3.554298,491,1
238,3.559769,221,-1
239,3.560284,1514,-1
240,3.560289,1514,-1
241,3.560291,68,-1
242,3.561381,54,1
243,3.565015,54,1
244,3.565251,54,1
245,3.565386,54,1
246,3.56873,1514,-1
247,3.568946,1514,-1
248,3.570967,54,1
249,3.571346,54,1
250,3.578447,1267,-1
251,3.581212,54,1
252,3.581836,304,-1
253,3.601821,54,1
254,3.612968,491,1
255,3.648659,54,1
256,3.661607,491,1
257,3.671547,1514,-1
258,3.671771,1514,-1
259,3.671775,1267,-1
260,3.671957,1514,-1
261,3.67196,1514,-1
262,3.672165,328,-1
263,3.672167,1030,-1
264,3.685396,54,1
265,3.687779,99,1
266,3.687984,54,1
267,3.688361,54,1
268,3.701007,491,1
269,3.702487,1514,-1
270,3.702693,1514,-1
271,3.705013,1514,-1
272,3.705213,1514,-1
273,3.705397,1514,-1
274,3.705471,1514,-1
275,3.705473,144,-1
276,3.707038,54,1
277,3.708001,54,1
278,3.71023,54,1
279,3.736006,1514,-1
280,3.736112,1514,-1
281,3.736204,1267,-1
282,3.73631,1514,-1
283,3.736397,1514,-1
284,3.736398,334,-1
285,3.738339,54,1
286,3.738559,54,1
287,3.741398,54,1
288,3.755368,1514,-1
289,3.755461,1514,-1
290,3.755563,1514,-1
291,3.755767,1514,-1
292,3.757799,54,1
293,3.758394,54,1
294,3.758505,1514,-1
295,3.758673,1514,-1
296,3.760766,54,1
297,3.762857,491,1
298,3.76302,99,1
299,3.774878,1514,-1
300,3.775064,1514,-1
301,3.775336,1514,-1
302,3.775525,1514,-1
303,3.777507,54,1
304,3.7778,1514,-1
305,3.778003,1514,-1
306,3.779927,1514,-1
307,3.780176,1514,-1
308,3.786493,54,1
309,3.786644,54,1
310,3.786737,54,1
311,3.789281,91,1
312,3.789468,136,1
313,3.794405,451,-1
314,3.806313,60,-1
315,3.848532,54,1
316,3.859381,347,1
317,3.925513,60,-1
318,4.228612,158,-1
319,4.240684,54,1
320,4.269297,151,-1
321,4.270761,54,1
