Serial number,time,size,direction
1,0.0,285,1
2,0.015882,967,1
3,0.016546,60,-1
4,0.024824,1514,1
5,0.024854,1031,1
6,0.030516,491,1
7,0.032508,60,-1
8,0.032931,491,1
9,0.034298,491,1
10,0.035556,491,1
11,0.036427,491,1
12,0.037543,491,1
13,0.041569,60,-1
14,0.04172,60,-1
15,0.043442,1514,1
16,0.043738,779,1
17,0.047686,60,-1
18,0.049448,1514,1
19,0.049892,60,-1
20,0.051196,60,-1
21,0.051377,1514,1
22,0.052294,60,-1
23,0.052442,99,-1
24,0.053052,1067,1
25,0.053812,491,1
26,0.054316,60,-1
27,0.05575,928,1
28,0.057523,491,1
29,0.06926,60,-1
30,0.071355,60,-1
31,0.071937,1365,1
32,0.075045,60,-1
33,0.130864,491,1
34,0.13422,60,-1
35,0.138309,212,-1
36,0.147359,60,-1
37,0.170116,54,1
38,0.171266,491,1
39,0.187881,60,-1
40,0.228836,491,1
41,0.245405,60,-1
42,0.265863,491,1
43,0.282503,60,-1
44,0.329859,491,1
45,0.346521,60,-1
46,0.374775,491,1
47,0.391451,60,-1
48,0.436058,491,1
49,0.452883,60,-1
50,0.455485,491,1
51,0.472213,60,-1
52,0.525837,491,1
53,0.542359,60,-1
54,0.54656,151,-1
55,0.54775,54,1
56,0.568897,491,1
57,0.620896,491,1
58,0.634248,60,-1
59,0.639966,60,-1
60,0.666781,491,1
61,0.683423,60,-1
62,0.729153,491,1
63,0.746001,60,-1
64,0.757241,491,1
65,0.774827,60,-1
66,0.830152,491,1
67,0.846892,60,-1
68,0.855542,491,1
69,0.872276,60,-1
70,0.932163,491,1
71,0.948923,60,-1
72,0.968642,491,1
73,0.985204,60,-1
74,1.020313,491,1
75,1.036875,60,-1
76,1.062094,491,1
77,1.078593,60,-1
78,1.1379,491,1
79,1.154521,60,-1
80,1.159932,491,1
81,1.176454,60,-1
82,1.225495,491,1
83,1.242859,60,-1
84,1.257518,491,1
85,1.274025,60,-1
86,1.323364,491,1
87,1.339947,60,-1
88,1.369435,491,1
89,1.386029,60,-1
90,1.418381,491,1
91,1.435033,60,-1
92,1.467349,491,1
93,1.484711,60,-1
