Serial number,time,size,direction
1,0.0,95,1
2,0.029171,60,-1
3,0.029173,95,-1
4,0.062068,54,1
5,0.93744,287,1
6,0.950366,940,1
7,0.965221,1514,1
8,0.967028,1514,1
9,0.967044,371,1
10,0.967349,60,-1
11,0.974694,491,1
12,0.975909,491,1
13,0.976968,491,1
14,0.978262,491,1
15,0.97973,491,1
16,0.981423,491,1
17,0.982628,491,1
18,0.984061,60,-1
19,0.985302,928,1
20,0.98601,491,1
21,0.986847,491,1
22,0.987955,491,1
23,0.991543,60,-1
24,0.992888,1365,1
25,0.993768,60,-1
26,0.993929,491,1
27,0.993943,491,1
28,0.995228,491,1
29,0.995912,491,1
30,0.996665,60,-1
31,0.997071,491,1
32,0.99815,491,1
33,0.999271,491,1
34,0.999466,60,-1
35,1.000305,491,1
36,1.002981,60,-1
37,1.004843,60,-1
38,1.0075,491,1
39,1.010773,60,-1
40,1.012018,60,-1
41,1.014446,60,-1
42,1.016343,60,-1
43,1.024304,60,-1
44,1.042625,491,1
45,1.104245,217,-1
46,1.104599,491,1
47,1.105808,54,1
48,1.135278,491,1
49,1.152094,60,-1
50,1.204637,491,1
51,1.273304,60,-1
52,1.329927,491,1
53,1.346831,60,-1
54,1.357136,491,1
55,1.358691,491,1
56,1.374043,60,-1
57,1.375611,60,-1
58,1.446985,491,1
59,1.463849,60,-1
60,1.477268,149,-1
61,1.489623,491,1
62,1.502263,491,1
63,1.519133,60,-1
64,1.544182,491,1
65,1.613264,60,-1
66,1.616736,491,1
67,1.633683,60,-1
68,1.650018,491,1
69,1.667174,60,-1
70,1.697429,491,1
71,1.714323,60,-1
72,1.750977,491,1
73,1.767828,60,-1
74,1.81649,491,1
75,1.833457,60,-1
76,1.875962,491,1
77,1.892825,60,-1
78,1.947421,491,1
79,1.947465,491,1
80,1.964305,60,-1
81,1.964308,60,-1
82,2.00215,491,1
83,2.01897,60,-1
84,2.047537,491,1
85,2.06436,60,-1
86,2.094473,491,1
87,2.111276,60,-1
88,2.142764,491,1
89,2.159606,60,-1
90,2.208313,491,1
91,2.225146,60,-1
92,2.239599,491,1
93,2.256883,60,-1
94,2.304373,491,1
95,2.321296,60,-1
96,2.335515,491,1
97,2.352457,60,-1
98,2.397785,491,1
99,2.414721,60,-1
100,2.445051,491,1
101,2.461984,60,-1
102,2.506368,491,1
103,2.523378,60,-1
104,2.566784,491,1
105,2.583639,60,-1
106,2.60738,491,1
107,2.624868,60,-1
108,2.642059,491,1
109,2.658863,60,-1
110,2.710161,491,1
111,2.727019,60,-1
112,2.738099,491,1
113,2.755293,60,-1
114,2.801746,491,1
115,2.818641,60,-1
116,2.850657,491,1
117,2.867615,60,-1
118,2.89306,491,1
119,2.909977,60,-1
120,2.941082,491,1
121,2.957927,60,-1
122,3.01407,491,1
123,3.030946,60,-1
124,3.039162,491,1
125,3.056142,60,-1
126,3.10533,491,1
127,3.12553,60,-1
128,3.136351,491,1
129,3.153371,60,-1
130,3.202378,491,1
131,3.219224,60,-1
132,3.266625,491,1
133,3.283439,60,-1
134,3.28344,99,-1
135,3.301533,491,1
136,3.34938,491,1
137,3.363302,60,-1
138,3.366298,60,-1
139,3.409862,491,1
140,3.426743,60,-1
141,3.441149,491,1
142,3.458086,60,-1
143,3.517113,491,1
144,3.53415,60,-1
145,3.534159,99,-1
146,3.542023,491,1
147,3.603305,60,-1
148,3.606419,491,1
149,3.623298,60,-1
150,3.661634,491,1
151,3.678462,60,-1
152,3.699405,491,1
153,3.7163,60,-1
154,3.748136,491,1
155,3.765049,60,-1
156,3.814205,491,1
157,3.831003,60,-1
158,3.838339,491,1
159,3.855246,60,-1
160,3.913875,491,1
161,3.930795,60,-1
162,3.972185,491,1
163,3.989109,60,-1
164,4.018603,491,1
165,4.035494,60,-1
166,4.052368,491,1
167,4.069171,60,-1
168,4.096588,491,1
169,4.113381,60,-1
170,4.146581,491,1
171,4.16344,60,-1
172,4.208846,491,1
173,4.225685,60,-1
174,4.243812,491,1
175,4.260671,60,-1
176,4.284777,175,-1
177,4.307809,491,1
178,4.333911,491,1
179,4.351514,60,-1
180,4.433198,491,1
181,4.451865,491,1
182,4.468802,60,-1
183,4.503937,491,1
184,4.557026,491,1
185,4.563338,60,-1
186,4.573902,60,-1
187,4.618016,491,1
188,4.620645,213,-1
189,4.621045,1514,-1
190,4.621137,1514,-1
191,4.621344,1158,-1
192,4.624207,54,1
193,4.624452,54,1
194,4.626682,1514,-1
195,4.626797,1514,-1
196,4.627029,1267,-1
197,4.627031,115,-1
198,4.62935,54,1
199,4.634889,60,-1
200,4.63665,1514,-1
201,4.636867,1514,-1
202,4.641139,1514,-1
203,4.641245,1514,-1
204,4.641433,1186,-1
205,4.669107,54,1
206,4.671349,491,1
207,4.671477,54,1
208,4.673239,54,1
209,4.712439,491,1
210,4.729298,60,-1
211,4.738432,491,1
212,4.746827,91,1
213,4.746954,91,1
214,4.76362,60,-1
215,4.813279,60,-1
216,4.816711,303,1
217,4.833498,60,-1
218,5.063148,160,-1
219,5.098218,155,-1
220,5.099566,54,1
