Serial number,time,size,direction
1,0.0,285,1
2,0.016519,60,-1
3,0.034733,1514,1
4,0.036235,348,1
5,0.037499,491,1
6,0.038884,1291,1
7,0.041296,491,1
8,0.051349,60,-1
9,0.05274,60,-1
10,0.053175,491,1
11,0.054051,60,-1
12,0.054085,491,1
13,0.055508,60,-1
14,0.057324,491,1
15,0.057754,60,-1
16,0.063927,491,1
17,0.065575,491,1
18,0.069666,60,-1
19,0.070583,60,-1
20,0.073915,60,-1
21,0.080741,60,-1
22,0.082264,60,-1
23,0.160265,216,-1
24,0.169103,1514,1
25,0.169744,1514,1
26,0.185764,60,-1
27,0.186176,1514,1
28,0.186397,60,-1
29,0.187021,1514,1
30,0.187052,1514,1
31,0.188597,1514,1
32,0.188627,1514,1
33,0.191929,1514,1
34,0.19346,1514,1
35,0.20282,60,-1
36,0.203645,60,-1
37,0.205278,60,-1
38,0.208574,60,-1
39,0.260804,60,-1
40,0.292172,1514,1
41,0.292795,1031,1
42,0.309408,60,-1
43,0.318924,491,1
44,0.335458,60,-1
45,0.451782,491,1
46,0.453194,491,1
47,0.468376,60,-1
48,0.469848,60,-1
49,0.482154,491,1
50,0.498667,60,-1
51,0.592863,491,1
52,0.60979,60,-1
53,0.622676,491,1
54,0.627989,491,1
55,0.639285,60,-1
56,0.644568,60,-1
57,0.681104,491,1
58,0.698268,60,-1
59,0.766988,491,1
60,0.783604,60,-1
61,0.785996,491,1
62,0.802874,60,-1
63,0.825819,491,1
64,0.842424,60,-1
65,0.886377,491,1
66,0.902837,60,-1
67,0.914306,491,1
68,0.930995,60,-1
69,0.98967,491,1
70,1.006166,60,-1
71,1.021848,491,1
72,1.03838,60,-1
73,1.069348,491,1
74,1.086026,60,-1
75,1.126304,491,1
76,1.142924,60,-1
77,1.187368,491,1
78,1.204034,60,-1
79,1.234576,491,1
80,1.251137,60,-1
81,1.277074,491,1
82,1.293758,60,-1
83,1.314039,491,1
84,1.330815,60,-1
85,1.387497,491,1
86,1.404402,60,-1
87,1.426378,491,1
88,1.442975,60,-1
89,1.473269,491,1
90,1.489804,60,-1
91,1.521268,491,1
92,1.537789,60,-1
93,1.584125,491,1
94,1.601027,60,-1
95,1.625039,491,1
96,1.641645,60,-1
97,1.681997,491,1
98,1.698672,60,-1
99,1.712243,491,1
100,1.730603,60,-1
101,1.730608,99,-1
102,1.768763,54,1
103,1.78427,491,1
104,1.83079,491,1
105,1.847293,60,-1
106,1.873953,491,1
107,1.937453,491,1
108,1.940822,60,-1
109,1.954336,60,-1
110,1.98177,491,1
111,1.998276,60,-1
112,2.025545,491,1
113,2.042121,60,-1
114,2.042122,99,-1
115,2.043431,54,1
116,2.08238,491,1
117,2.109437,491,1
118,2.125977,60,-1
119,2.187804,491,1
120,2.226593,491,1
121,2.243611,60,-1
122,2.27569,491,1
123,2.325467,491,1
124,2.340725,60,-1
125,2.342021,60,-1
126,2.3864,491,1
127,2.402934,60,-1
128,2.424492,491,1
129,2.441256,60,-1
130,2.481099,491,1
131,2.497822,60,-1
132,2.521022,491,1
133,2.537676,60,-1
134,2.587572,491,1
135,2.604345,60,-1
136,2.634463,491,1
137,2.651053,60,-1
138,2.673084,491,1
139,2.689744,60,-1
140,2.720782,491,1
141,2.73744,60,-1
142,2.790436,491,1
143,2.80729,60,-1
144,2.826012,491,1
145,2.842693,60,-1
146,2.889478,491,1
147,2.906126,60,-1
148,2.915604,491,1
149,2.932112,60,-1
150,2.987473,491,1
151,3.004027,60,-1
152,3.023644,491,1
153,3.040114,60,-1
154,3.070404,491,1
155,3.086937,60,-1
156,3.117219,491,1
157,3.13373,60,-1
158,3.188153,491,1
159,3.205544,60,-1
160,3.23633,151,-1
161,3.281674,491,1
162,3.28912,491,1
163,3.289351,491,1
164,3.289371,54,1
165,3.305689,66,-1
166,3.305874,60,-1
167,3.348943,174,-1
168,3.406551,491,1
169,3.423055,60,-1
170,3.425484,491,1
171,3.428427,491,1
172,3.441983,60,-1
173,3.444922,60,-1
174,3.468451,54,1
175,3.555942,491,1
176,3.557286,491,1
177,3.572438,60,-1
178,3.573768,60,-1
179,3.590034,491,1
180,3.60658,60,-1
181,3.624729,491,1
182,3.626212,215,-1
183,3.626554,1514,-1
184,3.626664,1514,-1
185,3.626667,196,-1
186,3.62767,54,1
187,3.630489,54,1
188,3.630764,54,1
189,3.630894,54,1
190,3.663876,1514,-1
191,3.663988,1514,-1
192,3.664099,1267,-1
193,3.664224,1514,-1
194,3.664308,1514,-1
195,3.664455,328,-1
196,3.664457,1030,-1
197,3.664582,1514,-1
198,3.664685,1514,-1
199,3.664903,1267,-1
200,3.719115,491,1
201,3.738805,491,1
202,3.739019,54,1
203,3.744182,54,1
204,3.744449,54,1
205,3.744628,54,1
206,3.744806,54,1
207,3.744884,54,1
208,3.744963,99,1
209,3.755472,60,-1
210,3.755711,1514,-1
211,3.755904,1514,-1
212,3.760653,54,1
213,3.760825,1514,-1
214,3.760934,1514,-1
215,3.761081,1514,-1
216,3.761272,1514,-1
217,3.761392,1514,-1
218,3.761515,1514,-1
219,3.761635,1514,-1
220,3.76176,1514,-1
221,3.761951,1514,-1
222,3.762835,54,1
223,3.777305,1514,-1
224,3.777425,1514,-1
225,3.777602,1514,-1
226,3.779562,1514,-1
227,3.779763,1514,-1
228,3.832249,491,1
229,3.849023,1514,-1
230,3.874834,54,1
231,3.875074,54,1
232,3.87523,54,1
233,3.87538,491,1
234,3.875394,91,1
235,3.875478,91,1
236,3.875555,54,1
237,3.876627,54,1
238,3.877054,99,1
239,3.877232,54,1
240,3.891479,1514,-1
241,3.891594,1514,-1
242,3.891716,1514,-1
243,3.891822,1514,-1
244,3.891952,1514,-1
245,3.892066,1514,-1
246,3.892196,1514,-1
247,3.89239,1514,-1
248,3.893423,1514,-1
249,3.893625,1514,-1
250,3.893967,54,1
251,3.894077,1514,-1
252,3.894207,1514,-1
253,3.894397,1514,-1
254,3.894718,99,1
255,3.895437,54,1
256,3.898114,54,1
257,3.898189,54,1
258,3.898273,54,1
259,3.898425,54,1
260,3.910553,1514,-1
261,3.910746,1514,-1
262,3.911359,1514,-1
263,3.912042,1475,-1
264,3.912775,54,1
265,3.913791,54,1
266,3.945185,429,1
267,4.010752,60,-1
268,4.047868,157,-1
269,4.074453,155,-1
270,4.075786,54,1
