Serial number,time,size,direction
1,0.0,284,1
2,0.01656,60,-1
3,0.047241,1514,1
4,0.048926,347,1
5,0.048955,1514,1
6,0.049008,1031,1
7,0.055512,491,1
8,0.06392,60,-1
9,0.065438,60,-1
10,0.065589,60,-1
11,0.065591,60,-1
12,0.072648,60,-1
13,0.141719,1514,1
14,0.142064,1514,1
15,0.155374,1514,1
16,0.157446,1514,1
17,0.157476,1514,1
18,0.157501,1514,1
19,0.157545,1514,1
20,0.158329,60,-1
21,0.158738,60,-1
22,0.163754,1514,1
23,0.164265,1514,1
24,0.164296,521,1
25,0.167777,218,-1
26,0.17191,54,1
27,0.174195,60,-1
28,0.17441,60,-1
29,0.180524,60,-1
30,0.181168,60,-1
31,0.218562,491,1
32,0.240926,491,1
33,0.257774,60,-1
34,0.367826,491,1
35,0.401788,491,1
36,0.413485,491,1
37,0.418408,60,-1
38,0.478024,60,-1
39,0.522281,491,1
40,0.522569,491,1
41,0.538806,60,-1
42,0.539118,60,-1
43,0.549327,491,1
44,0.565878,60,-1
45,0.656296,491,1
46,0.656687,491,1
47,0.672961,60,-1
48,0.673243,60,-1
49,0.719272,491,1
50,0.735897,60,-1
51,0.752808,491,1
52,0.769434,60,-1
53,0.811265,491,1
54,0.827933,60,-1
55,0.850576,491,1
56,0.867443,60,-1
57,0.967887,491,1
58,0.970173,491,1
59,0.98454,60,-1
60,0.986785,60,-1
61,1.008208,491,1
62,1.025266,60,-1
63,1.04593,491,1
64,1.062481,60,-1
65,1.117265,491,1
66,1.133789,60,-1
67,1.141476,491,1
68,1.15833,60,-1
69,1.207067,491,1
70,1.223984,60,-1
71,1.223987,99,-1
72,1.229645,54,1
73,1.25109,491,1
74,1.30206,491,1
75,1.308413,60,-1
76,1.318828,60,-1
77,1.35418,491,1
78,1.370705,60,-1
79,1.412861,491,1
80,1.429356,60,-1
81,1.452279,491,1
82,1.468788,60,-1
83,1.518128,491,1
84,1.534634,60,-1
85,1.539023,491,1
86,1.555585,60,-1
87,1.616639,491,1
88,1.633155,60,-1
89,1.649042,491,1
90,1.665686,60,-1
91,1.710486,491,1
92,1.727242,60,-1
93,1.754991,491,1
94,1.7716,60,-1
95,1.815402,491,1
96,1.83278,60,-1
97,1.846083,491,1
98,1.87138,60,-1
99,1.917448,491,1
100,1.935061,60,-1
101,1.938777,491,1
102,1.955469,60,-1
103,2.004504,491,1
104,2.02101,60,-1
105,2.050929,491,1
106,2.06741,60,-1
107,2.102153,491,1
108,2.118674,60,-1
109,2.150342,491,1
110,2.16685,60,-1
111,2.215606,491,1
112,2.232457,60,-1
113,2.247432,491,1
114,2.264252,60,-1
115,2.264255,99,-1
116,2.317539,54,1
117,2.317716,491,1
118,2.336808,491,1
119,2.367718,60,-1
120,2.403375,491,1
121,2.453639,491,1
122,2.46778,60,-1
123,2.470159,60,-1
124,2.497077,491,1
125,2.513635,60,-1
126,2.558379,491,1
127,2.580778,60,-1
128,2.613852,491,1
129,2.630826,60,-1
130,2.642408,491,1
131,2.659025,60,-1
132,2.718419,491,1
133,2.735021,60,-1
134,2.73704,491,1
135,2.753697,60,-1
136,2.809694,491,1
137,2.826401,60,-1
138,2.854603,491,1
139,2.871458,60,-1
140,2.910992,491,1
141,2.92758,60,-1
142,2.95485,491,1
143,2.975437,60,-1
144,3.010513,491,1
145,3.027117,60,-1
146,3.045035,491,1
147,3.062572,60,-1
148,3.109656,491,1
149,3.12614,60,-1
150,3.138155,491,1
151,3.154953,60,-1
152,3.208773,491,1
153,3.225303,60,-1
154,3.25269,491,1
155,3.270253,60,-1
156,3.308905,491,1
157,3.325713,60,-1
158,3.354758,491,1
159,3.37164,60,-1
160,3.417578,491,1
161,3.434163,60,-1
162,3.445778,491,1
163,3.462276,60,-1
164,3.519496,491,1
165,3.536338,60,-1
166,3.552076,491,1
167,3.568599,60,-1
168,3.603309,491,1
169,3.619929,60,-1
170,3.650669,491,1
171,3.667192,60,-1
172,3.704705,491,1
173,3.721207,60,-1
174,3.758549,491,1
175,3.775355,60,-1
176,3.813867,491,1
177,3.830578,60,-1
178,3.845737,491,1
179,3.862459,60,-1
180,3.917587,491,1
181,3.934179,60,-1
182,3.938209,491,1
183,3.954814,60,-1
184,4.010221,491,1
185,4.026714,60,-1
186,4.054445,491,1
187,4.071079,60,-1
188,4.102703,491,1
189,4.119284,60,-1
190,4.155144,491,1
191,4.17238,60,-1
192,4.216153,491,1
193,4.233278,60,-1
194,4.251891,491,1
195,4.268564,60,-1
196,4.314445,491,1
197,4.331058,60,-1
198,4.342841,491,1
199,4.359551,60,-1
200,4.389527,150,-1
201,4.396823,54,1
202,4.406482,491,1
203,4.456001,491,1
204,4.467862,60,-1
205,4.472663,60,-1
206,4.510008,491,1
207,4.526636,60,-1
208,4.554501,491,1
209,4.571346,60,-1
210,4.613682,491,1
211,4.630244,60,-1
212,4.644541,491,1
213,4.661112,60,-1
