Serial number,time,size,direction
1,0.0,290,1
2,0.027626,965,1
3,0.043967,60,-1
4,0.059702,1514,1
5,0.061015,231,1
6,0.080964,491,1
7,0.081618,491,1
8,0.082567,491,1
9,0.120871,60,-1
10,0.124568,1514,1
11,0.125002,1514,1
12,0.125034,1267,1
13,0.125098,1514,1
14,0.126339,1335,1
15,0.137855,491,1
16,0.138253,491,1
17,0.140076,491,1
18,0.140764,491,1
19,0.141093,60,-1
20,0.141438,60,-1
21,0.14144,60,-1
22,0.141636,60,-1
23,0.142632,60,-1
24,0.14337,491,1
25,0.144902,491,1
26,0.15403,60,-1
27,0.154461,60,-1
28,0.156235,60,-1
29,0.156967,60,-1
30,0.159558,60,-1
31,0.161086,60,-1
32,0.183855,1514,1
33,0.184633,631,1
34,0.184663,1291,1
35,0.184688,491,1
36,0.19326,491,1
37,0.200232,60,-1
38,0.200832,60,-1
39,0.200998,60,-1
40,0.250767,60,-1
41,0.251959,491,1
42,0.276256,60,-1
43,0.276258,99,-1
44,0.276578,491,1
45,0.280565,54,1
46,0.340752,60,-1
47,0.34785,491,1
48,0.364081,60,-1
49,0.372937,491,1
50,0.37527,213,-1
51,0.376497,54,1
52,0.430784,60,-1
53,0.441906,491,1
54,0.458144,60,-1
55,0.490977,491,1
56,0.507181,60,-1
57,0.535852,491,1
58,0.552288,60,-1
59,0.58348,491,1
60,0.599811,60,-1
61,0.646545,491,1
62,0.662765,60,-1
63,0.67745,491,1
64,0.693677,60,-1
65,0.747705,491,1
66,0.763997,60,-1
67,0.773224,491,1
68,0.789648,60,-1
69,0.842784,491,1
70,0.859121,60,-1
71,0.896611,491,1
72,0.912882,60,-1
73,0.934692,491,1
74,0.950968,60,-1
75,0.98308,491,1
76,0.999334,60,-1
77,1.048377,491,1
78,1.064564,60,-1
79,1.079432,491,1
80,1.095603,60,-1
81,1.155634,491,1
82,1.171826,60,-1
83,1.177692,491,1
84,1.193872,60,-1
85,1.241261,491,1
86,1.257555,60,-1
87,1.28822,491,1
88,1.304517,60,-1
89,1.334682,491,1
90,1.356514,60,-1
91,1.382948,491,1
92,1.399243,60,-1
93,1.448445,491,1
94,1.464876,60,-1
95,1.482728,491,1
96,1.498875,60,-1
97,1.545514,491,1
98,1.561757,60,-1
99,1.583598,491,1
100,1.599773,60,-1
101,1.63895,491,1
102,1.655235,60,-1
103,1.686552,491,1
104,1.702743,60,-1
105,1.738602,491,1
106,1.755059,60,-1
107,1.782349,491,1
108,1.798805,60,-1
109,1.85484,491,1
110,1.871212,60,-1
111,1.879198,491,1
112,1.895481,60,-1
113,1.92828,151,-1
114,1.930156,54,1
115,1.941946,491,1
116,1.979064,491,1
117,1.995471,60,-1
118,2.041321,491,1
119,2.088461,491,1
120,2.100752,60,-1
121,2.104659,60,-1
122,2.132337,491,1
123,2.148598,60,-1
124,2.175229,170,-1
125,2.181885,491,1
126,2.24069,60,-1
127,2.249765,491,1
128,2.265985,60,-1
129,2.280247,491,1
130,2.296425,60,-1
131,2.296426,99,-1
132,2.339945,54,1
133,2.345112,491,1
134,2.388522,491,1
135,2.404756,60,-1
136,2.442231,491,1
137,2.463537,213,-1
138,2.464123,1514,-1
139,2.464295,998,-1
140,2.465559,54,1
141,2.466043,54,1
142,2.466287,54,1
143,2.469221,1514,-1
144,2.469433,1514,-1
145,2.469434,1267,-1
146,2.469435,409,-1
147,2.4716,54,1
148,2.472227,54,1
149,2.472543,54,1
150,2.47307,54,1
151,2.506721,1514,-1
152,2.506843,1514,-1
153,2.506934,1267,-1
154,2.507049,1514,-1
155,2.507107,1514,-1
156,2.507272,328,-1
157,2.507273,1030,-1
158,2.507392,1514,-1
159,2.507504,1514,-1
160,2.507615,1267,-1
161,2.507689,1514,-1
162,2.507803,847,-1
163,2.507868,1514,-1
164,2.508029,511,-1
165,2.508463,491,1
166,2.510501,54,1
167,2.526649,601,-1
168,2.529583,1514,-1
169,2.529679,1514,-1
170,2.529867,1267,-1
171,2.5399,491,1
172,2.540072,54,1
173,2.540235,54,1
174,2.540388,54,1
175,2.540471,54,1
176,2.540542,54,1
177,2.540611,54,1
178,2.54068,54,1
179,2.556275,1514,-1
180,2.5564,1514,-1
181,2.55652,1514,-1
182,2.55665,1514,-1
183,2.556768,1514,-1
184,2.55689,1514,-1
185,2.557012,1514,-1
186,2.557142,1514,-1
187,2.557259,1514,-1
188,2.557386,1514,-1
189,2.557505,1514,-1
190,2.557633,1514,-1
191,2.55775,1514,-1
192,2.55788,1514,-1
193,2.557932,1514,-1
194,2.558098,514,-1
195,2.584847,99,1
196,2.588727,491,1
197,2.589159,54,1
198,2.589286,54,1
199,2.589436,54,1
200,2.589561,54,1
201,2.589685,54,1
202,2.589808,54,1
203,2.58993,54,1
204,2.590567,54,1
205,2.59083,99,1
206,2.601256,1514,-1
207,2.601372,829,-1
208,2.601511,1514,-1
209,2.601604,1514,-1
210,2.601803,334,-1
211,2.601805,332,-1
212,2.601807,91,-1
213,2.605007,99,-1
214,2.605859,54,1
215,2.609357,99,1
216,2.609619,54,1
217,2.610159,54,1
218,2.625464,60,-1
219,2.650552,491,1
220,2.65818,91,1
221,2.658443,91,1
222,2.674351,60,-1
223,2.720768,60,-1
224,2.726344,301,1
225,2.747462,60,-1
226,3.030485,160,-1
227,3.057477,154,-1
228,3.062964,54,1
