Serial number,time,size,direction
1,0.0,95,1
2,0.016629,60,-1
3,0.016632,95,-1
4,0.020065,54,1
5,0.598237,286,1
6,0.660683,969,1
7,0.661025,1291,1
8,0.661043,1514,1
9,0.661055,1031,1
10,0.670452,60,-1
11,0.67725,60,-1
12,0.677605,60,-1
13,0.677827,60,-1
14,0.677828,60,-1
15,0.731772,1514,1
16,0.73207,1514,1
17,0.732086,1267,1
18,0.732499,1514,1
19,0.732515,1514,1
20,0.732527,1267,1
21,0.732538,1514,1
22,0.732548,1239,1
23,0.748511,60,-1
24,0.748676,60,-1
25,0.748677,60,-1
26,0.749139,60,-1
27,0.749293,60,-1
28,0.749294,60,-1
29,0.749481,99,-1
30,0.749482,60,-1
31,0.751047,54,1
32,0.764025,491,1
33,0.778102,215,-1
34,0.830134,54,1
35,0.830294,491,1
36,0.830444,60,-1
37,0.846819,60,-1
38,0.872306,491,1
39,0.889243,60,-1
40,0.918958,491,1
41,0.935756,60,-1
42,0.9539,491,1
43,0.970797,60,-1
44,1.02265,491,1
45,1.039231,60,-1
46,1.063397,491,1
47,1.080419,60,-1
48,1.118253,491,1
49,1.134833,60,-1
50,1.147798,151,-1
51,1.149633,54,1
52,1.180568,491,1
53,1.234402,491,1
54,1.24046,60,-1
55,1.250958,60,-1
56,1.257928,491,1
57,1.274434,60,-1
58,1.326554,491,1
59,1.343214,60,-1
60,1.3536,491,1
61,1.370285,60,-1
62,1.419841,491,1
63,1.43654,60,-1
64,1.464335,491,1
65,1.481697,60,-1
66,1.514837,491,1
67,1.531462,60,-1
68,1.558988,491,1
69,1.576484,60,-1
70,1.63109,491,1
71,1.647657,60,-1
72,1.655775,491,1
73,1.672511,60,-1
74,1.728031,491,1
75,1.744523,60,-1
76,1.752777,491,1
77,1.769673,60,-1
78,1.818096,491,1
79,1.835867,60,-1
80,1.863043,491,1
81,1.879693,60,-1
82,1.911867,491,1
83,1.928685,60,-1
84,1.962869,491,1
85,1.979466,60,-1
86,2.026543,491,1
87,2.043198,60,-1
88,2.059011,491,1
89,2.075593,60,-1
90,2.123803,491,1
91,2.140351,60,-1
92,2.155008,491,1
93,2.171573,60,-1
94,2.220426,491,1
95,2.237122,60,-1
96,2.265335,491,1
97,2.282035,60,-1
98,2.31862,491,1
99,2.336238,60,-1
100,2.360201,491,1
101,2.376787,60,-1
102,2.430759,491,1
103,2.447358,60,-1
104,2.454391,491,1
105,2.470991,60,-1
106,2.527587,491,1
107,2.544222,60,-1
108,2.55159,491,1
109,2.568194,60,-1
110,2.63311,491,1
111,2.649617,60,-1
112,2.666523,491,1
113,2.683328,60,-1
114,2.714392,491,1
115,2.730881,60,-1
116,2.766616,491,1
117,2.783109,60,-1
118,2.82906,491,1
119,2.845548,60,-1
120,2.86241,491,1
121,2.879061,60,-1
122,2.925993,491,1
123,2.942504,60,-1
124,2.951425,491,1
125,2.968183,60,-1
126,2.983367,77,1
127,3.00182,77,-1
128,3.003313,66,1
129,3.023595,491,1
130,3.040627,60,-1
131,3.040892,99,-1
132,3.069029,491,1
133,3.119778,491,1
134,3.130494,60,-1
135,3.136354,60,-1
136,3.165677,491,1
137,3.182305,60,-1
138,3.230928,491,1
139,3.247496,60,-1
140,3.25621,491,1
141,3.272774,60,-1
142,3.324412,491,1
143,3.340962,60,-1
144,3.353762,491,1
145,3.417561,491,1
146,3.434063,60,-1
147,3.462478,491,1
148,3.479183,60,-1
149,3.490996,177,-1
150,3.516373,491,1
151,3.567621,491,1
152,3.580507,60,-1
153,3.584262,60,-1
154,3.628066,491,1
155,3.644714,60,-1
156,3.657745,491,1
157,3.674377,60,-1
158,3.709317,211,-1
159,3.70978,1514,-1
160,3.709884,1514,-1
161,3.710062,1158,-1
162,3.714351,54,1
163,3.715128,54,1
164,3.727397,1514,-1
165,3.727502,1514,-1
166,3.727619,1267,-1
167,3.727765,1514,-1
168,3.727837,1514,-1
169,3.727839,328,-1
170,3.728272,491,1
171,3.730761,54,1
172,3.731028,1514,-1
173,3.731221,1514,-1
174,3.731585,54,1
175,3.731852,1514,-1
176,3.732047,1462,-1
177,3.73235,54,1
178,3.733401,54,1
179,3.734785,54,1
180,3.752931,491,1
181,3.76957,60,-1
182,3.803177,91,1
183,3.803333,91,1
184,3.819125,302,1
185,3.819865,60,-1
186,3.880468,60,-1
187,4.022641,155,-1
188,4.054027,154,-1
189,4.055553,54,1
