Serial number,time,size,direction
1,0.0,54,1
2,0.450252,285,1
3,0.481917,1514,1
4,0.48326,394,1
5,0.498903,60,-1
6,0.528832,1514,1
7,0.531041,1514,1
8,0.531074,1267,1
9,0.5311,1514,1
10,0.531128,1514,1
11,0.531152,275,1
12,0.541981,891,1
13,0.543763,60,-1
14,0.545852,60,-1
15,0.54808,60,-1
16,0.548082,60,-1
17,0.548303,60,-1
18,0.548305,60,-1
19,0.551601,1514,1
20,0.551939,631,1
21,0.558882,60,-1
22,0.568617,60,-1
23,0.568808,60,-1
24,0.588003,1291,1
25,0.590668,491,1
26,0.59147,491,1
27,0.605059,60,-1
28,0.606134,1514,1
29,0.607594,60,-1
30,0.607827,631,1
31,0.60787,491,1
32,0.607896,491,1
33,0.608282,60,-1
34,0.616386,218,-1
35,0.624738,60,-1
36,0.624742,60,-1
37,0.664557,54,1
38,0.664768,491,1
39,0.701531,491,1
40,0.718438,60,-1
41,0.769662,491,1
42,0.788689,491,1
43,0.8056,60,-1
44,0.849829,491,1
45,0.90357,491,1
46,0.913768,60,-1
47,0.920429,60,-1
48,0.940848,491,1
49,0.957683,60,-1
50,1.009763,491,1
51,1.026614,60,-1
52,1.032315,491,1
53,1.049223,60,-1
54,1.097232,491,1
55,1.114184,60,-1
56,1.141286,491,1
57,1.158323,60,-1
58,1.189814,491,1
59,1.206692,60,-1
60,1.248823,491,1
61,1.265739,60,-1
62,1.30389,491,1
63,1.320727,60,-1
64,1.365304,491,1
65,1.382175,60,-1
66,1.405857,491,1
67,1.422733,60,-1
68,1.433996,491,1
69,1.450859,60,-1
70,1.499551,491,1
71,1.516408,60,-1
72,1.545469,491,1
73,1.562431,60,-1
74,1.562435,99,-1
75,1.594949,491,1
76,1.64842,491,1
77,1.665367,60,-1
78,1.708829,491,1
79,1.733444,491,1
80,1.750291,60,-1
81,1.809798,491,1
82,1.830997,491,1
83,1.847816,60,-1
84,1.900815,491,1
85,1.94564,491,1
86,1.962448,60,-1
87,1.989537,491,1
88,2.05881,491,1
89,2.073877,60,-1
90,2.075688,60,-1
91,2.10091,491,1
92,2.117827,60,-1
93,2.135409,491,1
94,2.152318,60,-1
95,2.208857,491,1
96,2.225689,60,-1
97,2.23233,491,1
98,2.24925,60,-1
99,2.295655,491,1
100,2.31261,60,-1
101,2.340933,491,1
102,2.357848,60,-1
103,2.392864,491,1
104,2.409758,60,-1
105,2.446194,491,1
106,2.463096,60,-1
107,2.508015,491,1
108,2.524865,60,-1
109,2.538611,491,1
110,2.555462,60,-1
111,2.585484,149,-1
112,2.607419,491,1
113,2.632585,491,1
114,2.649536,60,-1
115,2.696275,491,1
116,2.753812,60,-1
117,2.757179,491,1
118,2.773981,60,-1
119,2.79907,491,1
120,2.81596,60,-1
121,2.823221,174,-1
122,2.846001,491,1
123,2.863022,99,-1
124,2.89642,54,1
125,2.926674,491,1
126,2.936048,491,1
127,2.952881,60,-1
128,3.011017,491,1
129,3.052254,491,1
130,3.069101,60,-1
131,3.129447,491,1
132,3.153824,491,1
133,3.159816,214,-1
134,3.160171,1514,-1
135,3.16034,682,-1
136,3.176779,1514,-1
137,3.176965,1514,-1
138,3.176966,1267,-1
139,3.177133,1071,-1
140,3.226413,491,1
141,3.251706,1514,-1
142,3.251806,1514,-1
143,3.252003,1267,-1
144,3.261703,491,1
145,3.26178,54,1
146,3.262109,54,1
147,3.262275,54,1
148,3.263228,54,1
149,3.263306,54,1
150,3.265306,54,1
151,3.265383,54,1
152,3.26595,54,1
153,3.266023,54,1
154,3.267606,54,1
155,3.279177,1514,-1
156,3.279184,1514,-1
157,3.279186,1514,-1
158,3.279625,1514,-1
159,3.280569,1514,-1
160,3.280577,1514,-1
161,3.280578,1514,-1
162,3.28092,1514,-1
163,3.282242,54,1
164,3.282786,1514,-1
165,3.282798,1514,-1
166,3.283113,1514,-1
167,3.283203,54,1
168,3.283215,1514,-1
169,3.283217,1514,-1
170,3.283336,1514,-1
171,3.28354,54,1
172,3.284681,1514,-1
173,3.284774,54,1
174,3.284959,54,1
175,3.287214,54,1
176,3.287421,54,1
177,3.291066,99,1
178,3.291213,54,1
179,3.291316,54,1
180,3.291439,54,1
181,3.299477,1514,-1
182,3.300245,1514,-1
183,3.300616,1229,-1
184,3.333086,491,1
185,3.349905,60,-1
186,3.393956,1229,-1
187,3.410787,491,1
188,3.412652,491,1
189,3.41732,91,1
190,3.41746,91,1
191,3.419739,54,1
192,3.420016,66,1
193,3.429485,60,-1
194,3.43424,60,-1
195,3.503042,430,1
196,3.563848,60,-1
197,3.655644,161,-1
198,3.6766,148,-1
199,3.706554,54,1
200,3.706771,54,1
