Serial number,time,size,direction
1,0.0,958,1
2,0.016634,60,-1
3,0.036767,1514,1
4,0.038204,231,1
5,0.038233,491,1
6,0.046096,491,1
7,0.049347,268,1
8,0.050068,491,1
9,0.050344,491,1
10,0.05344,60,-1
11,0.054792,60,-1
12,0.054796,60,-1
13,0.061623,1291,1
14,0.062653,60,-1
15,0.065834,60,-1
16,0.066596,60,-1
17,0.066884,60,-1
18,0.078254,60,-1
19,0.097072,491,1
20,0.097784,491,1
21,0.098386,491,1
22,0.099247,491,1
23,0.113587,60,-1
24,0.114417,60,-1
25,0.114956,60,-1
26,0.115798,60,-1
27,0.125195,491,1
28,0.126821,1514,1
29,0.12685,631,1
30,0.131661,491,1
31,0.135179,491,1
32,0.141707,60,-1
33,0.143188,214,-1
34,0.143514,60,-1
35,0.157634,491,1
36,0.159169,491,1
37,0.160625,491,1
38,0.160653,491,1
39,0.164043,60,-1
40,0.166418,491,1
41,0.167229,491,1
42,0.167664,491,1
43,0.16861,491,1
44,0.169127,491,1
45,0.169966,491,1
46,0.175899,60,-1
47,0.177334,60,-1
48,0.177362,928,1
49,0.1838,60,-1
50,0.185181,60,-1
51,0.186603,60,-1
52,0.195839,1514,1
53,0.196495,1514,1
54,0.196525,1267,1
55,0.212518,60,-1
56,0.213291,60,-1
57,0.239353,795,1
58,0.256086,99,-1
59,0.287039,491,1
60,0.339179,491,1
61,0.35024,60,-1
62,0.35578,60,-1
63,0.387683,491,1
64,0.404336,60,-1
65,0.451648,491,1
66,0.468308,60,-1
67,0.476403,491,1
68,0.493094,60,-1
69,0.549375,491,1
70,0.565976,60,-1
71,0.574395,491,1
72,0.590925,60,-1
73,0.640418,491,1
74,0.656976,60,-1
75,0.686718,491,1
76,0.703259,60,-1
77,0.738366,491,1
78,0.754866,60,-1
79,0.784501,491,1
80,0.801037,60,-1
81,0.831098,77,1
82,0.847699,491,1
83,0.848396,77,-1
84,0.849552,66,1
85,0.864224,60,-1
86,0.881364,491,1
87,0.89798,60,-1
88,0.947073,491,1
89,0.963624,60,-1
90,0.972413,491,1
91,0.989053,60,-1
92,1.045461,491,1
93,1.061985,60,-1
94,1.087251,491,1
95,1.103868,60,-1
96,1.133035,491,1
97,1.149567,60,-1
98,1.181203,491,1
99,1.197785,60,-1
100,1.256021,491,1
101,1.272618,60,-1
102,1.283676,491,1
103,1.300285,60,-1
104,1.344576,491,1
105,1.361188,60,-1
106,1.376077,491,1
107,1.392807,60,-1
108,1.443584,491,1
109,1.460347,60,-1
110,1.488633,491,1
111,1.50529,60,-1
112,1.537472,491,1
113,1.554025,60,-1
114,1.586598,491,1
115,1.603148,60,-1
116,1.655221,491,1
117,1.671754,60,-1
118,1.677138,491,1
119,1.693702,60,-1
120,1.743163,491,1
121,1.759748,60,-1
122,1.774221,491,1
123,1.790799,60,-1
124,1.840412,491,1
125,1.856942,60,-1
126,1.88607,491,1
127,1.902621,60,-1
128,1.933777,491,1
129,1.950392,60,-1
130,1.980455,491,1
131,1.997061,60,-1
132,1.997198,99,-1
133,2.041283,54,1
134,2.047321,491,1
135,2.081948,491,1
136,2.098473,60,-1
137,2.14794,491,1
138,2.195126,491,1
139,2.211668,60,-1
140,2.250031,491,1
141,2.294166,491,1
142,2.310693,60,-1
143,2.338972,491,1
144,2.39112,491,1
145,2.407651,60,-1
146,2.453295,491,1
147,2.483226,491,1
148,2.499943,60,-1
149,2.548969,491,1
150,2.577314,491,1
151,2.593821,60,-1
152,2.646586,491,1
153,2.688519,491,1
154,2.705001,60,-1
155,2.732966,491,1
156,2.790009,491,1
157,2.800308,60,-1
158,2.806678,60,-1
159,2.850204,491,1
160,2.866715,60,-1
161,2.880467,491,1
162,2.897091,60,-1
163,2.944216,491,1
164,2.960874,60,-1
165,2.974027,491,1
166,2.990666,60,-1
167,3.045888,491,1
168,3.062601,60,-1
169,3.089646,491,1
170,3.10622,60,-1
171,3.137932,491,1
172,3.154467,60,-1
173,3.183563,491,1
174,3.200097,60,-1
175,3.25465,491,1
176,3.271269,60,-1
177,3.278654,491,1
178,3.295236,60,-1
179,3.352995,491,1
180,3.369561,60,-1
181,3.372781,491,1
182,3.389335,60,-1
183,3.45725,491,1
184,3.473859,60,-1
185,3.489728,491,1
186,3.506367,60,-1
187,3.537237,150,-1
188,3.53898,491,1
189,3.539136,54,1
190,3.589105,491,1
191,3.605673,60,-1
192,3.650803,491,1
193,3.68767,491,1
194,3.704194,60,-1
195,3.765013,491,1
196,3.7682,173,-1
197,3.769393,54,1
198,3.781622,491,1
199,3.798174,60,-1
200,3.861677,491,1
201,3.904437,491,1
202,3.920215,60,-1
203,3.920942,60,-1
204,3.962916,491,1
205,3.979473,60,-1
206,4.042337,491,1
207,4.048874,491,1
208,4.058904,60,-1
209,4.065482,60,-1
210,4.078871,210,-1
211,4.079241,1514,-1
212,4.079344,1514,-1
213,4.079529,1098,-1
214,4.089147,491,1
215,4.090097,54,1
216,4.090945,54,1
217,4.123612,1514,-1
218,4.123716,1514,-1
219,4.123834,1267,-1
220,4.123967,1514,-1
221,4.12405,1514,-1
222,4.124052,328,-1
223,4.124185,1030,-1
224,4.124318,1514,-1
225,4.124421,1514,-1
226,4.124619,1267,-1
227,4.155656,491,1
228,4.203429,491,1
229,4.215958,54,1
230,4.219957,54,1
231,4.220026,60,-1
232,4.22014,54,1
233,4.220216,54,1
234,4.220504,54,1
235,4.232681,1514,-1
236,4.23281,1514,-1
237,4.23293,1514,-1
238,4.233125,1514,-1
239,4.236577,1514,-1
240,4.236702,1514,-1
241,4.23682,1514,-1
242,4.236941,1514,-1
243,4.237062,1514,-1
244,4.237186,1514,-1
245,4.237306,1514,-1
246,4.237436,1514,-1
247,4.237553,1514,-1
248,4.237674,1514,-1
249,4.237769,1514,-1
250,4.237962,1077,-1
251,4.23818,54,1
252,4.241891,99,1
253,4.242289,54,1
254,4.242409,54,1
255,4.242527,54,1
256,4.242705,54,1
257,4.243451,491,1
258,4.246461,54,1
259,4.246715,54,1
260,4.246836,99,1
261,4.260022,60,-1
262,4.284801,54,1
263,4.310318,60,-1
264,4.357525,491,1
265,4.35772,91,1
266,4.357858,91,1
267,4.374165,60,-1
268,4.374174,60,-1
269,4.374461,60,-1
270,4.376177,369,1
271,4.392774,60,-1
272,4.498767,161,-1
273,4.520955,54,1
274,4.583269,153,-1
275,4.60095,54,1
