Serial number,time,size,direction
1,0.0,107,1
2,0.000153,54,1
3,0.005484,88,1
4,0.006128,104,-1
5,0.009182,74,1
6,0.025635,66,-1
7,0.049596,54,1
8,0.04991,571,1
9,0.051017,54,1
10,0.066225,60,-1
11,0.067116,60,-1
12,0.068472,1514,-1
13,0.068573,1514,-1
14,0.068737,1230,-1
15,0.068739,429,-1
16,0.071249,54,1
17,0.072129,54,1
18,0.072387,54,1
19,0.072922,54,1
20,0.124704,204,1
21,0.141568,129,-1
22,0.144093,54,1
23,0.145599,1514,1
24,0.148437,695,1
25,0.149037,1514,1
26,0.149068,1514,1
27,0.150161,1514,1
28,0.150191,1514,1
29,0.150214,1514,1
30,0.150238,1514,1
31,0.15026,1514,1
32,0.151541,1514,1
33,0.165069,60,-1
34,0.166156,60,-1
35,0.167342,60,-1
36,0.169078,1514,1
37,0.170329,1514,1
38,0.170364,1514,1
39,0.170386,455,1
40,0.185673,60,-1
41,0.187013,60,-1
42,0.20567,251,-1
43,0.205673,123,-1
44,0.211275,54,1
45,0.285898,107,1
46,0.744854,107,1
47,1.664011,107,1
48,1.866848,286,1
49,1.883281,60,-1
50,1.981434,1514,1
51,1.981529,345,1
52,1.982946,1291,1
53,1.99803,60,-1
54,1.999549,60,-1
55,2.010417,1291,1
56,2.027174,60,-1
57,2.043496,1514,1
58,2.045588,1514,1
59,2.045605,1514,1
60,2.045619,1444,1
61,2.045632,1514,1
62,2.060646,60,-1
63,2.062534,1514,1
64,2.062677,60,-1
65,2.062678,60,-1
66,2.062927,60,-1
67,2.06311,60,-1
68,2.066291,1514,1
69,2.066561,1514,1
70,2.06823,1514,1
71,2.068245,1206,1
72,2.079393,60,-1
73,2.083225,491,1
74,2.083318,60,-1
75,2.083484,99,-1
76,2.085129,60,-1
77,2.099721,60,-1
78,2.101371,217,-1
79,2.102529,54,1
80,2.150073,491,1
81,2.209435,491,1
82,2.216251,60,-1
83,2.22597,60,-1
84,2.227112,491,1
85,2.243746,60,-1
86,2.292399,491,1
87,2.309295,60,-1
88,2.318137,491,1
89,2.335338,60,-1
90,2.390959,491,1
91,2.407546,60,-1
92,2.44523,491,1
93,2.462113,60,-1
94,2.493361,491,1
95,2.510358,60,-1
96,2.528137,491,1
97,2.544623,60,-1
98,2.606136,491,1
99,2.620933,491,1
100,2.623335,60,-1
101,2.637621,60,-1
102,2.691558,491,1
103,2.708083,60,-1
104,2.722446,491,1
105,2.739302,60,-1
106,2.786211,491,1
107,2.802711,60,-1
108,2.830039,491,1
109,2.84675,60,-1
110,2.877565,491,1
111,2.894208,60,-1
112,2.930756,491,1
113,2.947808,60,-1
114,3.007211,491,1
115,3.022059,491,1
116,3.023809,60,-1
117,3.03853,60,-1
118,3.094839,491,1
119,3.111406,60,-1
120,3.123101,491,1
121,3.140319,60,-1
122,3.198223,491,1
123,3.214798,60,-1
124,3.230623,491,1
125,3.247132,60,-1
126,3.282232,491,1
127,3.298768,60,-1
128,3.351146,491,1
129,3.367828,60,-1
130,3.403966,491,1
131,3.420602,60,-1
132,3.50149,491,1
133,3.518117,60,-1
134,3.519675,491,1
135,3.519848,107,1
136,3.521465,491,1
137,3.536397,60,-1
138,3.538308,60,-1
139,3.593079,491,1
140,3.60971,60,-1
141,3.648408,491,1
142,3.66494,60,-1
143,3.678877,491,1
144,3.695773,60,-1
145,3.733461,491,1
146,3.750053,60,-1
147,3.822443,491,1
148,3.839057,60,-1
149,3.843205,491,1
150,3.859897,60,-1
151,3.946165,491,1
152,3.96276,60,-1
153,3.978595,491,1
154,3.985205,491,1
155,3.995259,60,-1
156,4.001743,60,-1
157,4.028559,150,-1
158,4.043321,491,1
159,4.082839,491,1
160,4.099281,60,-1
161,4.099425,99,-1
162,4.128468,491,1
163,4.186276,60,-1
164,4.208369,491,1
165,4.221027,491,1
166,4.224945,60,-1
167,4.237509,60,-1
168,4.266697,175,-1
169,4.293278,491,1
170,4.323451,491,1
171,4.339941,60,-1
172,4.387394,491,1
173,4.434205,491,1
174,4.446251,60,-1
175,4.45081,60,-1
176,4.479121,491,1
177,4.496026,60,-1
178,4.525558,491,1
179,4.542138,60,-1
180,4.5967,213,-1
181,4.597132,1514,-1
182,4.597199,1514,-1
183,4.597372,1025,-1
184,4.598152,491,1
185,4.602101,54,1
186,4.602242,54,1
187,4.614746,60,-1
188,4.626206,1514,-1
189,4.626307,1514,-1
190,4.626429,1267,-1
191,4.626574,1514,-1
192,4.626691,1514,-1
193,4.626692,328,-1
194,4.626786,1030,-1
195,4.626981,1514,-1
196,4.627605,491,1
197,4.62875,54,1
198,4.629717,54,1
199,4.630604,54,1
200,4.631497,54,1
201,4.645348,1514,-1
202,4.645543,1514,-1
203,4.646674,1514,-1
204,4.646868,1514,-1
205,4.647259,1514,-1
206,4.647452,1514,-1
207,4.648104,1427,-1
208,4.650236,54,1
209,4.650409,54,1
210,4.652099,54,1
211,4.693348,491,1
212,4.73112,491,1
213,4.747631,60,-1
214,4.794612,491,1
215,4.809794,91,1
216,4.809878,91,1
217,4.826252,60,-1
218,4.876241,60,-1
219,4.940062,431,1
220,4.95669,60,-1
221,5.102434,154,-1
222,5.130493,154,-1
223,5.1379,54,1
