Serial number,time,size,direction
1,0.0,1514,1
2,0.000286,210,1
3,0.016989,60,-1
4,0.016992,60,-1
5,0.033373,263,1
6,0.03509,1291,1
7,0.035123,891,1
8,0.035145,491,1
9,0.035197,491,1
10,0.050151,60,-1
11,0.052069,60,-1
12,0.052073,60,-1
13,0.052075,60,-1
14,0.052076,60,-1
15,0.054353,1514,1
16,0.056053,1514,1
17,0.056086,193,1
18,0.071302,60,-1
19,0.073022,60,-1
20,0.077471,1514,1
21,0.08359,1514,1
22,0.083623,1267,1
23,0.083646,1514,1
24,0.083703,1514,1
25,0.084491,1514,1
26,0.086039,1514,1
27,0.094404,60,-1
28,0.09592,1514,1
29,0.10054,60,-1
30,0.100542,60,-1
31,0.100793,99,-1
32,0.100796,60,-1
33,0.102369,776,1
34,0.102636,54,1
35,0.102981,60,-1
36,0.119262,60,-1
37,0.124831,213,-1
38,0.126231,54,1
39,0.134241,491,1
40,0.204732,60,-1
41,0.205657,491,1
42,0.222577,60,-1
43,0.243495,491,1
44,0.260318,60,-1
45,0.297369,491,1
46,0.314232,60,-1
47,0.339807,491,1
48,0.356636,60,-1
49,0.410411,491,1
50,0.427258,60,-1
51,0.44099,491,1
52,0.457822,60,-1
53,0.500974,491,1
54,0.517787,60,-1
55,0.53592,491,1
56,0.552876,60,-1
57,0.599571,491,1
58,0.616456,60,-1
59,0.654532,491,1
60,0.671479,60,-1
61,0.693425,491,1
62,0.710325,60,-1
63,0.747017,491,1
64,0.76392,60,-1
65,0.807817,491,1
66,0.824647,60,-1
67,0.839259,491,1
68,0.856107,60,-1
69,0.905377,491,1
70,0.922213,60,-1
71,0.937681,491,1
72,0.954501,60,-1
73,1.007192,491,1
74,1.024008,60,-1
75,1.049217,491,1
76,1.066609,60,-1
77,1.097282,491,1
78,1.114173,60,-1
79,1.14462,491,1
80,1.161575,60,-1
81,1.207844,491,1
82,1.224909,60,-1
83,1.239426,491,1
84,1.256311,60,-1
85,1.302575,491,1
86,1.319382,60,-1
87,1.332697,491,1
88,1.349536,60,-1
89,1.430079,491,1
90,1.446978,60,-1
91,1.448017,491,1
92,1.464854,60,-1
93,1.49538,491,1
94,1.512206,60,-1
95,1.542285,491,1
96,1.60471,60,-1
97,1.614592,491,1
98,1.637134,491,1
99,1.684829,60,-1
100,1.70674,491,1
101,1.7344,491,1
102,1.751291,60,-1
103,1.798402,491,1
104,1.815228,60,-1
105,1.848079,491,1
106,1.864866,60,-1
107,1.896925,491,1
108,1.913738,60,-1
109,1.944034,491,1
110,1.960842,60,-1
111,2.009347,491,1
112,2.026171,60,-1
113,2.042133,491,1
114,2.058965,60,-1
115,2.058966,99,-1
116,2.100316,54,1
117,2.126596,491,1
118,2.137296,491,1
119,2.154158,60,-1
120,2.202999,491,1
121,2.2482,491,1
122,2.264868,60,-1
123,2.265178,60,-1
124,2.295511,491,1
125,2.312364,60,-1
126,2.364613,491,1
127,2.381466,60,-1
128,2.404437,491,1
129,2.421249,60,-1
130,2.438719,491,1
131,2.455527,60,-1
132,2.525486,491,1
133,2.541582,491,1
134,2.542357,60,-1
135,2.558414,60,-1
136,2.608601,491,1
137,2.625436,60,-1
138,2.666843,491,1
139,2.683773,60,-1
140,2.696954,491,1
141,2.713927,60,-1
142,2.749832,491,1
143,2.766794,60,-1
144,2.836459,491,1
145,2.853376,60,-1
146,2.858377,491,1
147,2.87523,60,-1
148,2.91455,491,1
149,2.931414,60,-1
150,2.994251,491,1
151,3.000814,491,1
152,3.012841,60,-1
153,3.01774,60,-1
154,3.048631,491,1
155,3.065569,60,-1
156,3.097627,491,1
157,3.11448,60,-1
158,3.144696,491,1
159,3.161529,60,-1
160,3.209086,491,1
161,3.226024,60,-1
162,3.239341,491,1
163,3.256271,60,-1
164,3.303392,491,1
165,3.321853,60,-1
166,3.321855,99,-1
167,3.323772,54,1
168,3.333248,491,1
169,3.404714,60,-1
170,3.413283,491,1
171,3.430128,60,-1
172,3.449345,491,1
173,3.470889,60,-1
174,3.497662,491,1
175,3.514488,60,-1
176,3.54582,491,1
177,3.562647,60,-1
178,3.60946,491,1
179,3.626292,60,-1
180,3.640787,491,1
181,3.657628,60,-1
182,3.705187,491,1
183,3.722147,60,-1
184,3.737234,491,1
185,3.754178,60,-1
186,3.804747,491,1
187,3.821687,60,-1
188,3.846597,491,1
189,3.863513,60,-1
190,3.89609,491,1
191,3.913051,60,-1
192,3.944549,491,1
193,3.961503,60,-1
194,4.01011,491,1
195,4.027104,60,-1
196,4.041423,491,1
197,4.058373,60,-1
198,4.106966,491,1
199,4.123914,60,-1
200,4.140979,491,1
201,4.158398,60,-1
202,4.202555,491,1
203,4.21954,60,-1
204,4.247978,491,1
205,4.264943,60,-1
206,4.295526,491,1
207,4.312389,60,-1
208,4.340092,150,-1
209,4.345081,491,1
210,4.404724,60,-1
211,4.410434,491,1
212,4.427329,60,-1
213,4.437843,491,1
214,4.454783,60,-1
215,4.508616,491,1
216,4.525437,60,-1
217,4.532193,491,1
218,4.549087,60,-1
219,4.603576,491,1
220,4.620364,60,-1
221,4.629783,174,-1
222,4.652718,491,1
223,4.70045,491,1
224,4.714795,60,-1
225,4.717385,60,-1
226,4.747616,491,1
227,4.768333,60,-1
228,4.810199,491,1
229,4.827129,60,-1
230,4.841484,491,1
231,4.85845,60,-1
232,4.931142,491,1
233,4.935505,491,1
234,4.948065,60,-1
235,4.956579,60,-1
236,4.99915,491,1
237,5.01616,60,-1
238,5.049723,491,1
239,5.066637,60,-1
240,5.097441,491,1
241,5.11437,60,-1
242,5.123665,208,-1
243,5.124122,1514,-1
244,5.124243,1514,-1
245,5.124244,216,-1
246,5.131308,1514,-1
247,5.131462,1514,-1
248,5.131464,1267,-1
249,5.131634,1083,-1
250,5.133003,54,1
251,5.133093,54,1
252,5.134865,54,1
253,5.135081,54,1
254,5.145039,491,1
255,5.160809,1514,-1
256,5.160816,1514,-1
257,5.160817,1267,-1
258,5.160818,1514,-1
259,5.161659,1514,-1
260,5.161668,328,-1
261,5.161672,1030,-1
262,5.161674,1514,-1
263,5.161675,1514,-1
264,5.161677,1267,-1
265,5.161678,1514,-1
266,5.16168,847,-1
267,5.164252,54,1
268,5.165354,54,1
269,5.165926,54,1
270,5.167094,54,1
271,5.167745,54,1
272,5.168406,99,1
273,5.181406,1514,-1
274,5.181664,1414,-1
275,5.18434,54,1
276,5.209287,491,1
277,5.226219,60,-1
278,5.242637,491,1
279,5.294511,91,1
280,5.294936,91,1
281,5.31151,60,-1
282,5.354788,60,-1
283,5.36111,419,1
284,5.37808,60,-1
285,5.667817,158,-1
286,5.692903,154,-1
287,5.696392,54,1
