Serial number,time,size,direction
1,0.0,282,1
2,0.01683,60,-1
3,0.057663,940,1
4,0.064584,1291,1
5,0.072244,891,1
6,0.07447,60,-1
7,0.081503,60,-1
8,0.086851,491,1
9,0.089008,60,-1
10,0.093767,491,1
11,0.100854,491,1
12,0.101758,491,1
13,0.103625,60,-1
14,0.110627,60,-1
15,0.117605,60,-1
16,0.118505,60,-1
17,0.123321,491,1
18,0.124623,491,1
19,0.124651,491,1
20,0.12473,491,1
21,0.124791,491,1
22,0.124812,491,1
23,0.124846,491,1
24,0.124883,491,1
25,0.125248,928,1
26,0.140252,60,-1
27,0.141098,491,1
28,0.141647,60,-1
29,0.141649,60,-1
30,0.141652,60,-1
31,0.141654,60,-1
32,0.141656,60,-1
33,0.141826,60,-1
34,0.141829,60,-1
35,0.142214,60,-1
36,0.142366,99,-1
37,0.142586,1514,1
38,0.144053,1514,1
39,0.145688,1267,1
40,0.14948,1195,1
41,0.151003,1291,1
42,0.151384,491,1
43,0.159582,60,-1
44,0.162578,60,-1
45,0.167889,60,-1
46,0.193546,219,-1
47,0.221227,491,1
48,0.245207,491,1
49,0.262019,60,-1
50,0.309855,491,1
51,0.341127,54,1
52,0.359007,491,1
53,0.375799,60,-1
54,0.404799,491,1
55,0.474255,491,1
56,0.479658,60,-1
57,0.491333,60,-1
58,0.519186,491,1
59,0.535964,60,-1
60,0.545247,491,1
61,0.562021,60,-1
62,0.621032,491,1
63,0.637783,60,-1
64,0.642606,491,1
65,0.659369,60,-1
66,0.730859,491,1
67,0.74786,60,-1
68,0.763026,491,1
69,0.77977,60,-1
70,0.810865,491,1
71,0.827754,60,-1
72,0.848985,491,1
73,0.865829,60,-1
74,0.922403,491,1
75,0.939307,60,-1
76,0.947175,491,1
77,0.964022,60,-1
78,1.013084,491,1
79,1.029892,60,-1
80,1.050282,491,1
81,1.067192,60,-1
82,1.10892,491,1
83,1.125716,60,-1
84,1.157204,491,1
85,1.174015,60,-1
86,1.21198,491,1
87,1.228774,60,-1
88,1.258871,491,1
89,1.275631,60,-1
90,1.321303,491,1
91,1.338284,60,-1
92,1.358601,491,1
93,1.375555,60,-1
94,1.430789,491,1
95,1.442446,491,1
96,1.447662,60,-1
97,1.459356,60,-1
98,1.513885,491,1
99,1.530653,60,-1
100,1.558789,491,1
101,1.575536,60,-1
102,1.605498,491,1
103,1.622296,60,-1
104,1.655959,491,1
105,1.673269,60,-1
106,1.719811,491,1
107,1.736809,60,-1
108,1.746653,491,1
109,1.7634,60,-1
110,1.817726,491,1
111,1.838241,60,-1
112,1.842428,491,1
113,1.859258,60,-1
114,1.897345,150,-1
115,1.911177,491,1
116,1.961273,491,1
117,1.978157,60,-1
118,2.010745,491,1
119,2.053611,491,1
120,2.070359,60,-1
121,2.131156,491,1
122,2.152382,491,1
123,2.169299,60,-1
124,2.217763,491,1
125,2.229093,174,-1
126,2.250039,491,1
127,2.266844,60,-1
128,2.318719,491,1
129,2.363073,491,1
130,2.37992,60,-1
131,2.401689,491,1
132,2.418702,99,-1
133,2.458613,54,1
134,2.460071,491,1
135,2.521161,491,1
136,2.537944,60,-1
137,2.545422,209,-1
138,2.545817,1514,-1
139,2.545917,1514,-1
140,2.546098,1104,-1
141,2.547297,491,1
142,2.547382,54,1
143,2.54887,54,1
144,2.548955,54,1
145,2.549101,54,1
146,2.564653,1514,-1
147,2.564762,1514,-1
148,2.564875,1267,-1
149,2.565027,1514,-1
150,2.56511,1514,-1
151,2.565111,328,-1
152,2.565275,1030,-1
153,2.565674,1514,-1
154,2.565803,1514,-1
155,2.565923,1514,-1
156,2.566121,1514,-1
157,2.567026,54,1
158,2.567175,54,1
159,2.567253,54,1
160,2.568384,99,1
161,2.569647,54,1
162,2.571273,54,1
163,2.572032,54,1
164,2.57261,54,1
165,2.583733,363,-1
166,2.629576,60,-1
167,2.632505,54,1
168,2.632614,491,1
169,2.645534,491,1
170,2.649389,60,-1
171,2.662358,60,-1
172,2.682656,91,1
173,2.68286,91,1
174,2.699502,60,-1
175,2.699589,60,-1
176,2.759335,303,1
177,2.77605,60,-1
178,3.038326,161,-1
179,3.044173,54,1
180,3.066899,156,-1
181,3.160715,54,1
