Serial number,time,size,direction
1,0.0,286,1
2,0.01684,60,-1
3,0.057242,1514,1
4,0.057544,361,1
5,0.067544,491,1
6,0.069587,1514,1
7,0.070022,1431,1
8,0.074284,60,-1
9,0.074286,60,-1
10,0.084405,60,-1
11,0.086584,60,-1
12,0.086962,60,-1
13,0.107298,891,1
14,0.118299,1514,1
15,0.119964,1031,1
16,0.119995,891,1
17,0.12422,60,-1
18,0.135037,491,1
19,0.135266,60,-1
20,0.136902,60,-1
21,0.136904,60,-1
22,0.142155,491,1
23,0.143551,491,1
24,0.148863,491,1
25,0.151901,60,-1
26,0.151955,891,1
27,0.153456,491,1
28,0.158978,60,-1
29,0.16043,60,-1
30,0.165693,60,-1
31,0.166491,1514,1
32,0.168871,60,-1
33,0.170257,60,-1
34,0.202357,218,-1
35,0.224567,1514,1
36,0.226434,1514,1
37,0.227719,918,1
38,0.233738,491,1
39,0.243422,60,-1
40,0.250605,60,-1
41,0.273307,491,1
42,0.333633,491,1
43,0.335646,60,-1
44,0.3506,60,-1
45,0.380677,491,1
46,0.397645,60,-1
47,0.423255,491,1
48,0.440258,60,-1
49,0.475389,491,1
50,0.492483,60,-1
51,0.538455,491,1
52,0.555312,60,-1
53,0.574414,491,1
54,0.591284,60,-1
55,0.629584,491,1
56,0.646407,60,-1
57,0.667514,491,1
58,0.684361,60,-1
59,0.735941,491,1
60,0.7528,60,-1
61,0.772863,491,1
62,0.789705,60,-1
63,0.821958,491,1
64,0.838893,60,-1
65,0.874008,491,1
66,0.891032,60,-1
67,0.937305,491,1
68,0.954223,60,-1
69,0.973275,491,1
70,0.99022,60,-1
71,1.035064,491,1
72,1.051968,60,-1
73,1.06687,491,1
74,1.083746,60,-1
75,1.136276,491,1
76,1.153213,60,-1
77,1.175281,491,1
78,1.192154,60,-1
79,1.222697,491,1
80,1.239564,60,-1
81,1.26935,491,1
82,1.286269,60,-1
83,1.34058,491,1
84,1.357586,60,-1
85,1.373325,491,1
86,1.390332,60,-1
87,1.434627,491,1
88,1.451608,60,-1
89,1.465293,491,1
90,1.482228,60,-1
91,1.537271,491,1
92,1.55414,60,-1
93,1.575928,491,1
94,1.592832,60,-1
95,1.621912,491,1
96,1.638874,60,-1
97,1.673411,491,1
98,1.690344,60,-1
99,1.741369,491,1
100,1.758253,60,-1
101,1.777964,491,1
102,1.794863,60,-1
103,1.829045,491,1
104,1.845928,60,-1
105,1.862867,491,1
106,1.879846,60,-1
107,1.879852,99,-1
108,1.918593,54,1
109,1.933575,491,1
110,1.981738,491,1
111,1.998619,60,-1
112,2.027226,491,1
113,2.07241,491,1
114,2.089283,60,-1
115,2.142006,491,1
116,2.17324,491,1
117,2.190204,60,-1
118,2.237499,491,1
119,2.26795,491,1
120,2.284853,60,-1
121,2.336166,491,1
122,2.380542,491,1
123,2.397535,60,-1
124,2.427423,491,1
125,2.446523,99,-1
126,2.448159,54,1
127,2.475933,491,1
128,2.538632,491,1
129,2.555578,60,-1
130,2.573678,491,1
131,2.632409,491,1
132,2.64563,60,-1
133,2.649282,60,-1
134,2.663897,491,1
135,2.680789,60,-1
136,2.738822,491,1
137,2.755677,60,-1
138,2.779192,491,1
139,2.796219,60,-1
140,2.827666,491,1
141,2.844646,60,-1
142,2.875655,491,1
143,2.89273,60,-1
144,2.940836,491,1
145,2.957797,60,-1
146,2.983042,491,1
147,2.999949,60,-1
148,3.036275,491,1
149,3.053231,60,-1
150,3.067073,491,1
151,3.0841,60,-1
152,3.132763,491,1
153,3.149782,60,-1
154,3.182148,491,1
155,3.199079,60,-1
156,3.274644,491,1
157,3.274872,491,1
158,3.291559,60,-1
159,3.291726,60,-1
160,3.392135,491,1
161,3.408736,491,1
162,3.408972,60,-1
163,3.425742,60,-1
164,3.432702,491,1
165,3.4497,60,-1
166,3.483529,491,1
167,3.500461,60,-1
168,3.548666,491,1
169,3.565587,60,-1
170,3.577759,491,1
171,3.594624,60,-1
172,3.626241,491,1
173,3.643104,60,-1
174,3.683456,491,1
175,3.700295,60,-1
176,3.735152,491,1
177,3.751993,60,-1
178,3.8626,491,1
179,3.863114,491,1
180,3.863351,491,1
181,3.879609,60,-1
182,3.879966,60,-1
183,3.880207,60,-1
184,3.936526,491,1
185,3.953552,60,-1
186,3.979487,491,1
187,3.998533,60,-1
188,4.027855,491,1
189,4.044846,60,-1
190,4.075483,491,1
191,4.092484,60,-1
192,4.138612,491,1
193,4.155545,60,-1
194,4.174741,491,1
195,4.191785,60,-1
196,4.233411,151,-1
197,4.234558,491,1
198,4.251418,60,-1
199,4.268479,54,1
200,4.269704,491,1
201,4.286542,60,-1
202,4.336622,491,1
203,4.353479,60,-1
204,4.375049,491,1
205,4.391879,60,-1
206,4.427946,491,1
207,4.444831,60,-1
208,4.472388,491,1
209,4.489327,60,-1
210,4.536515,175,-1
211,4.536728,491,1
212,4.538064,54,1
213,4.553944,60,-1
214,4.57429,491,1
215,4.591221,60,-1
216,4.64284,491,1
217,4.659737,60,-1
218,4.666255,491,1
219,4.68323,60,-1
220,4.736622,491,1
221,4.753785,60,-1
222,4.77764,491,1
223,4.794794,60,-1
224,4.826701,491,1
225,4.84367,60,-1
226,4.874608,491,1
