Serial number,time,size,direction
1,0.0,290,1
2,0.006814,1514,1
3,0.013081,381,1
4,0.017262,60,-1
5,0.024284,60,-1
6,0.030305,60,-1
7,0.05962,1514,1
8,0.06133,231,1
9,0.06384,1514,1
10,0.075522,231,1
11,0.076993,60,-1
12,0.078091,491,1
13,0.078529,60,-1
14,0.080475,928,1
15,0.080759,928,1
16,0.081204,60,-1
17,0.09272,60,-1
18,0.095344,60,-1
19,0.097837,60,-1
20,0.098044,60,-1
21,0.109996,491,1
22,0.111378,491,1
23,0.111393,491,1
24,0.111952,491,1
25,0.112897,491,1
26,0.11356,491,1
27,0.114527,491,1
28,0.115377,491,1
29,0.116307,491,1
30,0.116963,491,1
31,0.127269,60,-1
32,0.128703,60,-1
33,0.128706,60,-1
34,0.129221,60,-1
35,0.130128,60,-1
36,0.130828,60,-1
37,0.131829,60,-1
38,0.132672,60,-1
39,0.133573,60,-1
40,0.134234,60,-1
41,0.15586,1514,1
42,0.157487,1514,1
43,0.157519,1208,1
44,0.174963,60,-1
45,0.174965,60,-1
46,0.185901,491,1
47,0.202336,212,-1
48,0.206197,54,1
49,0.220313,491,1
50,0.237569,60,-1
51,0.290112,491,1
52,0.342474,491,1
53,0.359778,60,-1
54,0.38913,491,1
55,0.430343,491,1
56,0.446599,60,-1
57,0.447753,60,-1
58,0.496475,491,1
59,0.513773,60,-1
60,0.521738,491,1
61,0.539025,60,-1
62,0.573774,150,-1
63,0.59261,491,1
64,0.620247,491,1
65,0.637573,60,-1
66,0.685705,491,1
67,0.735258,491,1
68,0.746608,60,-1
69,0.752546,60,-1
70,0.779931,491,1
71,0.797226,60,-1
72,0.797227,99,-1
73,0.827219,491,1
74,0.886666,60,-1
75,0.89397,491,1
76,0.911361,60,-1
77,0.92304,491,1
78,0.940318,60,-1
79,0.992098,491,1
80,1.009408,60,-1
81,1.022169,491,1
82,1.039422,60,-1
83,1.086631,491,1
84,1.103969,60,-1
85,1.132479,491,1
86,1.149826,60,-1
87,1.181046,491,1
88,1.198406,60,-1
89,1.230403,491,1
90,1.247733,60,-1
91,1.297448,491,1
92,1.314912,60,-1
93,1.323147,491,1
94,1.340467,60,-1
95,1.396251,491,1
96,1.413636,60,-1
97,1.436617,491,1
98,1.453923,60,-1
99,1.482482,491,1
100,1.499803,60,-1
101,1.531497,491,1
102,1.548847,60,-1
103,1.598796,491,1
104,1.616096,60,-1
105,1.632522,491,1
106,1.649957,60,-1
107,1.692594,491,1
108,1.709986,60,-1
109,1.727551,491,1
110,1.744968,60,-1
111,1.793731,491,1
112,1.811102,60,-1
113,1.819286,491,1
114,1.836652,60,-1
115,1.88146,491,1
116,1.898725,60,-1
117,1.930312,491,1
118,1.947595,60,-1
119,1.990503,491,1
120,2.007778,60,-1
121,2.028626,491,1
122,2.045905,60,-1
123,2.0943,491,1
124,2.111556,60,-1
125,2.126573,491,1
126,2.143916,60,-1
127,2.203643,491,1
128,2.221125,60,-1
129,2.221483,491,1
130,2.238801,60,-1
131,2.285289,491,1
132,2.302639,60,-1
133,2.32967,491,1
134,2.346981,60,-1
135,2.400949,491,1
136,2.418217,60,-1
137,2.426068,491,1
138,2.443446,60,-1
139,2.497905,491,1
140,2.51536,60,-1
141,2.521803,491,1
142,2.539085,60,-1
143,2.593225,491,1
144,2.61056,60,-1
145,2.610562,99,-1
146,2.623167,491,1
147,2.686682,60,-1
148,2.690406,491,1
149,2.707789,60,-1
150,2.732049,491,1
151,2.74949,60,-1
152,2.770754,173,-1
153,2.7984,491,1
154,2.831672,491,1
155,2.849012,60,-1
156,2.897567,491,1
157,2.927462,491,1
158,2.944784,60,-1
159,2.997634,491,1
160,3.022579,491,1
161,3.03983,60,-1
162,3.088926,491,1
163,3.135772,491,1
164,3.146607,60,-1
165,3.153052,60,-1
166,3.167578,215,-1
167,3.167802,1514,-1
168,3.167992,1037,-1
169,3.171484,54,1
170,3.17164,1514,-1
171,3.171751,1514,-1
172,3.171813,1267,-1
173,3.171971,615,-1
174,3.180954,54,1
175,3.181109,54,1
176,3.192609,1514,-1
177,3.192611,1514,-1
178,3.192757,1267,-1
179,3.192834,1514,-1
180,3.192905,1514,-1
181,3.193106,328,-1
182,3.193108,1030,-1
183,3.198428,1514,-1
184,3.198609,1514,-1
185,3.198714,1425,-1
186,3.204739,99,1
187,3.20505,491,1
188,3.206932,54,1
189,3.208,54,1
190,3.208137,54,1
191,3.208827,54,1
192,3.211699,54,1
193,3.22248,60,-1
194,3.235965,491,1
195,3.295928,491,1
196,3.296625,60,-1
197,3.30532,91,1
198,3.30549,91,1
199,3.313342,60,-1
200,3.322643,60,-1
201,3.322646,60,-1
202,3.346528,396,1
203,3.363816,60,-1
204,3.546579,156,-1
205,3.581362,54,1
206,3.587421,154,-1
207,3.605653,54,1
