Serial number,time,size,direction
1,0.0,1514,1
2,0.826381,78,-1
3,0.826524,86,-1
4,0.927987,1514,1
5,0.928104,1514,1
6,0.928228,1514,1
7,0.928352,1514,1
8,0.928561,1514,1
9,0.933332,86,-1
10,0.933534,86,-1
11,0.933681,78,-1
12,0.93459,78,-1
13,0.934663,78,-1
14,1.035233,1514,1
15,1.035434,1514,1
16,1.036177,1514,1
17,1.036302,1514,1
18,1.036422,1514,1
19,1.036614,1514,1
20,1.040192,78,-1
21,1.040396,78,-1
22,1.04054,78,-1
23,1.041571,78,-1
24,1.041649,78,-1
25,1.04319,66,-1
26,1.14198,1514,1
27,1.142112,1514,1
28,1.142235,1514,1
29,1.142361,1514,1
30,1.142486,1514,1
31,1.142684,1514,1
32,1.14313,1514,1
33,1.143252,1514,1
34,1.143375,1514,1
35,1.143569,1514,1
36,1.156557,66,-1
37,1.158986,66,-1
38,1.159064,66,-1
39,1.160099,66,-1
40,1.160183,66,-1
41,1.161123,66,-1
42,1.162211,66,-1
43,1.165137,66,-1
44,1.258188,1514,1
45,1.258363,1514,1
46,1.260659,1514,1
47,1.260835,1514,1
48,1.261834,1514,1
49,1.262006,1514,1
50,1.263835,1514,1
51,1.263846,66,-1
52,1.264002,1514,1
53,1.264581,66,-1
54,1.26679,1514,1
55,1.266974,1514,1
56,1.267418,66,-1
57,1.268758,66,-1
58,1.269752,66,-1
59,1.365698,1514,1
60,1.365868,1514,1
61,1.366428,1514,1
62,1.36655,1514,1
63,1.366673,1514,1
64,1.366875,1514,1
65,1.369041,1514,1
66,1.369236,1514,1
67,1.370378,1514,1
68,1.370571,1514,1
69,1.371577,1514,1
70,1.37177,1514,1
71,1.372772,66,-1
72,1.372926,66,-1
73,1.373003,66,-1
74,1.386471,66,-1
75,1.386542,66,-1
76,1.388072,66,-1
77,1.474417,1514,1
78,1.474521,1514,1
79,1.474644,1514,1
80,1.47477,1514,1
81,1.474889,1514,1
82,1.47508,1514,1
83,1.479353,66,-1
84,1.480818,66,-1
85,1.481021,66,-1
86,1.488178,1514,1
87,1.488311,1514,1
88,1.488423,1514,1
89,1.488622,1514,1
90,1.489637,1514,1
91,1.48983,1514,1
92,1.526339,66,-1
93,1.526479,66,-1
94,1.526559,66,-1
95,1.580962,1514,1
96,1.581162,1514,1
97,1.582427,1514,1
98,1.582502,1514,1
99,1.58262,1514,1
100,1.582819,1514,1
101,1.58698,66,-1
102,1.587829,66,-1
103,1.588604,66,-1
104,1.627939,1514,1
105,1.628062,1514,1
106,1.628185,1514,1
107,1.628307,1514,1
108,1.62843,1514,1
109,1.628622,1514,1
110,1.632959,66,-1
111,1.633826,66,-1
112,1.634857,66,-1
113,1.6886,1514,1
114,1.688797,1514,1
115,1.689362,1514,1
116,1.689569,1514,1
117,1.690163,1514,1
118,1.690357,1514,1
119,1.699522,66,-1
120,1.711732,66,-1
121,1.711873,66,-1
122,1.734608,1514,1
123,1.734792,1514,1
124,1.735393,1514,1
125,1.735598,1514,1
126,1.736437,1514,1
127,1.736635,1514,1
128,1.738452,66,-1
129,1.739199,66,-1
130,1.740077,66,-1
131,1.801303,1514,1
132,1.801467,1514,1
133,1.801469,1514,1
134,1.801663,1514,1
135,1.806963,66,-1
136,1.80766,66,-1
137,1.81345,1514,1
138,1.813663,1514,1
139,1.813667,1514,1
140,1.813891,1514,1
141,1.818194,66,-1
142,1.819405,66,-1
143,1.840173,1514,1
144,1.840371,1514,1
145,1.841093,1514,1
146,1.841313,1514,1
147,1.841654,1514,1
148,1.841873,1514,1
149,1.847135,66,-1
150,1.847276,66,-1
151,1.84736,66,-1
152,1.908649,1514,1
153,1.908831,1514,1
154,1.909239,1514,1
155,1.909436,1514,1
156,1.913891,66,-1
157,1.914581,66,-1
158,1.919873,1514,1
159,1.920052,1514,1
160,1.921059,1514,1
161,1.921252,1514,1
162,1.922372,66,-1
163,1.923952,66,-1
164,1.948838,1514,1
165,1.948955,1514,1
166,1.949029,1514,1
167,1.949139,1514,1
168,1.949271,1514,1
169,1.94947,1514,1
170,1.952471,66,-1
171,1.952682,66,-1
172,1.953333,66,-1
173,2.015563,1514,1
174,2.015745,1514,1
175,2.016289,1514,1
176,2.016481,1514,1
177,2.023943,1514,1
178,2.024149,1514,1
179,2.025537,1514,1
180,2.025731,1514,1
181,2.032776,66,-1
182,2.033712,66,-1
183,2.034545,66,-1
184,2.035324,66,-1
185,2.054143,1514,1
186,2.054274,1514,1
187,2.054392,1514,1
188,2.054589,1514,1
189,2.054932,1514,1
190,2.055124,1514,1
191,2.056019,66,-1
192,2.056852,66,-1
193,2.057741,66,-1
194,2.13435,1514,1
195,2.134544,1514,1
196,2.13534,1514,1
197,2.135537,1514,1
198,2.136101,1514,1
199,2.136224,1514,1
200,2.136348,1514,1
201,2.13654,1514,1
202,2.13687,1514,1
203,2.137069,1514,1
204,2.139426,66,-1
205,2.140363,66,-1
206,2.142766,66,-1
207,2.142841,66,-1
208,2.143043,66,-1
209,2.157822,1514,1
210,2.158014,1514,1
211,2.158585,1514,1
212,2.158789,1514,1
213,2.159348,1514,1
214,2.159542,1514,1
215,2.159977,66,-1
216,2.161771,66,-1
217,2.162051,66,-1
218,2.241107,1514,1
219,2.241286,1514,1
220,2.24191,1514,1
221,2.242103,1514,1
222,2.244443,1514,1
223,2.244518,1514,1
224,2.24464,1514,1
225,2.244778,1514,1
226,2.244886,1514,1
227,2.245078,1514,1
228,2.246412,66,-1
229,2.248014,66,-1
230,2.248182,66,-1
231,2.249608,66,-1
232,2.249844,66,-1
233,2.26162,1514,1
234,2.261793,1514,1
235,2.263356,1514,1
236,2.263493,1514,1
237,2.263617,1514,1
238,2.263815,1514,1
239,2.274853,66,-1
240,2.275549,66,-1
241,2.276356,66,-1
242,2.348084,1514,1
243,2.348283,1514,1
244,2.349912,1514,1
245,2.349918,1514,1
246,2.350038,1514,1
247,2.350132,1514,1
248,2.350882,66,-1
249,2.351233,1514,1
250,2.351313,1514,1
251,2.351484,1514,1
252,2.35172,1514,1
253,2.352298,66,-1
254,2.353099,66,-1
255,2.353977,66,-1
256,2.355066,66,-1
257,2.376474,1514,1
258,2.37666,1514,1
259,2.37711,1514,1
260,2.377303,1514,1
261,2.37794,1514,1
262,2.378141,1514,1
263,2.37894,66,-1
264,2.37987,66,-1
265,2.380698,66,-1
266,2.452577,1514,1
267,2.452743,1514,1
268,2.453951,1514,1
269,2.454073,1514,1
270,2.454196,1514,1
271,2.454392,1514,1
272,2.455017,1514,1
273,2.455204,1514,1
274,2.455874,1514,1
275,2.456067,1514,1
276,2.456677,1514,1
277,2.456877,1514,1
278,2.460016,66,-1
279,2.46202,66,-1
280,2.462097,66,-1
281,2.463026,66,-1
282,2.463965,66,-1
283,2.464962,66,-1
284,2.480513,1514,1
285,2.480707,1514,1
286,2.481461,1514,1
287,2.481673,1514,1
288,2.482292,1514,1
289,2.482489,1514,1
290,2.483018,66,-1
291,2.506126,66,-1
292,2.506204,66,-1
293,2.561749,1514,1
294,2.56194,1514,1
295,2.563918,1514,1
296,2.56404,1514,1
297,2.564161,1514,1
298,2.564354,1514,1
299,2.564751,1514,1
300,2.564942,1514,1
301,2.565799,1514,1
302,2.565994,1514,1
303,2.566726,1514,1
304,2.566917,1514,1
305,2.571537,66,-1
306,2.571622,66,-1
307,2.571766,66,-1
308,2.571905,66,-1
309,2.572049,66,-1
310,2.572123,66,-1
311,2.584749,1514,1
312,2.584946,1514,1
313,2.605537,66,-1
314,2.607715,1514,1
315,2.607855,1514,1
316,2.607978,1514,1
317,2.608171,1514,1
318,2.61937,66,-1
319,2.619593,66,-1
320,2.673146,1514,1
321,2.673266,1514,1
322,2.673394,1514,1
323,2.673511,1514,1
324,2.673634,1514,1
325,2.673755,1514,1
326,2.673879,1514,1
327,2.674001,1514,1
328,2.674131,1514,1
329,2.674256,1514,1
330,2.67437,1514,1
331,2.674572,1514,1
332,2.682027,66,-1
333,2.682182,66,-1
334,2.682336,66,-1
335,2.682482,66,-1
336,2.68256,66,-1
337,2.683599,66,-1
338,2.707121,1514,1
339,2.70725,1514,1
340,2.707369,1514,1
341,2.707573,1514,1
342,2.709495,66,-1
343,2.710525,66,-1
344,2.720974,1514,1
345,2.721089,1514,1
346,2.721207,1514,1
347,2.721421,1514,1
348,2.747432,66,-1
349,2.747597,66,-1
350,2.783681,1514,1
351,2.783794,1514,1
352,2.783898,1514,1
353,2.784007,1514,1
354,2.784127,1514,1
355,2.784256,1514,1
356,2.784369,1514,1
357,2.784495,1514,1
358,2.784626,1514,1
359,2.784828,1514,1
360,2.785424,1514,1
361,2.785619,1514,1
362,2.790073,66,-1
363,2.790312,66,-1
364,2.791172,66,-1
365,2.792196,66,-1
366,2.796955,66,-1
367,2.797095,66,-1
368,2.811132,1514,1
369,2.811342,1514,1
370,2.812107,1514,1
371,2.812314,1514,1
372,2.826298,66,-1
373,2.826427,66,-1
374,2.849163,1514,1
375,2.849365,1514,1
376,2.849377,1514,1
377,2.84958,1514,1
378,2.851623,66,-1
379,2.852454,66,-1
380,2.891721,1514,1
381,2.891856,1514,1
382,2.891971,1514,1
383,2.892166,1514,1
384,2.892754,1514,1
385,2.892947,1514,1
386,2.893922,1514,1
387,2.89413,1514,1
388,2.898587,1514,1
389,2.898792,1514,1
390,2.898978,1514,1
391,2.899179,1514,1
392,2.923409,66,-1
393,2.923631,66,-1
394,2.924339,66,-1
395,2.926575,66,-1
396,2.926651,66,-1
397,2.926853,66,-1
398,2.928043,1514,1
399,2.928168,1514,1
400,2.928291,1514,1
401,2.928483,1514,1
402,2.930519,66,-1
403,2.931466,66,-1
404,2.953232,1514,1
405,2.953434,1514,1
406,2.954289,1514,1
407,2.954418,1514,1
408,2.954522,1514,1
409,2.954724,1514,1
410,2.955819,66,-1
411,2.986617,66,-1
412,2.986695,66,-1
413,3.025045,1514,1
414,3.025163,1514,1
415,3.025272,1514,1
416,3.025465,1514,1
417,3.025911,1514,1
418,3.026103,1514,1
419,3.028132,1514,1
420,3.028252,1514,1
421,3.028374,1514,1
422,3.0285,1514,1
423,3.02862,1514,1
424,3.028818,1514,1
425,3.030473,66,-1
426,3.031344,66,-1
427,3.032088,1514,1
428,3.032294,1514,1
429,3.032433,66,-1
430,3.033082,1514,1
431,3.033291,1514,1
432,3.033428,66,-1
433,3.034315,66,-1
434,3.035817,66,-1
435,3.036067,66,-1
436,3.038141,66,-1
437,3.057394,1514,1
438,3.057583,1514,1
439,3.068414,66,-1
440,3.088363,1514,1
441,3.088475,1514,1
442,3.088585,1514,1
443,3.088783,1514,1
444,3.090618,66,-1
445,3.091432,66,-1
446,3.132136,1514,1
447,3.132309,1514,1
448,3.13292,1514,1
449,3.133111,1514,1
450,3.134102,1514,1
451,3.134308,1514,1
452,3.135068,1514,1
453,3.135275,1514,1
454,3.135956,1514,1
455,3.136149,1514,1
456,3.137429,1514,1
457,3.137555,1514,1
458,3.137672,1514,1
459,3.137869,1514,1
460,3.139706,1514,1
461,3.139911,1514,1
462,3.1528,66,-1
463,3.158256,66,-1
464,3.15834,66,-1
465,3.1585,66,-1
466,3.158577,66,-1
467,3.158653,66,-1
468,3.163551,66,-1
469,3.163633,66,-1
470,3.169993,1514,1
471,3.170192,1514,1
472,3.172102,66,-1
473,3.192215,1514,1
474,3.192415,1514,1
475,3.193036,1514,1
476,3.193168,1514,1
477,3.193287,1514,1
478,3.193482,1514,1
479,3.194721,66,-1
480,3.195493,66,-1
481,3.195571,66,-1
482,3.254472,1514,1
483,3.254648,1514,1
484,3.259775,66,-1
485,3.259942,1514,1
486,3.260041,1514,1
487,3.260173,1514,1
488,3.260295,1514,1
489,3.260411,1514,1
490,3.26051,1514,1
491,3.260642,1514,1
492,3.260746,1514,1
493,3.260878,1514,1
494,3.261118,1514,1
495,3.262272,66,-1
496,3.263283,66,-1
497,3.265289,1514,1
498,3.265293,1514,1
499,3.265485,66,-1
500,3.265516,1514,1
501,3.265633,1514,1
502,3.265833,66,-1
503,3.266612,66,-1
504,3.26793,66,-1
505,3.273729,1514,1
506,3.273953,1514,1
507,3.279143,66,-1
508,3.279336,66,-1
509,3.29651,1514,1
510,3.29686,1514,1
511,3.297256,1514,1
512,3.297259,1514,1
513,3.29744,1514,1
514,3.297589,1514,1
515,3.315883,66,-1
516,3.316084,66,-1
517,3.316808,66,-1
518,3.361448,1514,1
519,3.36165,1514,1
520,3.364093,1514,1
521,3.364298,1514,1
522,3.365352,1514,1
523,3.365552,1514,1
524,3.367186,1514,1
525,3.367215,66,-1
526,3.367363,1514,1
527,3.367632,1514,1
528,3.367824,1514,1
529,3.368191,66,-1
530,3.368424,1514,1
531,3.368625,1514,1
532,3.369594,66,-1
533,3.369746,1514,1
534,3.369874,66,-1
535,3.369962,1514,1
536,3.370823,66,-1
537,3.381185,1514,1
538,3.381187,1514,1
539,3.381347,1514,1
540,3.381495,1514,1
541,3.392985,66,-1
542,3.393136,66,-1
543,3.411292,66,-1
544,3.411415,66,-1
545,3.418015,1514,1
546,3.418018,1514,1
547,3.418233,1514,1
548,3.418235,1514,1
549,3.418236,1514,1
550,3.41847,1514,1
551,3.418472,1514,1
552,3.418707,1514,1
553,3.421752,66,-1
554,3.422794,66,-1
555,3.423269,66,-1
556,3.423655,66,-1
557,3.468873,1514,1
558,3.469064,1514,1
559,3.469786,1514,1
560,3.469972,1514,1
561,3.471291,1514,1
562,3.471379,1514,1
563,3.471501,1514,1
564,3.471697,1514,1
565,3.472402,1514,1
566,3.472599,1514,1
567,3.47526,66,-1
568,3.475422,66,-1
569,3.476443,66,-1
570,3.477262,66,-1
571,3.478114,66,-1
572,3.494721,1514,1
573,3.49484,1514,1
574,3.494939,1514,1
575,3.495136,1514,1
576,3.497699,66,-1
577,3.498501,66,-1
578,3.51297,1514,1
579,3.513107,1514,1
580,3.513245,1514,1
581,3.513416,1514,1
582,3.515987,66,-1
583,3.516159,66,-1
584,3.523544,1514,1
585,3.523727,1514,1
586,3.5245,1514,1
587,3.524661,758,1
588,3.526248,66,-1
589,3.526802,66,-1
590,3.543043,1514,1
591,3.543133,1514,1
592,3.543252,1303,1
593,3.54337,1514,1
594,3.543572,1514,1
595,3.547008,66,-1
596,3.547772,66,-1
597,3.547994,66,-1
598,3.576862,1514,1
599,3.576952,1514,1
600,3.576954,268,1
601,3.579793,66,-1
602,3.579878,66,-1
603,3.942092,1514,1
604,3.94219,1514,1
605,3.942285,1303,1
606,3.942413,1514,1
607,3.942506,1514,1
608,3.942606,1303,1
609,3.942803,1300,1
610,3.958504,66,-1
611,3.959406,66,-1
612,3.9596,66,-1
613,3.960573,66,-1
614,4.340162,1514,1
615,4.340166,1514,1
616,4.340499,1303,1
617,4.340501,1514,1
618,4.340503,1514,1
619,4.340611,1303,1
620,4.340816,1301,1
621,4.354055,66,-1
622,4.3549,66,-1
623,4.355185,66,-1
624,4.356439,66,-1
625,4.356722,66,-1
626,4.738087,1514,1
627,4.7382,1514,1
628,4.738288,1303,1
629,4.738413,1514,1
630,4.73851,1514,1
631,4.738624,1303,1
632,4.738683,1514,1
633,4.738715,479,1
634,4.753527,66,-1
635,4.755577,66,-1
636,4.755811,66,-1
637,4.755883,66,-1
638,4.755954,66,-1
