Serial number,time,size,direction
1,0.0,296,1
2,0.016493,60,-1
3,0.052366,985,1
4,0.053131,1514,1
5,0.055539,231,1
6,0.068964,60,-1
7,0.069829,60,-1
8,0.072051,60,-1
9,0.089131,1514,1
10,0.090872,1514,1
11,0.090902,1267,1
12,0.093182,1514,1
13,0.093438,935,1
14,0.093474,491,1
15,0.095342,491,1
16,0.105755,60,-1
17,0.106845,491,1
18,0.107533,60,-1
19,0.107536,60,-1
20,0.108025,491,1
21,0.108053,491,1
22,0.108849,491,1
23,0.109782,491,1
24,0.109875,60,-1
25,0.110035,60,-1
26,0.110037,60,-1
27,0.110534,491,1
28,0.111258,491,1
29,0.111824,60,-1
30,0.112889,491,1
31,0.113428,491,1
32,0.114355,491,1
33,0.123379,60,-1
34,0.124554,60,-1
35,0.124556,60,-1
36,0.125395,60,-1
37,0.126303,60,-1
38,0.12709,60,-1
39,0.127091,99,-1
40,0.129427,60,-1
41,0.130925,60,-1
42,0.136277,1514,1
43,0.136513,705,1
44,0.136547,54,1
45,0.157814,60,-1
46,0.168722,246,1
47,0.170664,491,1
48,0.175046,491,1
49,0.188707,60,-1
50,0.189022,221,-1
51,0.237529,60,-1
52,0.238471,54,1
53,0.238778,491,1
54,0.2553,60,-1
55,0.282807,491,1
56,0.299343,60,-1
57,0.331492,491,1
58,0.34803,60,-1
59,0.379779,491,1
60,0.396374,60,-1
61,0.455137,491,1
62,0.471688,60,-1
63,0.483924,491,1
64,0.500481,60,-1
65,0.544083,491,1
66,0.560654,60,-1
67,0.57129,491,1
68,0.587941,60,-1
69,0.638724,491,1
70,0.655345,60,-1
71,0.718544,491,1
72,0.73509,60,-1
73,0.752043,491,1
74,0.768632,60,-1
75,0.774039,491,1
76,0.79064,60,-1
77,0.840274,491,1
78,0.856856,60,-1
79,0.876355,491,1
80,0.892888,60,-1
81,0.934114,491,1
82,0.950783,60,-1
83,0.982085,491,1
84,0.998576,60,-1
85,1.04036,491,1
86,1.05687,60,-1
87,1.08094,491,1
88,1.097684,60,-1
89,1.131003,491,1
90,1.147614,60,-1
91,1.181165,491,1
92,1.197912,60,-1
93,1.245874,491,1
94,1.262426,60,-1
95,1.27537,491,1
96,1.291889,60,-1
97,1.359713,491,1
98,1.368164,491,1
99,1.376284,60,-1
100,1.384802,60,-1
101,1.451008,491,1
102,1.467573,60,-1
103,1.480231,491,1
104,1.496856,60,-1
105,1.531039,491,1
106,1.547599,60,-1
107,1.579346,491,1
108,1.595952,60,-1
109,1.645844,491,1
110,1.662565,60,-1
111,1.675735,491,1
112,1.692373,60,-1
113,1.742269,491,1
114,1.759031,60,-1
115,1.770656,491,1
116,1.787277,60,-1
117,1.838763,491,1
118,1.855316,60,-1
119,1.87866,491,1
120,1.895228,60,-1
121,1.927334,491,1
122,1.943946,60,-1
123,1.978909,491,1
124,1.995449,60,-1
125,2.041581,491,1
126,2.060056,60,-1
127,2.075387,491,1
128,2.091958,60,-1
129,2.149949,491,1
130,2.166591,60,-1
131,2.173063,491,1
132,2.189772,60,-1
133,2.239975,491,1
134,2.256539,60,-1
135,2.282928,491,1
136,2.299505,60,-1
137,2.33159,491,1
138,2.348094,60,-1
139,2.348247,99,-1
140,2.350406,54,1
141,2.373526,491,1
142,2.378652,152,-1
143,2.418676,54,1
144,2.443438,491,1
145,2.447609,60,-1
146,2.459964,60,-1
147,2.477035,491,1
148,2.484681,170,-1
149,2.486244,54,1
150,2.537561,60,-1
151,2.555496,491,1
152,2.567876,491,1
153,2.572066,60,-1
154,2.584447,60,-1
155,2.635756,239,-1
156,2.636235,1514,-1
157,2.636453,1514,-1
158,2.639451,491,1
159,2.642867,54,1
160,2.648248,54,1
161,2.648446,54,1
162,2.656085,60,-1
163,2.659472,226,-1
164,2.663697,54,1
165,2.66496,1514,-1
166,2.6652,1514,-1
167,2.665202,1514,-1
168,2.665309,1514,-1
169,2.665516,1514,-1
170,2.668709,54,1
171,2.680244,54,1
172,2.680438,1514,-1
173,2.68064,1514,-1
174,2.681324,491,1
175,2.685529,1514,-1
176,2.685718,1514,-1
177,2.685877,54,1
178,2.68602,54,1
179,2.688013,54,1
180,2.697023,1514,-1
181,2.697253,1514,-1
182,2.702522,519,-1
183,2.733565,54,1
184,2.733942,491,1
185,2.736476,54,1
186,2.736671,99,1
187,2.753162,60,-1
188,2.782368,491,1
189,2.803138,91,1
190,2.80321,91,1
191,2.819642,60,-1
192,2.852794,355,1
193,2.867503,60,-1
194,2.869665,60,-1
195,2.956873,160,-1
196,2.990967,154,-1
197,2.992199,54,1
