Serial number,time,size,direction
1,0.0,279,1
2,0.024693,1049,1
3,0.040732,60,-1
4,0.051826,1514,1
5,0.053204,631,1
6,0.0665,891,1
7,0.069245,60,-1
8,0.069437,99,-1
9,0.089734,54,1
10,0.095072,1514,1
11,0.096872,1514,1
12,0.096907,1171,1
13,0.096929,491,1
14,0.096956,491,1
15,0.096977,491,1
16,0.097283,491,1
17,0.111146,60,-1
18,0.112735,1514,1
19,0.113057,60,-1
20,0.113059,60,-1
21,0.113229,60,-1
22,0.113648,1514,1
23,0.11499,1514,1
24,0.116551,1514,1
25,0.116581,332,1
26,0.117557,491,1
27,0.118052,491,1
28,0.118893,491,1
29,0.129741,60,-1
30,0.131465,491,1
31,0.132692,60,-1
32,0.134063,60,-1
33,0.147435,60,-1
34,0.185604,215,-1
35,0.188278,491,1
36,0.229851,491,1
37,0.245835,60,-1
38,0.299817,491,1
39,0.316873,491,1
40,0.332915,60,-1
41,0.387451,491,1
42,0.434445,491,1
43,0.446977,60,-1
44,0.450385,60,-1
45,0.475372,491,1
46,0.491487,60,-1
47,0.524544,491,1
48,0.540629,60,-1
49,0.588914,491,1
50,0.605114,60,-1
51,0.614267,491,1
52,0.630275,60,-1
53,0.686404,491,1
54,0.702363,60,-1
55,0.716997,491,1
56,0.733001,60,-1
57,0.789411,491,1
58,0.805415,60,-1
59,0.824216,491,1
60,0.840255,60,-1
61,0.874161,491,1
62,0.890163,60,-1
63,0.927081,491,1
64,0.943038,60,-1
65,1.000263,491,1
66,1.014083,491,1
67,1.016274,60,-1
68,1.030178,60,-1
69,1.086971,491,1
70,1.103033,60,-1
71,1.114905,491,1
72,1.130954,60,-1
73,1.189762,491,1
74,1.20574,60,-1
75,1.22761,491,1
76,1.244085,60,-1
77,1.276871,491,1
78,1.292897,60,-1
79,1.318011,491,1
80,1.334027,60,-1
81,1.3911,491,1
82,1.407219,60,-1
83,1.426484,491,1
84,1.442498,60,-1
85,1.487971,491,1
86,1.503977,60,-1
87,1.522793,491,1
88,1.538941,60,-1
89,1.589847,491,1
90,1.606031,60,-1
91,1.626011,491,1
92,1.642173,60,-1
93,1.699863,491,1
94,1.715866,60,-1
95,1.72242,491,1
96,1.73842,60,-1
97,1.787033,491,1
98,1.803041,60,-1
99,1.826378,491,1
100,1.842314,60,-1
101,1.881132,491,1
102,1.89715,60,-1
103,1.916281,491,1
104,1.932273,60,-1
105,1.990324,491,1
106,2.006261,60,-1
107,2.028294,491,1
108,2.044412,60,-1
109,2.075777,491,1
110,2.091817,60,-1
111,2.128129,491,1
112,2.144246,60,-1
113,2.189478,491,1
114,2.205525,60,-1
115,2.230368,491,1
116,2.246392,60,-1
117,2.286451,491,1
118,2.30245,60,-1
119,2.302604,99,-1
120,2.314708,491,1
121,2.356863,54,1
122,2.386949,60,-1
123,2.396735,491,1
124,2.412723,60,-1
125,2.426332,491,1
126,2.442436,60,-1
127,2.473785,491,1
128,2.489826,60,-1
129,2.52031,491,1
130,2.536349,60,-1
131,2.536512,99,-1
132,2.553089,54,1
133,2.588271,491,1
134,2.632863,491,1
135,2.647005,60,-1
136,2.648927,60,-1
137,2.710248,491,1
138,2.710464,491,1
139,2.711482,491,1
140,2.725804,60,-1
141,2.726435,60,-1
142,2.727427,60,-1
143,2.793161,491,1
144,2.809137,60,-1
145,2.829951,491,1
146,2.84594,60,-1
147,2.875574,152,-1
148,2.878026,491,1
149,2.936632,172,-1
150,2.95275,491,1
151,2.966732,54,1
152,2.967371,54,1
153,2.985619,491,1
154,3.001731,60,-1
155,3.02729,491,1
156,3.068068,174,-1
157,3.108969,491,1
158,3.121074,156,-1
159,3.158695,491,1
160,3.163737,54,1
161,3.174777,60,-1
162,3.191988,491,1
163,3.212538,91,1
164,3.228525,60,-1
165,3.285669,91,1
166,3.285889,173,1
167,3.285981,197,1
168,3.301976,60,-1
169,3.321585,160,-1
170,3.323272,66,1
171,3.431291,153,-1
172,3.477945,54,1
