Serial number,time,size,direction
1,0.0,1514,1
2,0.014923,78,-1
3,0.028598,1514,1
4,0.028798,1514,1
5,0.030522,78,-1
6,0.030767,78,-1
7,0.061942,1514,1
8,0.062143,1514,1
9,0.063692,78,-1
10,0.064005,78,-1
11,0.097934,1514,1
12,0.098137,1514,1
13,0.12065,78,-1
14,0.121883,78,-1
15,0.132619,1514,1
16,0.13282,1514,1
17,0.134241,78,-1
18,0.165122,78,-1
19,0.170433,1514,1
20,0.170637,1514,1
21,0.172347,78,-1
22,0.172619,78,-1
23,0.20156,1514,1
24,0.201685,1514,1
25,0.201916,1514,1
26,0.203634,66,-1
27,0.204152,66,-1
28,0.204398,66,-1
29,0.235431,1514,1
30,0.252541,66,-1
31,0.264575,1514,1
32,0.26479,1514,1
33,0.266519,66,-1
34,0.266658,66,-1
35,0.291891,1514,1
36,0.29202,1514,1
37,0.292231,1514,1
38,0.294133,66,-1
39,0.294384,66,-1
40,0.317062,1514,1
41,0.340146,1514,1
42,0.340326,1514,1
43,0.342328,66,-1
44,0.363332,1514,1
45,0.363536,1514,1
46,0.365586,66,-1
47,0.385197,1514,1
48,0.385384,1514,1
49,0.388173,66,-1
50,0.406968,1514,1
51,0.407138,1514,1
52,0.410907,66,-1
53,0.426174,1514,1
54,0.426369,1514,1
55,0.428163,66,-1
56,0.445115,1514,1
57,0.445284,1514,1
58,0.450937,66,-1
59,0.463654,1514,1
60,0.463812,1514,1
61,0.467471,66,-1
62,0.481827,1514,1
63,0.482013,1514,1
64,0.493834,66,-1
65,0.499627,1514,1
66,0.499888,1514,1
67,0.501956,66,-1
68,0.517385,1514,1
69,0.517555,1514,1
70,0.519546,66,-1
71,0.534494,1514,1
72,0.534688,1514,1
73,0.536832,66,-1
74,0.551219,1514,1
75,0.551389,1514,1
76,0.558706,66,-1
77,0.565757,1514,1
78,0.56596,1514,1
79,0.58018,1514,1
80,0.580383,1514,1
81,0.594406,1514,1
82,0.594609,1514,1
83,0.608647,1514,1
84,0.608854,1514,1
85,0.654855,66,-1
86,0.65501,66,-1
87,0.661969,66,-1
88,0.662073,1514,1
89,0.6621,66,-1
90,0.662266,1514,1
91,0.663924,66,-1
92,0.670063,1514,1
93,0.670262,1514,1
94,0.671398,66,-1
95,0.688122,1514,1
96,0.688322,1514,1
97,0.690114,66,-1
98,0.70427,1514,1
99,0.704476,1514,1
100,0.706128,66,-1
101,0.719307,1514,1
102,0.719506,1514,1
103,0.73202,1514,1
104,0.732227,1514,1
105,0.733141,66,-1
106,0.733447,66,-1
107,0.74478,1514,1
108,0.744975,1514,1
109,0.746556,66,-1
110,0.756848,1514,1
111,0.757038,1514,1
112,0.759483,66,-1
113,0.768449,1514,1
114,0.768651,1514,1
115,0.772573,66,-1
116,0.779648,1514,1
117,0.779848,1514,1
118,0.78141,66,-1
119,0.790846,1514,1
120,0.791036,1514,1
121,0.801115,1514,1
122,0.801313,1514,1
123,0.811411,1514,1
124,0.81161,1514,1
125,0.816226,66,-1
126,0.821679,1514,1
127,0.821885,1514,1
128,0.823629,66,-1
129,0.823824,66,-1
130,0.824838,66,-1
131,0.826453,66,-1
132,0.831974,1514,1
133,0.832167,1514,1
134,0.834194,66,-1
135,0.842282,1514,1
136,0.842493,1514,1
137,0.844465,66,-1
138,0.850681,1514,1
139,0.850858,1514,1
140,0.853138,66,-1
141,0.859118,1514,1
142,0.859303,1514,1
143,0.86136,66,-1
144,0.866917,1514,1
145,0.867101,1514,1
146,0.870288,66,-1
147,0.874297,1514,1
148,0.874488,1514,1
149,0.881388,1514,1
150,0.88157,1514,1
151,0.888187,1514,1
152,0.888371,1514,1
153,0.889249,66,-1
154,0.889978,66,-1
155,0.890234,66,-1
156,0.894975,1514,1
157,0.895154,1514,1
158,0.898006,66,-1
159,0.901745,1514,1
160,0.901941,1514,1
161,0.904086,66,-1
162,0.907419,1514,1
163,0.907614,1514,1
164,0.910021,66,-1
165,0.912836,1514,1
166,0.91302,1514,1
167,0.916329,66,-1
168,0.918056,1514,1
169,0.918245,1514,1
170,0.921039,66,-1
171,0.923003,1514,1
172,0.923192,1514,1
173,0.925205,66,-1
174,0.927991,1514,1
175,0.928172,1514,1
176,0.930312,66,-1
177,0.932788,1514,1
178,0.93296,1514,1
179,0.935116,66,-1
180,0.937182,1514,1
181,0.937355,1514,1
182,0.939801,66,-1
183,0.941604,1514,1
184,0.941787,1514,1
185,0.944672,66,-1
186,0.945814,1514,1
187,0.946014,1514,1
188,0.948345,66,-1
189,0.949583,1514,1
190,0.949812,1514,1
191,0.952878,66,-1
192,0.953175,1514,1
193,0.953389,1514,1
194,0.956731,1514,1
195,0.956916,1514,1
196,0.960148,1514,1
197,0.960339,1514,1
198,0.963581,1514,1
199,0.963763,1514,1
200,0.966984,1514,1
201,0.967155,1514,1
202,0.970385,1514,1
203,0.970563,1514,1
204,0.972423,66,-1
205,0.97435,66,-1
206,0.974468,66,-1
207,0.977836,66,-1
208,0.977971,66,-1
209,0.979695,1514,1
210,0.979877,1514,1
211,0.9803,66,-1
212,0.981596,1514,1
213,0.981785,1514,1
