Serial number,time,size,direction
1,0.0,293,1
2,0.016558,60,-1
3,0.028347,1514,1
4,0.029134,363,1
5,0.029166,1514,1
6,0.029221,231,1
7,0.029261,491,1
8,0.029346,491,1
9,0.029373,491,1
10,0.029422,491,1
11,0.045079,60,-1
12,0.045704,60,-1
13,0.045863,60,-1
14,0.045866,60,-1
15,0.045867,60,-1
16,0.046022,60,-1
17,0.046024,60,-1
18,0.046902,1365,1
19,0.055837,491,1
20,0.056745,491,1
21,0.058067,491,1
22,0.063595,60,-1
23,0.068256,891,1
24,0.069348,491,1
25,0.072372,60,-1
26,0.073262,60,-1
27,0.074624,60,-1
28,0.082227,891,1
29,0.083288,491,1
30,0.084359,491,1
31,0.084932,60,-1
32,0.08585,60,-1
33,0.098851,60,-1
34,0.099806,60,-1
35,0.10283,491,1
36,0.104069,491,1
37,0.119579,60,-1
38,0.119814,99,-1
39,0.120858,1514,1
40,0.122215,1031,1
41,0.127648,1514,1
42,0.129796,1514,1
43,0.129826,371,1
44,0.129847,491,1
45,0.130864,491,1
46,0.137537,60,-1
47,0.139134,1514,1
48,0.140519,631,1
49,0.144433,60,-1
50,0.146794,60,-1
51,0.147391,60,-1
52,0.157081,60,-1
53,0.1831,491,1
54,0.212487,491,1
55,0.229169,60,-1
56,0.230003,211,-1
57,0.261604,54,1
58,0.274618,491,1
59,0.308738,491,1
60,0.325274,60,-1
61,0.3724,491,1
62,0.427487,491,1
63,0.443988,60,-1
64,0.472971,491,1
65,0.531153,491,1
66,0.547771,60,-1
67,0.586887,491,1
68,0.616307,491,1
69,0.633052,60,-1
70,0.679607,491,1
71,0.715371,491,1
72,0.731974,60,-1
73,0.778868,491,1
74,0.83526,491,1
75,0.851923,60,-1
76,0.90097,491,1
77,0.919324,491,1
78,0.935885,60,-1
79,0.985482,491,1
80,1.011251,491,1
81,1.027884,60,-1
82,1.077005,491,1
83,1.108671,491,1
84,1.125248,60,-1
85,1.194726,491,1
86,1.235347,491,1
87,1.251876,60,-1
88,1.354196,491,1
89,1.359223,491,1
90,1.375767,60,-1
91,1.386239,491,1
92,1.418352,491,1
93,1.434853,60,-1
94,1.500268,491,1
95,1.512371,491,1
96,1.528911,60,-1
97,1.579589,491,1
98,1.629976,491,1
99,1.643657,60,-1
100,1.646774,60,-1
101,1.676017,491,1
102,1.692732,60,-1
103,1.714042,491,1
104,1.730593,60,-1
105,1.812575,491,1
106,1.813041,491,1
107,1.829155,60,-1
108,1.829574,60,-1
109,1.877843,491,1
110,1.894395,60,-1
111,1.928006,491,1
112,1.94457,60,-1
113,1.971112,148,-1
114,1.973953,491,1
115,1.974036,54,1
116,2.024749,491,1
117,2.041314,60,-1
118,2.041315,99,-1
119,2.042832,54,1
120,2.070802,491,1
121,2.122236,491,1
122,2.138778,60,-1
123,2.185745,491,1
124,2.211631,491,1
125,2.228167,60,-1
126,2.28439,491,1
127,2.301938,174,-1
128,2.313525,491,1
129,2.374187,491,1
130,2.383599,60,-1
131,2.39072,60,-1
132,2.410885,580,-1
133,2.422963,491,1
134,2.444606,772,1
135,2.4654,541,-1
136,2.465407,97,-1
137,2.465408,66,-1
138,2.46934,66,1
139,2.46962,66,1
140,2.472712,491,1
141,2.473378,97,1
142,2.473637,66,1
143,2.475799,91,1
144,2.476259,91,1
145,2.480629,60,-1
146,2.483638,60,-1
147,2.489387,60,-1
148,2.492281,60,-1
149,2.492756,60,-1
150,2.603088,74,1
151,2.610627,74,-1
152,2.635189,66,1
153,2.638871,583,1
154,2.645875,158,-1
155,2.646908,66,-1
156,2.647563,218,-1
157,2.664279,66,1
158,2.664709,117,1
159,2.674641,151,-1
160,2.676735,54,1
161,2.723327,66,-1
162,2.742965,776,1
163,2.7504,66,-1
164,2.756151,546,-1
165,2.759804,1514,-1
166,2.759937,1514,-1
167,2.76005,1514,-1
168,2.760177,1514,-1
169,2.760302,1514,-1
170,2.760429,1514,-1
171,2.76054,1514,-1
172,2.76067,1514,-1
173,2.760786,1514,-1
174,2.760916,1514,-1
175,2.761034,1514,-1
176,2.761158,1514,-1
177,2.761289,1514,-1
178,2.761412,1514,-1
179,2.761526,1514,-1
180,2.761739,1514,-1
181,2.761979,66,1
182,2.762145,66,1
183,2.76228,1514,-1
184,2.762487,1514,-1
185,2.763215,66,1
186,2.763529,1514,-1
187,2.763731,1514,-1
188,2.764757,66,1
189,2.764827,1514,-1
190,2.765016,1514,-1
191,2.766124,1514,-1
192,2.766206,66,1
193,2.766308,1514,-1
194,2.767795,66,1
195,2.769815,1514,-1
196,2.770012,1514,-1
197,2.770359,1514,-1
198,2.770553,1514,-1
199,2.77128,1514,-1
200,2.77148,1514,-1
201,2.772091,66,1
202,2.772169,1514,-1
203,2.77221,66,1
204,2.772376,1514,-1
205,2.772418,66,1
206,2.772581,66,1
207,2.772657,66,1
208,2.773019,1514,-1
209,2.773212,1514,-1
210,2.773745,1514,-1
211,2.773936,1514,-1
212,2.774593,1514,-1
213,2.774789,1514,-1
214,2.774925,66,1
215,2.775189,1514,-1
216,2.775377,1514,-1
217,2.775767,66,1
218,2.775893,1514,-1
219,2.776086,1514,-1
220,2.776536,1514,-1
221,2.776746,1514,-1
222,2.776883,66,1
223,2.777212,1514,-1
224,2.777405,1514,-1
225,2.787167,66,1
226,2.787252,66,1
227,2.787375,1514,-1
228,2.78746,66,1
229,2.787496,1514,-1
230,2.787628,1514,-1
231,2.787671,66,1
232,2.787747,1514,-1
