Serial number,time,size,direction
1,0.0,286,1
2,0.000386,566,1
3,0.000415,566,1
4,0.000454,566,1
5,0.00048,354,1
6,0.015485,566,1
7,0.017584,60,-1
8,0.017929,60,-1
9,0.017932,60,-1
10,0.017934,60,-1
11,0.020048,566,1
12,0.021672,267,1
13,0.021701,566,1
14,0.021736,379,1
15,0.03299,60,-1
16,0.033504,566,1
17,0.034405,566,1
18,0.03759,60,-1
19,0.038938,566,1
20,0.039159,60,-1
21,0.039162,60,-1
22,0.039163,60,-1
23,0.039278,155,1
24,0.039379,99,-1
25,0.042434,54,1
26,0.043521,566,1
27,0.044947,379,1
28,0.046482,491,1
29,0.05196,60,-1
30,0.053726,566,1
31,0.055022,416,1
32,0.056922,60,-1
33,0.059159,566,1
34,0.060518,566,1
35,0.062453,60,-1
36,0.071661,60,-1
37,0.076671,60,-1
38,0.12018,60,-1
39,0.120425,214,-1
40,0.136988,566,1
41,0.137628,566,1
42,0.139699,566,1
43,0.141474,566,1
44,0.141516,566,1
45,0.141543,566,1
46,0.141571,566,1
47,0.141595,566,1
48,0.160711,60,-1
49,0.164302,566,1
50,0.164834,566,1
51,0.164863,566,1
52,0.164886,566,1
53,0.164908,566,1
54,0.164931,566,1
55,0.166309,566,1
56,0.166338,566,1
57,0.182496,60,-1
58,0.1825,60,-1
59,0.183942,60,-1
60,0.184085,566,1
61,0.184711,566,1
62,0.184741,228,1
63,0.188253,491,1
64,0.201707,60,-1
65,0.202349,60,-1
66,0.205836,60,-1
67,0.249949,491,1
68,0.267541,60,-1
69,0.28574,491,1
70,0.30344,60,-1
71,0.350074,491,1
72,0.367814,60,-1
73,0.381186,491,1
74,0.398761,60,-1
75,0.444303,491,1
76,0.462342,60,-1
77,0.494767,491,1
78,0.512335,60,-1
79,0.546305,491,1
80,0.56396,60,-1
81,0.589668,491,1
82,0.607481,60,-1
83,0.655424,491,1
84,0.673035,60,-1
85,0.691111,491,1
86,0.70905,60,-1
87,0.751771,491,1
88,0.76968,60,-1
89,0.778997,491,1
90,0.796666,60,-1
91,0.844477,491,1
92,0.862139,60,-1
93,0.890463,491,1
94,0.908407,60,-1
95,0.939364,491,1
96,0.95708,60,-1
97,1.004048,491,1
98,1.021713,60,-1
99,1.056718,491,1
100,1.074833,60,-1
101,1.088188,491,1
102,1.105726,60,-1
103,1.156791,491,1
104,1.174348,60,-1
105,1.19645,491,1
106,1.214093,60,-1
107,1.255866,491,1
108,1.273446,60,-1
109,1.303661,491,1
110,1.32124,60,-1
111,1.342178,491,1
112,1.359835,60,-1
113,1.397771,491,1
114,1.41544,60,-1
115,1.456452,491,1
116,1.474033,60,-1
117,1.481608,491,1
118,1.49918,60,-1
119,1.54767,491,1
120,1.565243,60,-1
121,1.579498,491,1
122,1.596988,60,-1
123,1.644401,491,1
124,1.662356,60,-1
125,1.689914,491,1
126,1.708837,60,-1
127,1.737052,491,1
128,1.754903,60,-1
129,1.796074,491,1
130,1.813762,60,-1
131,1.954468,491,1
132,1.955029,491,1
133,1.955111,491,1
134,1.955215,491,1
135,1.972124,60,-1
136,1.972597,60,-1
137,1.972598,66,-1
138,1.97276,60,-1
139,2.007584,151,-1
140,2.083294,491,1
141,2.083539,491,1
142,2.083902,175,-1
143,2.085293,54,1
144,2.096052,491,1
145,2.101557,60,-1
146,2.160534,60,-1
147,2.206501,491,1
148,2.209191,491,1
149,2.224453,60,-1
150,2.227127,60,-1
151,2.26304,491,1
152,2.280645,60,-1
153,2.286222,285,-1
154,2.28671,1514,-1
155,2.28684,691,-1
156,2.293657,1514,-1
157,2.293661,1514,-1
158,2.293782,1267,-1
159,2.293942,1133,-1
160,2.331094,1514,-1
161,2.337734,491,1
162,2.386865,491,1
163,2.387171,491,1
164,2.38721,54,1
165,2.400276,60,-1
166,2.402802,54,1
167,2.402923,54,1
168,2.404394,60,-1
169,2.404892,1514,-1
170,2.405016,1514,-1
171,2.405147,1514,-1
172,2.405362,1514,-1
173,2.422616,1514,-1
174,2.422683,1514,-1
175,2.422766,1514,-1
176,2.422982,1514,-1
177,2.462454,54,1
178,2.480202,1514,-1
179,2.480369,1514,-1
180,2.516584,491,1
181,2.516897,54,1
182,2.517133,54,1
183,2.517319,491,1
184,2.51734,54,1
185,2.517442,54,1
186,2.517525,54,1
187,2.517607,54,1
188,2.517686,54,1
189,2.517761,54,1
190,2.534539,1514,-1
191,2.534741,1514,-1
192,2.535016,1514,-1
193,2.535125,1514,-1
194,2.53525,1514,-1
195,2.535383,1514,-1
196,2.535489,1514,-1
197,2.535609,1514,-1
198,2.535806,1514,-1
199,2.650212,91,1
200,2.65037,91,1
201,2.650476,54,1
202,2.650575,54,1
203,2.650657,54,1
204,2.65074,54,1
205,2.650859,543,1
206,2.668047,1514,-1
207,2.668299,1121,-1
208,2.670828,54,1
209,2.710592,60,-1
210,2.741987,162,-1
211,2.784199,54,1
212,2.86894,154,-1
213,2.88084,54,1
214,2.911238,77,1
215,2.92855,77,-1
216,2.930577,66,1
