Serial number,time,size,direction
1,0.0,286,1
2,0.016593,60,-1
3,0.062281,1093,1
4,0.074073,1514,1
5,0.07437,231,1
6,0.075477,491,1
7,0.07608,491,1
8,0.079376,60,-1
9,0.088234,1514,1
10,0.089602,631,1
11,0.090046,891,1
12,0.090829,60,-1
13,0.090831,60,-1
14,0.092193,60,-1
15,0.092642,60,-1
16,0.10504,60,-1
17,0.106143,60,-1
18,0.106646,60,-1
19,0.126273,491,1
20,0.135523,491,1
21,0.137007,491,1
22,0.137037,491,1
23,0.13706,491,1
24,0.137082,491,1
25,0.137113,491,1
26,0.137136,491,1
27,0.137159,491,1
28,0.137182,491,1
29,0.137532,928,1
30,0.138975,491,1
31,0.139004,491,1
32,0.139028,491,1
33,0.144156,60,-1
34,0.145717,1514,1
35,0.147274,1514,1
36,0.153122,60,-1
37,0.154485,60,-1
38,0.154506,630,1
39,0.154487,60,-1
40,0.154617,60,-1
41,0.15462,60,-1
42,0.154622,60,-1
43,0.154624,60,-1
44,0.154792,60,-1
45,0.154794,60,-1
46,0.154979,60,-1
47,0.156302,60,-1
48,0.156306,60,-1
49,0.156307,60,-1
50,0.162432,60,-1
51,0.164034,60,-1
52,0.171213,60,-1
53,0.177144,1514,1
54,0.17763,1514,1
55,0.177665,808,1
56,0.191522,216,-1
57,0.192877,54,1
58,0.196447,60,-1
59,0.215467,491,1
60,0.232035,60,-1
61,0.260898,491,1
62,0.317461,491,1
63,0.332344,60,-1
64,0.334149,60,-1
65,0.378722,491,1
66,0.395923,60,-1
67,0.417853,491,1
68,0.434416,60,-1
69,0.473106,491,1
70,0.48979,60,-1
71,0.503191,491,1
72,0.51981,60,-1
73,0.564355,491,1
74,0.580891,60,-1
75,0.622061,491,1
76,0.638679,60,-1
77,0.66634,491,1
78,0.682877,60,-1
79,0.714281,491,1
80,0.730939,60,-1
81,0.730941,99,-1
82,0.77929,54,1
83,0.779573,491,1
84,0.811491,491,1
85,0.828536,60,-1
86,0.875155,491,1
87,0.905376,491,1
88,0.922033,60,-1
89,0.970621,491,1
90,1.019461,491,1
91,1.036073,60,-1
92,1.063939,491,1
93,1.114264,491,1
94,1.130828,60,-1
95,1.181294,491,1
96,1.205272,491,1
97,1.221992,60,-1
98,1.276403,491,1
99,1.310532,491,1
100,1.327305,60,-1
101,1.373166,491,1
102,1.419204,491,1
103,1.436544,60,-1
104,1.47102,491,1
105,1.517096,491,1
106,1.533654,60,-1
107,1.57649,491,1
108,1.604928,491,1
109,1.622219,60,-1
110,1.675051,491,1
111,1.702899,491,1
112,1.719523,60,-1
113,1.77058,491,1
114,1.821465,491,1
115,1.838121,60,-1
116,1.86389,491,1
117,1.915388,491,1
118,1.93209,60,-1
119,1.97898,491,1
120,2.009961,491,1
121,2.026691,60,-1
122,2.026692,99,-1
123,2.027988,54,1
124,2.076352,491,1
125,2.105845,491,1
126,2.122395,60,-1
127,2.1709,491,1
128,2.222446,491,1
129,2.239105,60,-1
130,2.272018,491,1
131,2.312639,491,1
132,2.362676,60,-1
133,2.381499,491,1
134,2.398167,60,-1
135,2.411201,491,1
136,2.427903,60,-1
137,2.477141,491,1
138,2.49367,60,-1
139,2.507977,491,1
140,2.523136,151,-1
141,2.5414,54,1
142,2.569628,491,1
143,2.582818,60,-1
144,2.586214,60,-1
145,2.608476,174,-1
146,2.646143,491,1
147,2.646358,54,1
148,2.670176,491,1
149,2.687137,60,-1
150,2.714653,491,1
151,2.7723,60,-1
152,2.781534,491,1
153,2.798214,60,-1
154,2.809841,282,-1
155,2.81013,1514,-1
156,2.810342,745,-1
157,2.811537,54,1
158,2.812146,491,1
159,2.812425,54,1
160,2.86653,1514,-1
161,2.867018,1514,-1
162,2.867021,1267,-1
163,2.867023,1514,-1
164,2.867025,1514,-1
165,2.867336,328,-1
166,2.867339,1030,-1
167,2.867341,1514,-1
168,2.867402,1514,-1
169,2.872466,54,1
170,2.874979,54,1
171,2.87517,54,1
172,2.875492,54,1
173,2.880134,491,1
174,2.889252,1514,-1
175,2.889446,1514,-1
176,2.891688,54,1
177,2.891851,1514,-1
178,2.891941,1514,-1
179,2.892068,1514,-1
180,2.892194,1514,-1
181,2.892313,1514,-1
182,2.892519,1514,-1
183,2.897297,1514,-1
184,2.899342,54,1
185,2.899612,54,1
186,2.899804,54,1
187,2.908421,1514,-1
188,2.908617,1514,-1
189,2.916239,1514,-1
190,2.916629,1514,-1
191,2.91663,1514,-1
192,2.916631,1514,-1
193,2.916838,559,-1
194,2.941955,491,1
195,2.942223,54,1
196,2.942329,54,1
197,2.942422,54,1
198,2.949854,99,1
199,2.966495,60,-1
200,2.97452,491,1
201,3.024748,91,1
202,3.024872,91,1
203,3.030277,350,1
204,3.042337,60,-1
205,3.04746,60,-1
206,3.073607,157,-1
207,3.111202,54,1
208,3.190876,154,-1
209,3.192123,54,1
