Serial number,time,size,direction
1,0.0,288,1
2,0.017275,60,-1
3,0.019449,963,1
4,0.024548,1514,1
5,0.024944,1514,1
6,0.024976,82,1
7,0.036086,60,-1
8,0.040269,1514,1
9,0.041212,60,-1
10,0.041283,1468,1
11,0.041315,491,1
12,0.041659,60,-1
13,0.042606,491,1
14,0.043849,928,1
15,0.044791,491,1
16,0.056987,60,-1
17,0.058449,60,-1
18,0.058451,60,-1
19,0.058741,1514,1
20,0.059548,60,-1
21,0.06041,1514,1
22,0.060612,60,-1
23,0.06105,1514,1
24,0.061307,60,-1
25,0.062081,1514,1
26,0.063717,510,1
27,0.068029,491,1
28,0.075711,60,-1
29,0.077241,60,-1
30,0.07779,60,-1
31,0.078733,60,-1
32,0.080234,60,-1
33,0.084523,60,-1
34,0.117233,491,1
35,0.133948,60,-1
36,0.142916,215,-1
37,0.179628,491,1
38,0.216451,491,1
39,0.233912,60,-1
40,0.278785,491,1
41,0.310192,491,1
42,0.326838,60,-1
43,0.375804,491,1
44,0.424312,491,1
45,0.441108,60,-1
46,0.469037,491,1
47,0.519029,149,-1
48,0.548365,491,1
49,0.578081,491,1
50,0.595381,60,-1
51,0.612264,491,1
52,0.673349,491,1
53,0.684773,60,-1
54,0.690495,60,-1
55,0.719173,491,1
56,0.735716,60,-1
57,0.843601,491,1
58,0.8438,491,1
59,0.861211,60,-1
60,0.861213,60,-1
61,0.867563,491,1
62,0.885251,60,-1
63,0.936514,491,1
64,0.953122,60,-1
65,0.97933,491,1
66,0.996237,60,-1
67,1.014922,491,1
68,1.031577,60,-1
69,1.083032,491,1
70,1.100118,60,-1
71,1.119754,491,1
72,1.136532,60,-1
73,1.178055,491,1
74,1.194663,60,-1
75,1.252837,491,1
76,1.269371,60,-1
77,1.301369,491,1
78,1.317969,60,-1
79,1.323144,491,1
80,1.340571,60,-1
81,1.441422,491,1
82,1.441495,491,1
83,1.458028,60,-1
84,1.458167,60,-1
85,1.472451,491,1
86,1.489072,60,-1
87,1.507751,491,1
88,1.525966,60,-1
89,1.579267,491,1
90,1.595963,60,-1
91,1.624561,491,1
92,1.641638,60,-1
93,1.641646,99,-1
94,1.67018,491,1
95,1.7227,491,1
96,1.739293,60,-1
97,1.780774,491,1
98,1.81119,491,1
99,1.828328,60,-1
100,1.885935,491,1
101,1.905516,491,1
102,1.922059,60,-1
103,1.977818,491,1
104,2.024209,491,1
105,2.040832,60,-1
106,2.067345,491,1
107,2.118458,491,1
108,2.135282,60,-1
109,2.182091,491,1
110,2.225315,491,1
111,2.241975,60,-1
112,2.282539,491,1
113,2.307681,491,1
114,2.325955,60,-1
115,2.378691,491,1
116,2.420196,491,1
117,2.436741,60,-1
118,2.436901,99,-1
119,2.470752,54,1
120,2.471389,491,1
121,2.5222,491,1
122,2.539053,60,-1
123,2.583678,491,1
124,2.614952,491,1
125,2.632215,60,-1
126,2.676656,491,1
127,2.707285,491,1
128,2.72391,60,-1
129,2.777267,491,1
130,2.824604,491,1
131,2.841553,60,-1
132,2.879278,491,1
133,2.913482,176,-1
134,2.916757,491,1
135,2.917806,54,1
136,2.985519,491,1
137,3.002826,60,-1
138,3.016247,491,1
139,3.083255,60,-1
140,3.090737,491,1
141,3.107686,60,-1
142,3.113523,491,1
143,3.118018,337,-1
144,3.11849,1514,-1
145,3.118599,1514,-1
146,3.1186,163,-1
147,3.120738,54,1
148,3.121134,54,1
149,3.1213,54,1
150,3.124441,1514,-1
151,3.124596,1514,-1
152,3.124714,1267,-1
153,3.124715,218,-1
154,3.12898,54,1
155,3.129116,54,1
156,3.134235,54,1
157,3.134372,54,1
158,3.134457,54,1
159,3.173308,60,-1
160,3.174991,1514,-1
161,3.175072,1514,-1
162,3.175073,1267,-1
163,3.175075,1514,-1
164,3.176239,1514,-1
165,3.176249,328,-1
166,3.17625,1030,-1
167,3.176252,1514,-1
168,3.176253,1514,-1
169,3.176255,1267,-1
170,3.176256,1514,-1
171,3.176258,847,-1
172,3.176259,1514,-1
173,3.176261,511,-1
174,3.176263,601,-1
175,3.189099,54,1
176,3.189248,54,1
177,3.190563,54,1
178,3.19075,54,1
179,3.191952,54,1
180,3.193104,54,1
181,3.194045,54,1
182,3.194835,54,1
183,3.197664,54,1
184,3.198203,1514,-1
185,3.198413,491,1
186,3.207558,1514,-1
187,3.207731,1514,-1
188,3.20862,1514,-1
189,3.208808,1514,-1
190,3.209677,1514,-1
191,3.20981,1514,-1
192,3.209923,1514,-1
193,3.210124,1514,-1
194,3.210648,54,1
195,3.210774,1514,-1
196,3.210799,66,1
197,3.210913,66,1
198,3.210982,1514,-1
199,3.211894,1514,-1
200,3.21209,1514,-1
201,3.212684,1514,-1
202,3.212875,1416,-1
203,3.215994,60,-1
204,3.259753,74,1
205,3.259968,511,1
206,3.259984,74,1
207,3.260069,74,1
208,3.260153,74,1
209,3.260224,74,1
210,3.260295,74,1
211,3.260365,74,1
212,3.260436,74,1
213,3.260506,74,1
214,3.260576,74,1
215,3.266278,511,1
216,3.2769,1514,-1
217,3.27703,1514,-1
218,3.277144,1514,-1
219,3.277344,1514,-1
220,3.283405,74,1
221,3.283483,66,1
222,3.283633,66,1
223,3.283777,54,1
224,3.323628,60,-1
225,3.344846,99,1
226,3.34502,491,1
227,3.361353,60,-1
228,3.361563,60,-1
229,3.386766,491,1
230,3.392525,91,1
231,3.392803,91,1
232,3.403353,60,-1
233,3.409014,60,-1
234,3.409237,60,-1
235,3.454508,302,1
236,3.471245,60,-1
237,3.711829,161,-1
238,3.734325,155,-1
239,3.736035,54,1
