Serial number,time,size,direction
1,0.0,284,1
2,0.058503,60,-1
3,0.070268,935,1
4,0.071179,1291,1
5,0.074807,491,1
6,0.08718,60,-1
7,0.088161,60,-1
8,0.091647,60,-1
9,0.115856,1514,1
10,0.117608,1514,1
11,0.11764,1267,1
12,0.121967,1514,1
13,0.123381,1514,1
14,0.123413,1267,1
15,0.123436,1514,1
16,0.124928,1514,1
17,0.124959,1267,1
18,0.124981,603,1
19,0.132831,60,-1
20,0.134613,60,-1
21,0.134615,60,-1
22,0.138956,60,-1
23,0.140359,60,-1
24,0.140361,60,-1
25,0.14058,60,-1
26,0.141939,60,-1
27,0.141942,60,-1
28,0.141943,60,-1
29,0.163126,491,1
30,0.17995,60,-1
31,0.199736,491,1
32,0.21658,60,-1
33,0.249814,214,-1
34,0.252836,54,1
35,0.261461,491,1
36,0.306134,491,1
37,0.318498,60,-1
38,0.322985,60,-1
39,0.349479,491,1
40,0.36632,60,-1
41,0.415209,491,1
42,0.432007,60,-1
43,0.443744,491,1
44,0.460646,60,-1
45,0.509362,491,1
46,0.526274,60,-1
47,0.543509,491,1
48,0.560344,60,-1
49,0.602771,491,1
50,0.619609,60,-1
51,0.656298,491,1
52,0.673187,60,-1
53,0.70342,491,1
54,0.720405,60,-1
55,0.748441,491,1
56,0.765454,60,-1
57,0.812619,491,1
58,0.829575,60,-1
59,0.843804,491,1
60,0.860702,60,-1
61,0.909621,491,1
62,0.926552,60,-1
63,0.950715,491,1
64,0.96775,60,-1
65,1.010514,491,1
66,1.027445,60,-1
67,1.054049,491,1
68,1.070984,60,-1
69,1.097811,491,1
70,1.114652,60,-1
71,1.114653,99,-1
72,1.144568,491,1
73,1.208525,60,-1
74,1.211048,491,1
75,1.227967,60,-1
76,1.24369,491,1
77,1.260657,60,-1
78,1.308896,491,1
79,1.325789,60,-1
80,1.343601,491,1
81,1.360462,60,-1
82,1.406585,491,1
83,1.423434,60,-1
84,1.452282,491,1
85,1.469115,60,-1
86,1.508793,491,1
87,1.525681,60,-1
88,1.546316,491,1
89,1.56317,60,-1
90,1.613662,491,1
91,1.630472,60,-1
92,1.655828,491,1
93,1.672663,60,-1
94,1.70394,491,1
95,1.720848,60,-1
96,1.743541,491,1
97,1.760454,60,-1
98,1.80409,491,1
99,1.809736,179,-1
100,1.820979,60,-1
101,1.850435,491,1
102,1.867539,60,-1
103,1.907943,491,1
104,1.924778,60,-1
105,1.935063,174,-1
106,1.954051,491,1
107,2.013902,491,1
108,2.016138,204,1
109,2.0185,60,-1
110,2.030734,60,-1
111,2.032951,60,-1
112,2.063226,491,1
113,2.080086,60,-1
114,2.107787,491,1
115,2.128606,60,-1
116,2.144732,491,1
117,2.161598,60,-1
118,2.205388,491,1
119,2.222329,60,-1
120,2.311342,491,1
121,2.311485,491,1
122,2.328274,60,-1
123,2.328427,60,-1
124,2.404304,491,1
125,2.421166,60,-1
126,2.42836,350,-1
127,2.428747,1514,-1
128,2.428927,686,-1
129,2.437063,1514,-1
130,2.437152,1514,-1
131,2.437249,1267,-1
132,2.437449,1169,-1
133,2.444588,491,1
134,2.445831,491,1
135,2.461544,99,-1
136,2.464764,54,1
137,2.464931,54,1
138,2.465008,54,1
139,2.503389,54,1
140,2.508478,60,-1
141,2.549893,491,1
142,2.553706,1514,-1
143,2.553821,1514,-1
144,2.553945,1267,-1
145,2.554083,1514,-1
146,2.554155,1514,-1
147,2.554156,328,-1
148,2.554279,1030,-1
149,2.554417,1514,-1
150,2.554515,1514,-1
151,2.55472,1267,-1
152,2.556754,491,1
153,2.563994,91,1
154,2.566283,91,1
155,2.566714,60,-1
156,2.573529,54,1
157,2.573579,60,-1
158,2.573619,54,1
159,2.574588,54,1
160,2.574659,54,1
161,2.576404,54,1
162,2.57657,54,1
163,2.576647,54,1
164,2.578153,54,1
165,2.580789,60,-1
166,2.583101,60,-1
167,2.585731,54,1
168,2.590521,1514,-1
169,2.591514,1514,-1
170,2.591621,1514,-1
171,2.591623,391,-1
172,2.59377,54,1
173,2.594088,54,1
174,2.597597,1514,-1
175,2.597696,1514,-1
176,2.597816,1267,-1
177,2.59796,1514,-1
178,2.598137,1514,-1
179,2.602678,1514,-1
180,2.606824,54,1
181,2.607865,54,1
182,2.608797,54,1
183,2.610716,1514,-1
184,2.610881,1514,-1
185,2.611001,1514,-1
186,2.611194,1514,-1
187,2.623792,1514,-1
188,2.624008,1514,-1
189,2.624873,1514,-1
190,2.625108,1514,-1
191,2.625726,1514,-1
192,2.625929,1514,-1
193,2.658079,337,1
194,2.658222,99,1
195,2.662321,54,1
196,2.675182,60,-1
197,2.679281,1514,-1
198,2.679478,1514,-1
199,2.685931,99,1
200,2.702826,931,-1
201,2.752607,54,1
202,2.752757,54,1
203,2.75285,54,1
204,2.755183,54,1
205,2.755345,54,1
206,3.043217,161,-1
207,3.106167,54,1
208,3.108286,152,-1
209,3.109673,54,1
