Serial number,time,size,direction
1,0.0,54,1
2,0.360021,778,1
3,0.3864,263,1
4,0.40296,60,-1
5,0.406588,1514,1
6,0.407964,231,1
7,0.41638,491,1
8,0.417902,1291,1
9,0.418961,491,1
10,0.424536,60,-1
11,0.434622,60,-1
12,0.44002,491,1
13,0.448567,491,1
14,0.449363,491,1
15,0.450072,491,1
16,0.451576,491,1
17,0.452811,491,1
18,0.4537,491,1
19,0.454324,491,1
20,0.455285,491,1
21,0.456664,60,-1
22,0.458239,1365,1
23,0.458475,491,1
24,0.466012,60,-1
25,0.467747,1514,1
26,0.468222,60,-1
27,0.469176,1514,1
28,0.469619,445,1
29,0.47026,60,-1
30,0.470718,491,1
31,0.471939,60,-1
32,0.475226,60,-1
33,0.486041,60,-1
34,0.487433,60,-1
35,0.489073,217,-1
36,0.493589,54,1
37,0.499121,491,1
38,0.500436,491,1
39,0.514776,491,1
40,0.515438,491,1
41,0.515734,891,1
42,0.518696,60,-1
43,0.532032,60,-1
44,0.542266,491,1
45,0.55884,60,-1
46,0.594666,491,1
47,0.642368,491,1
48,0.658889,60,-1
49,0.688528,491,1
50,0.748143,60,-1
51,0.762657,491,1
52,0.779171,60,-1
53,0.785498,491,1
54,0.802016,60,-1
55,0.850675,491,1
56,0.86727,60,-1
57,0.882173,491,1
58,0.898785,60,-1
59,0.948009,491,1
60,0.964662,60,-1
61,0.994944,491,1
62,1.011545,60,-1
63,1.041744,491,1
64,1.058345,60,-1
65,1.161878,491,1
66,1.16204,491,1
67,1.178455,60,-1
68,1.178456,60,-1
69,1.24144,491,1
70,1.258003,60,-1
71,1.279846,491,1
72,1.28121,491,1
73,1.296405,60,-1
74,1.297758,60,-1
75,1.355407,491,1
76,1.371956,60,-1
77,1.409501,491,1
78,1.426197,60,-1
79,1.438616,491,1
80,1.455252,60,-1
81,1.500136,491,1
82,1.516818,60,-1
83,1.563692,491,1
84,1.580354,60,-1
85,1.610681,491,1
86,1.627243,60,-1
87,1.627244,99,-1
88,1.668682,491,1
89,1.745976,491,1
90,1.747277,491,1
91,1.748194,60,-1
92,1.762709,60,-1
93,1.763894,60,-1
94,1.795175,491,1
95,1.799132,170,-1
96,1.811853,60,-1
97,1.836432,54,1
98,1.842528,491,1
99,1.85925,60,-1
100,1.877502,174,-1
101,1.879333,54,1
102,1.886394,491,1
103,1.948213,60,-1
104,1.953653,491,1
105,1.970314,60,-1
106,1.991987,491,1
107,2.008663,60,-1
108,2.052474,491,1
109,2.069147,60,-1
110,2.0771,491,1
111,2.093747,60,-1
112,2.115151,377,-1
113,2.115433,1514,-1
114,2.115617,799,-1
115,2.11746,54,1
116,2.147284,491,1
117,2.149893,1514,-1
118,2.149898,1514,-1
119,2.150277,1267,-1
120,2.15028,1514,-1
121,2.150281,1514,-1
122,2.150293,328,-1
123,2.150293,1030,-1
124,2.150463,1514,-1
125,2.150604,1514,-1
126,2.152589,54,1
127,2.15521,54,1
128,2.155396,54,1
129,2.155505,54,1
130,2.164148,1514,-1
131,2.164391,1514,-1
132,2.166386,54,1
133,2.169334,1514,-1
134,2.169497,1514,-1
135,2.169638,1514,-1
136,2.171853,54,1
137,2.172069,1514,-1
138,2.17207,1514,-1
139,2.172235,1514,-1
140,2.172258,1514,-1
141,2.172413,54,1
142,2.17249,1217,-1
143,2.174906,54,1
144,2.177714,54,1
145,2.194683,491,1
146,2.205683,91,1
147,2.205877,91,1
148,2.222271,60,-1
149,2.247111,505,1
150,2.26373,60,-1
151,2.413142,160,-1
152,2.43666,152,-1
153,2.438174,54,1
