Serial number,time,size,direction
1,0.0,78,1
2,0.013016,1514,-1
3,0.013252,1514,-1
4,0.032266,66,1
5,0.032394,66,1
6,0.039531,1514,-1
7,0.039748,1514,-1
8,0.041767,66,1
9,0.042003,66,1
10,0.050997,1514,-1
11,0.051215,1514,-1
12,0.070642,1514,-1
13,0.070876,1514,-1
14,0.088991,66,1
15,0.089308,66,1
16,0.08944,66,1
17,0.089565,66,1
18,0.090266,1514,-1
19,0.090487,1514,-1
20,0.10734,66,1
21,0.107608,66,1
22,0.109908,1514,-1
23,0.110125,1514,-1
24,0.112071,66,1
25,0.112319,66,1
26,0.136849,1514,-1
27,0.137058,1514,-1
28,0.139817,66,1
29,0.139946,66,1
30,0.150247,1514,-1
31,0.150469,1514,-1
32,0.152206,66,1
33,0.161982,1514,-1
34,0.162111,1514,-1
35,0.162334,1514,-1
36,0.164141,66,1
37,0.164378,66,1
38,0.173183,1514,-1
39,0.173398,1514,-1
40,0.18442,1514,-1
41,0.184634,1514,-1
42,0.192975,66,1
43,0.193868,66,1
44,0.194494,1514,-1
45,0.194721,1514,-1
46,0.196833,66,1
47,0.204613,1514,-1
48,0.204845,1514,-1
49,0.206954,66,1
50,0.213032,1514,-1
51,0.21325,1514,-1
52,0.21528,66,1
53,0.221429,1514,-1
54,0.221664,1514,-1
55,0.223718,66,1
56,0.229291,1514,-1
57,0.229511,1514,-1
58,0.233099,66,1
59,0.236632,1514,-1
60,0.236867,1514,-1
61,0.239062,66,1
62,0.243457,1514,-1
63,0.24368,1514,-1
64,0.245717,66,1
65,0.249976,1514,-1
66,0.250198,1514,-1
67,0.256252,1514,-1
68,0.256465,1514,-1
69,0.261916,1514,-1
70,0.26213,1514,-1
71,0.266429,66,1
72,0.267672,1514,-1
73,0.268893,66,1
74,0.269722,66,1
75,0.273302,1514,-1
76,0.273526,1514,-1
77,0.275812,66,1
78,0.278958,1514,-1
79,0.279181,1514,-1
80,0.280501,66,1
81,0.284065,1514,-1
82,0.284278,1514,-1
83,0.286151,66,1
84,0.28897,1514,-1
85,0.289194,1514,-1
86,0.290827,66,1
87,0.293705,1514,-1
