Serial number,time,size,direction
1,0.0,287,1
2,0.016821,60,-1
3,0.025575,1514,1
4,0.042555,60,-1
5,0.046854,439,1
6,0.051513,1291,1
7,0.052867,1514,1
8,0.052898,1514,1
9,0.052923,1267,1
10,0.052981,795,1
11,0.063659,60,-1
12,0.06413,891,1
13,0.068448,60,-1
14,0.069785,60,-1
15,0.069945,60,-1
16,0.069947,60,-1
17,0.070135,60,-1
18,0.073067,1514,1
19,0.07438,231,1
20,0.080983,60,-1
21,0.090063,60,-1
22,0.091196,60,-1
23,0.122867,1514,1
24,0.123704,1514,1
25,0.123736,1267,1
26,0.125091,1195,1
27,0.139846,60,-1
28,0.140663,60,-1
29,0.140665,60,-1
30,0.141995,60,-1
31,0.167155,491,1
32,0.176284,215,-1
33,0.184006,60,-1
34,0.213886,491,1
35,0.23071,60,-1
36,0.26438,491,1
37,0.281317,60,-1
38,0.327917,491,1
39,0.344848,60,-1
40,0.359786,491,1
41,0.376757,60,-1
42,0.433407,491,1
43,0.45031,60,-1
44,0.457832,491,1
45,0.474655,60,-1
46,0.520272,491,1
47,0.537076,60,-1
48,0.542505,77,1
49,0.559541,77,-1
50,0.560694,66,1
51,0.571111,491,1
52,0.587912,60,-1
53,0.624746,491,1
54,0.661152,60,-1
55,0.675675,491,1
56,0.692513,60,-1
57,0.724391,491,1
58,0.7413,60,-1
59,0.759032,491,1
60,0.775846,60,-1
61,0.82861,491,1
62,0.845526,60,-1
63,0.856434,491,1
64,0.873374,60,-1
65,0.920735,491,1
66,0.93755,60,-1
67,0.965276,491,1
68,0.982168,60,-1
69,1.014354,491,1
70,1.031308,60,-1
71,1.064795,491,1
72,1.081602,60,-1
73,1.129111,491,1
74,1.145932,60,-1
75,1.159706,491,1
76,1.1766,60,-1
77,1.223366,491,1
78,1.251099,60,-1
79,1.254975,491,1
80,1.271819,60,-1
81,1.271821,99,-1
82,1.319187,54,1
83,1.345132,491,1
84,1.371094,491,1
85,1.388042,60,-1
86,1.413291,491,1
87,1.47579,60,-1
88,1.515651,491,1
89,1.532531,60,-1
90,1.549189,491,1
91,1.561475,491,1
92,1.566063,60,-1
93,1.578262,60,-1
94,1.637496,491,1
95,1.654305,60,-1
96,1.665859,491,1
97,1.682675,60,-1
98,1.718027,491,1
99,1.734869,60,-1
100,1.793861,491,1
101,1.810795,60,-1
102,1.822922,491,1
103,1.839771,60,-1
104,1.86931,491,1
105,1.886263,60,-1
106,1.995225,491,1
107,1.995279,491,1
108,2.012163,60,-1
109,2.012166,60,-1
110,2.026983,491,1
111,2.043852,60,-1
112,2.053465,491,1
113,2.070321,60,-1
114,2.127821,491,1
115,2.144693,60,-1
116,2.168839,491,1
117,2.185678,60,-1
118,2.224461,491,1
119,2.24137,60,-1
120,2.265757,491,1
121,2.282611,60,-1
122,2.334049,491,1
123,2.350965,60,-1
124,2.358722,491,1
125,2.375737,60,-1
126,2.430426,491,1
127,2.44738,60,-1
128,2.455288,491,1
129,2.472209,60,-1
130,2.525759,491,1
131,2.542575,60,-1
132,2.542577,99,-1
133,2.543835,54,1
134,2.569636,491,1
135,2.622196,491,1
136,2.635764,60,-1
137,2.638987,60,-1
138,2.664728,491,1
139,2.681553,60,-1
140,2.734834,491,1
141,2.751668,60,-1
142,2.758013,491,1
143,2.775244,60,-1
144,2.830059,491,1
145,2.846888,60,-1
146,2.855098,491,1
147,2.871958,60,-1
148,2.9213,491,1
149,2.938207,60,-1
150,2.964904,491,1
151,2.981809,60,-1
152,3.019285,491,1
153,3.036174,60,-1
154,3.065825,491,1
155,3.082616,60,-1
156,3.130853,491,1
157,3.147681,60,-1
158,3.160504,491,1
159,3.177315,60,-1
160,3.228307,491,1
161,3.245154,60,-1
162,3.254617,491,1
163,3.271482,60,-1
164,3.325385,491,1
165,3.342233,60,-1
166,3.369288,491,1
167,3.386106,60,-1
168,3.416991,491,1
169,3.434006,60,-1
170,3.464707,491,1
171,3.481672,60,-1
172,3.526836,491,1
173,3.543715,60,-1
174,3.566813,491,1
175,3.58361,60,-1
176,3.626836,491,1
177,3.643645,60,-1
178,3.657041,491,1
179,3.671442,150,-1
180,3.708133,54,1
181,3.715779,60,-1
182,3.722789,491,1
183,3.739641,60,-1
184,3.749202,173,-1
185,3.750661,54,1
186,3.767743,491,1
187,3.822542,491,1
188,3.825796,60,-1
189,3.839387,60,-1
190,3.880573,491,1
191,3.897372,60,-1
192,3.947671,491,1
193,3.964578,60,-1
194,3.96739,491,1
195,3.97124,272,-1
196,3.971597,1514,-1
197,3.971789,698,-1
198,3.974929,54,1
199,3.980221,1514,-1
200,3.980224,1514,-1
201,3.980332,1267,-1
202,3.980335,1514,-1
203,3.980471,624,-1
204,3.982619,54,1
205,3.982836,54,1
206,3.983735,54,1
207,4.01147,1514,-1
208,4.011565,1514,-1
209,4.011654,1267,-1
210,4.011765,1514,-1
211,4.01185,1514,-1
212,4.011851,328,-1
213,4.011985,1030,-1
214,4.012121,1514,-1
