Serial number,time,size,direction
1,0.0,1514,1
2,0.000338,319,1
3,0.016987,60,-1
4,0.034488,1514,1
5,0.036108,1514,1
6,0.036142,1514,1
7,0.052948,60,-1
8,0.054883,1514,1
9,0.055388,1514,1
10,0.071658,60,-1
11,0.073453,1514,1
12,0.07396,1514,1
13,0.090231,60,-1
14,0.092446,1514,1
15,0.093841,1514,1
16,0.109206,60,-1
17,0.111155,1514,1
18,0.111665,1514,1
19,0.116207,220,-1
20,0.117896,141,1
21,0.128474,60,-1
22,0.180527,60,-1
23,0.183983,491,1
24,0.18422,491,1
25,0.200526,60,-1
26,0.200776,60,-1
27,0.217066,491,1
28,0.233624,60,-1
29,0.27367,491,1
30,0.290224,60,-1
31,0.290435,99,-1
32,0.327559,491,1
33,0.349848,491,1
34,0.367398,60,-1
35,0.415801,491,1
36,0.463233,491,1
37,0.480167,60,-1
38,0.510952,491,1
39,0.564223,491,1
40,0.580519,60,-1
41,0.58133,60,-1
42,0.628513,491,1
43,0.645751,60,-1
44,0.65008,491,1
45,0.666656,60,-1
46,0.718482,491,1
47,0.735098,60,-1
48,0.750452,491,1
49,0.76725,60,-1
50,0.812052,491,1
51,0.828676,60,-1
52,0.884398,491,1
53,0.901024,60,-1
54,0.91599,491,1
55,0.932888,60,-1
56,0.95388,491,1
57,0.970604,60,-1
58,1.025944,491,1
59,1.042652,60,-1
60,1.048473,491,1
61,1.065823,60,-1
62,1.118573,491,1
63,1.135307,60,-1
64,1.154716,491,1
65,1.171433,60,-1
66,1.214149,491,1
67,1.262867,491,1
68,1.280488,60,-1
69,1.316474,491,1
70,1.381058,60,-1
71,1.394962,491,1
72,1.411569,60,-1
73,1.416628,491,1
74,1.433292,60,-1
75,1.482428,491,1
76,1.49923,60,-1
77,1.527663,491,1
78,1.544336,60,-1
79,1.556361,491,1
80,1.573113,60,-1
81,1.654598,491,1
82,1.667035,491,1
83,1.671199,60,-1
84,1.683723,60,-1
85,1.70967,491,1
86,1.726245,60,-1
87,1.802728,491,1
88,1.822552,60,-1
89,1.846934,491,1
90,1.851912,491,1
91,1.864122,60,-1
92,1.868482,60,-1
93,1.923677,491,1
94,1.941274,60,-1
95,1.979237,491,1
96,2.004411,60,-1
97,2.010932,491,1
98,2.027912,60,-1
99,2.069283,491,1
100,2.085845,60,-1
101,2.111011,491,1
102,2.127702,60,-1
103,2.158619,491,1
104,2.175164,60,-1
105,2.228124,491,1
106,2.244797,60,-1
107,2.281028,491,1
108,2.297744,60,-1
109,2.297745,99,-1
110,2.317964,491,1
111,2.349997,491,1
112,2.368571,60,-1
113,2.432644,491,1
114,2.467764,491,1
115,2.484507,60,-1
116,2.510118,491,1
117,2.554209,491,1
118,2.571149,60,-1
119,2.571702,60,-1
120,2.622904,491,1
121,2.639576,60,-1
122,2.647915,491,1
123,2.665564,60,-1
124,2.719547,491,1
125,2.73618,60,-1
126,2.755485,491,1
127,2.772207,60,-1
128,2.815579,491,1
129,2.832123,60,-1
130,2.859864,491,1
131,2.876523,60,-1
132,2.919095,491,1
133,2.936581,60,-1
134,2.983709,491,1
135,3.001486,60,-1
136,3.016637,491,1
137,3.033319,60,-1
138,3.050389,491,1
139,3.06735,60,-1
140,3.117341,491,1
141,3.134749,60,-1
142,3.15065,491,1
143,3.167189,60,-1
144,3.20775,491,1
145,3.225552,60,-1
146,3.261356,491,1
147,3.278831,60,-1
148,3.309466,491,1
149,3.326476,60,-1
150,3.352346,491,1
151,3.369457,60,-1
152,3.422454,491,1
153,3.439264,60,-1
154,3.449846,491,1
155,3.466443,60,-1
156,3.530731,491,1
157,3.547391,60,-1
158,3.565109,491,1
159,3.581812,60,-1
160,3.607627,491,1
161,3.62437,60,-1
162,3.68995,491,1
163,3.707411,60,-1
164,3.719893,491,1
165,3.737978,60,-1
166,3.767212,491,1
167,3.784477,60,-1
168,3.848293,491,1
169,3.864868,60,-1
170,3.876326,491,1
171,3.891761,150,-1
172,3.916876,491,1
173,3.933439,60,-1
174,3.952339,491,1
175,4.010649,60,-1
176,4.042588,491,1
177,4.059254,60,-1
178,4.061929,491,1
179,4.078562,60,-1
180,4.117815,173,-1
181,4.122638,491,1
182,4.162238,54,1
183,4.1896,491,1
184,4.20636,60,-1
185,4.227372,491,1
186,4.228219,558,-1
187,4.232121,54,1
188,4.259115,491,1
189,4.275709,60,-1
190,4.284648,765,1
191,4.292101,66,-1
192,4.297881,539,-1
193,4.298071,97,-1
194,4.298073,66,-1
195,4.300345,66,1
196,4.303296,97,1
197,4.303366,66,1
198,4.303524,54,1
199,4.303596,54,1
200,4.310898,60,-1
201,4.310899,60,-1
202,4.32875,91,1
203,4.329081,91,1
204,4.345607,60,-1
205,4.381257,88,1
206,4.408859,152,-1
207,4.430787,74,1
208,4.432196,1132,1
209,4.43887,74,-1
210,4.440608,66,1
211,4.442322,583,1
212,4.45071,66,-1
213,4.451357,218,-1
214,4.455406,66,1
215,4.467249,117,1
216,4.472623,159,-1
217,4.509357,152,-1
218,4.512645,54,1
219,4.514263,54,1
220,4.523158,66,-1
221,4.524749,769,1
222,4.532423,66,-1
223,4.534331,544,-1
224,4.542856,1514,-1
225,4.543092,1514,-1
226,4.543095,1514,-1
227,4.54332,1514,-1
228,4.543322,1514,-1
229,4.543428,1514,-1
230,4.543589,1514,-1
231,4.543671,1514,-1
232,4.543789,1514,-1
233,4.543911,1514,-1
234,4.544057,1514,-1
235,4.544183,1514,-1
236,4.544278,1514,-1
237,4.544409,1514,-1
238,4.544534,1514,-1
239,4.544664,1514,-1
240,4.544784,1514,-1
241,4.544897,1514,-1
242,4.545054,1514,-1
243,4.545143,1514,-1
244,4.545288,1514,-1
245,4.545401,1514,-1
246,4.545516,1514,-1
247,4.545735,1514,-1
248,4.546029,66,1
249,4.546186,66,1
250,4.54741,66,1
251,4.548453,66,1
252,4.549664,66,1
253,4.550927,66,1
254,4.552948,66,1
255,4.553277,66,1
256,4.554729,66,1
257,4.556612,66,1
258,4.556882,66,1
259,4.558252,66,1
260,4.559523,1514,-1
261,4.559912,1514,-1
262,4.559973,1514,-1
263,4.559975,1514,-1
264,4.560133,1514,-1
265,4.56025,1514,-1
266,4.560252,1514,-1
267,4.560378,1514,-1
268,4.560515,1514,-1
269,4.560606,1514,-1
270,4.560734,1514,-1
271,4.560857,1514,-1
272,4.560962,1514,-1
273,4.56108,1514,-1
274,4.561217,1514,-1
275,4.561322,1514,-1
276,4.561446,1514,-1
277,4.56158,1514,-1
278,4.561701,1514,-1
279,4.561813,1514,-1
280,4.56197,1514,-1
281,4.562074,1514,-1
282,4.562202,1514,-1
283,4.56243,1514,-1
284,4.563101,1514,-1
285,4.563198,1514,-1
286,4.563303,1514,-1
287,4.563424,1514,-1
288,4.56361,1514,-1
289,4.563818,1514,-1
290,4.564586,66,1
291,4.564775,66,1
292,4.567178,66,1
293,4.567451,66,1
294,4.567647,66,1
295,4.568774,1514,-1
296,4.568783,1514,-1
297,4.569288,1514,-1
298,4.569345,1514,-1
299,4.569347,1514,-1
300,4.569349,1514,-1
301,4.56952,1514,-1
302,4.569523,1514,-1
303,4.569628,1514,-1
304,4.569828,1514,-1
305,4.57012,1514,-1
306,4.570352,1514,-1
307,4.570838,66,1
308,4.57098,66,1
309,4.571494,66,1
310,4.57274,1514,-1
311,4.572752,66,1
312,4.572946,1514,-1
313,4.573248,1514,-1
314,4.57347,1514,-1
315,4.574782,66,1
316,4.574953,66,1
