Serial number,time,size,direction
1,0.0,286,1
2,0.016531,60,-1
3,0.069777,1514,1
4,0.070151,383,1
5,0.07018,1291,1
6,0.070217,491,1
7,0.07024,491,1
8,0.070261,491,1
9,0.070287,891,1
10,0.086447,60,-1
11,0.086637,60,-1
12,0.086837,60,-1
13,0.08684,60,-1
14,0.086843,60,-1
15,0.086844,60,-1
16,0.087053,60,-1
17,0.111672,1514,1
18,0.113768,231,1
19,0.113798,891,1
20,0.113833,1514,1
21,0.113856,1031,1
22,0.113883,491,1
23,0.113903,491,1
24,0.128352,60,-1
25,0.130025,1514,1
26,0.130279,60,-1
27,0.130281,60,-1
28,0.130529,99,-1
29,0.130715,60,-1
30,0.132031,1514,1
31,0.132622,1514,1
32,0.132653,54,1
33,0.133997,1244,1
34,0.146705,60,-1
35,0.149334,60,-1
36,0.152008,891,1
37,0.161262,491,1
38,0.168663,60,-1
39,0.192615,491,1
40,0.19816,216,-1
41,0.236537,54,1
42,0.24363,491,1
43,0.26013,60,-1
44,0.291474,491,1
45,0.354922,491,1
46,0.355392,60,-1
47,0.371589,60,-1
48,0.405791,491,1
49,0.422444,60,-1
50,0.477499,491,1
51,0.490339,491,1
52,0.494117,60,-1
53,0.506865,60,-1
54,0.576595,491,1
55,0.593168,60,-1
56,0.618048,491,1
57,0.634688,60,-1
58,0.645148,491,1
59,0.66165,60,-1
60,0.706331,491,1
61,0.722893,60,-1
62,0.761399,491,1
63,0.777893,60,-1
64,0.794024,491,1
65,0.810524,60,-1
66,0.864339,491,1
67,0.88096,60,-1
68,0.894173,491,1
69,0.910805,60,-1
70,0.953206,491,1
71,0.969778,60,-1
72,1.000011,491,1
73,1.016731,60,-1
74,1.077099,491,1
75,1.093687,60,-1
76,1.097918,491,1
77,1.114504,60,-1
78,1.155597,491,1
79,1.172174,60,-1
80,1.187966,491,1
81,1.204526,60,-1
82,1.258366,491,1
83,1.274937,60,-1
84,1.289952,491,1
85,1.306535,60,-1
86,1.354178,491,1
87,1.370921,60,-1
88,1.391885,491,1
89,1.408538,60,-1
90,1.465052,491,1
91,1.481616,60,-1
92,1.497275,491,1
93,1.51383,60,-1
94,1.554446,491,1
95,1.57101,60,-1
96,1.592728,491,1
97,1.609272,60,-1
98,1.656597,491,1
99,1.673155,60,-1
100,1.686638,491,1
101,1.703183,60,-1
102,1.751264,491,1
103,1.76778,60,-1
104,1.791623,491,1
105,1.808183,60,-1
106,1.849654,491,1
107,1.866249,60,-1
108,1.893664,491,1
109,1.910321,60,-1
110,1.944754,149,-1
111,1.956559,491,1
112,1.956655,54,1
113,1.994426,491,1
114,2.011056,60,-1
115,2.055681,491,1
116,2.07868,172,-1
117,2.080034,54,1
118,2.092896,491,1
119,2.155355,60,-1
120,2.170196,491,1
121,2.186846,60,-1
122,2.198469,491,1
123,2.215045,60,-1
124,2.254072,491,1
125,2.276249,60,-1
126,2.294652,491,1
127,2.318044,60,-1
128,2.354679,491,1
129,2.371308,60,-1
130,2.37145,99,-1
131,2.375963,215,-1
132,2.376436,1514,-1
133,2.376552,1514,-1
134,2.376554,241,-1
135,2.378456,54,1
136,2.381521,54,1
137,2.398034,491,1
138,2.429986,1514,-1
139,2.42999,1514,-1
140,2.430143,1267,-1
141,2.430268,1514,-1
142,2.430317,1514,-1
143,2.430457,328,-1
144,2.430458,1030,-1
145,2.430581,1514,-1
146,2.430684,1514,-1
147,2.430872,1267,-1
148,2.435878,54,1
149,2.436952,54,1
150,2.438197,54,1
151,2.439168,99,1
152,2.439458,54,1
153,2.452653,1514,-1
154,2.452848,1514,-1
155,2.45364,1514,-1
156,2.453735,1514,-1
157,2.453857,1514,-1
158,2.454047,1514,-1
159,2.454841,1514,-1
160,2.4549,54,1
161,2.455018,1514,-1
162,2.4557,1514,-1
163,2.456111,1514,-1
164,2.456324,1514,-1
165,2.456953,54,1
166,2.457248,54,1
167,2.461154,491,1
168,2.461307,54,1
169,2.462843,54,1
170,2.471584,1514,-1
171,2.471782,1514,-1
172,2.473639,1514,-1
173,2.473733,1514,-1
174,2.473734,67,-1
175,2.473827,54,1
176,2.476167,54,1
177,2.476313,99,1
178,2.476568,54,1
179,2.476975,1514,-1
180,2.47717,1514,-1
181,2.478036,1514,-1
182,2.478226,1514,-1
183,2.479514,1514,-1
184,2.479572,54,1
185,2.479703,1514,-1
186,2.481481,54,1
187,2.481805,99,1
188,2.490475,1514,-1
189,2.490666,1514,-1
190,2.492798,1514,-1
191,2.492987,1514,-1
192,2.49317,1514,-1
193,2.493355,1190,-1
194,2.493684,54,1
195,2.493989,491,1
196,2.495803,54,1
197,2.500003,1514,-1
198,2.500109,1514,-1
199,2.500225,1267,-1
200,2.500334,1514,-1
201,2.500395,1185,-1
202,2.500547,692,-1
203,2.510286,1514,-1
