Serial number,time,size,direction
1,0.0,286,1
2,0.066722,1514,1
3,0.066894,344,1
4,0.068563,60,-1
5,0.075888,1514,1
6,0.076479,231,1
7,0.076508,491,1
8,0.083926,491,1
9,0.094919,60,-1
10,0.094922,60,-1
11,0.103248,60,-1
12,0.103567,60,-1
13,0.10357,60,-1
14,0.106618,1514,1
15,0.108247,231,1
16,0.110685,60,-1
17,0.121314,491,1
18,0.123317,491,1
19,0.124416,491,1
20,0.126224,491,1
21,0.134604,60,-1
22,0.136068,60,-1
23,0.139735,1514,1
24,0.141208,1068,1
25,0.145275,491,1
26,0.149524,60,-1
27,0.151068,60,-1
28,0.151742,60,-1
29,0.152886,60,-1
30,0.153387,1291,1
31,0.154991,491,1
32,0.157079,491,1
33,0.158274,491,1
34,0.159267,491,1
35,0.159943,491,1
36,0.165514,60,-1
37,0.166826,60,-1
38,0.170672,60,-1
39,0.178783,60,-1
40,0.178785,99,-1
41,0.182433,60,-1
42,0.184399,60,-1
43,0.184571,1514,1
44,0.185474,1514,1
45,0.185811,808,1
46,0.201495,491,1
47,0.212423,60,-1
48,0.213412,60,-1
49,0.258251,219,-1
50,0.299197,491,1
51,0.299487,66,1
52,0.299643,503,1
53,0.336028,60,-1
54,0.359409,503,1
55,0.42258,503,1
56,0.428979,99,-1
57,0.442488,54,1
58,0.463918,491,1
59,0.493897,60,-1
60,0.503536,491,1
61,0.554383,491,1
62,0.581217,60,-1
63,0.584902,60,-1
64,0.600095,491,1
65,0.632403,60,-1
66,0.662033,491,1
67,0.692652,491,1
68,0.695595,60,-1
69,0.725183,60,-1
70,0.761599,491,1
71,0.789843,491,1
72,0.791385,60,-1
73,0.819524,60,-1
74,0.866652,491,1
75,0.895385,60,-1
76,0.907165,491,1
77,0.937024,60,-1
78,0.953852,491,1
79,0.98541,60,-1
80,1.002092,491,1
81,1.034048,60,-1
82,1.06287,491,1
83,1.094604,60,-1
84,1.097973,491,1
85,1.129653,60,-1
86,1.156631,491,1
87,1.188514,60,-1
88,1.191546,491,1
89,1.226227,60,-1
90,1.257884,491,1
91,1.292682,60,-1
92,1.30858,491,1
93,1.344138,60,-1
94,1.353215,491,1
95,1.39,60,-1
96,1.411527,491,1
97,1.444727,60,-1
98,1.48616,491,1
99,1.494699,491,1
100,1.519004,60,-1
101,1.527499,60,-1
102,1.57817,491,1
103,1.613562,60,-1
104,1.625555,491,1
105,1.662661,60,-1
106,1.691421,150,-1
107,1.696507,491,1
