Serial number,time,size,direction
1,0.0,290,1
2,0.016416,60,-1
3,0.066539,1036,1
4,0.079697,1514,1
5,0.08091,231,1
6,0.082927,60,-1
7,0.085192,1514,1
8,0.085522,1514,1
9,0.085777,771,1
10,0.096302,60,-1
11,0.097155,60,-1
12,0.097613,928,1
13,0.100245,491,1
14,0.101664,60,-1
15,0.101967,60,-1
16,0.102145,60,-1
17,0.102922,491,1
18,0.107646,491,1
19,0.112662,491,1
20,0.113909,60,-1
21,0.116521,60,-1
22,0.116785,491,1
23,0.117857,491,1
24,0.119152,60,-1
25,0.120935,491,1
26,0.123944,60,-1
27,0.125695,1365,1
28,0.128913,60,-1
29,0.133036,60,-1
30,0.134095,60,-1
31,0.134206,1514,1
32,0.134524,1468,1
33,0.137358,60,-1
34,0.138556,491,1
35,0.139583,491,1
36,0.142054,60,-1
37,0.148111,928,1
38,0.150886,60,-1
39,0.154835,60,-1
40,0.154836,99,-1
41,0.156182,54,1
42,0.164388,60,-1
43,0.168631,491,1
44,0.197986,219,-1
45,0.21439,491,1
46,0.268814,491,1
47,0.273192,60,-1
48,0.285149,60,-1
49,0.325533,491,1
50,0.341844,60,-1
51,0.356178,491,1
52,0.372524,60,-1
53,0.423577,491,1
54,0.439837,60,-1
55,0.462274,491,1
56,0.478567,60,-1
57,0.520792,491,1
58,0.537097,60,-1
59,0.564816,491,1
60,0.581082,60,-1
61,0.612228,491,1
62,0.628789,60,-1
63,0.672361,491,1
64,0.688699,60,-1
65,0.723459,491,1
66,0.739825,60,-1
67,0.758713,491,1
68,0.775157,60,-1
69,0.82818,491,1
70,0.844488,60,-1
71,0.856605,491,1
72,0.872909,60,-1
73,0.922305,491,1
74,0.938941,60,-1
75,0.966416,491,1
76,0.982834,60,-1
77,1.012985,491,1
78,1.029258,60,-1
79,1.096343,491,1
80,1.11316,60,-1
81,1.13106,491,1
82,1.147363,60,-1
83,1.165385,491,1
84,1.181624,60,-1
85,1.252615,491,1
86,1.255702,491,1
87,1.268917,60,-1
88,1.272035,60,-1
89,1.330601,491,1
90,1.347242,60,-1
91,1.404099,491,1
92,1.417603,491,1
93,1.420434,60,-1
94,1.433974,60,-1
95,1.464775,491,1
96,1.481112,60,-1
97,1.533049,491,1
98,1.54939,60,-1
99,1.584506,491,1
100,1.60091,60,-1
101,1.719107,491,1
102,1.720134,491,1
103,1.721653,491,1
104,1.735455,60,-1
105,1.736399,60,-1
106,1.738,60,-1
107,1.767178,491,1
108,1.783527,60,-1
109,1.814094,491,1
110,1.830448,60,-1
111,1.861246,491,1
112,1.877564,60,-1
113,1.928769,491,1
114,1.945188,60,-1
115,1.955904,491,1
116,1.972905,60,-1
117,2.026923,491,1
118,2.043239,60,-1
119,2.074611,491,1
120,2.090904,60,-1
121,2.11902,491,1
122,2.135361,60,-1
123,2.16605,491,1
124,2.182374,60,-1
125,2.217334,491,1
126,2.233782,60,-1
127,2.260443,491,1
128,2.276921,60,-1
129,2.332732,491,1
130,2.349246,60,-1
131,2.361438,491,1
132,2.377841,60,-1
133,2.42513,491,1
134,2.441541,60,-1
135,2.441546,99,-1
136,2.455864,491,1
137,2.513304,60,-1
138,2.517199,491,1
139,2.53375,60,-1
140,2.565694,491,1
141,2.582133,60,-1
142,2.613775,491,1
143,2.630152,60,-1
144,2.660504,491,1
145,2.676835,60,-1
146,2.73414,491,1
147,2.750507,60,-1
148,2.774723,491,1
149,2.791034,60,-1
150,2.819557,491,1
151,2.83591,60,-1
152,2.864818,491,1
153,2.881131,60,-1
154,2.92433,491,1
155,2.940934,60,-1
156,2.967251,491,1
157,2.983623,60,-1
158,3.015201,491,1
159,3.031543,60,-1
160,3.062171,491,1
161,3.078486,60,-1
162,3.096548,152,-1
163,3.129993,491,1
164,3.156875,491,1
165,3.173247,60,-1
166,3.226819,491,1
167,3.258014,491,1
168,3.274269,60,-1
169,3.321884,491,1
170,3.368553,491,1
171,3.384955,60,-1
172,3.413292,491,1
173,3.45015,172,-1
174,3.474699,491,1
175,3.506631,54,1
176,3.533346,60,-1
177,3.5396,491,1
178,3.55596,60,-1
179,3.560624,491,1
180,3.576953,60,-1
181,3.628275,491,1
182,3.644565,60,-1
183,3.652608,491,1
184,3.668922,60,-1
185,3.700802,187,-1
186,3.70116,1514,-1
187,3.701274,1514,-1
188,3.701277,72,-1
189,3.702724,54,1
190,3.70306,54,1
191,3.703969,54,1
192,3.704249,54,1
193,3.717335,1514,-1
194,3.717455,1514,-1
195,3.71756,1267,-1
196,3.71775,1514,-1
197,3.717807,1514,-1
198,3.717809,328,-1
199,3.719095,1514,-1
200,3.719293,1514,-1
201,3.719421,1514,-1
202,3.719628,1514,-1
203,3.720468,1514,-1
204,3.72047,82,-1
205,3.721447,54,1
206,3.722327,54,1
207,3.722609,54,1
208,3.723598,54,1
209,3.723725,54,1
210,3.72457,54,1
211,3.724844,54,1
212,3.726388,54,1
213,3.726746,54,1
214,3.737126,54,1
215,3.738687,99,1
216,3.739028,491,1
217,3.757078,60,-1
218,3.766939,164,-1
219,3.767435,1514,-1
220,3.767542,1514,-1
221,3.767664,1267,-1
222,3.767791,1514,-1
223,3.767869,1514,-1
224,3.768087,1113,-1
225,3.768091,91,-1
226,3.771782,54,1
227,3.771938,54,1
228,3.772074,54,1
229,3.80536,54,1
230,3.824427,160,-1
231,3.843305,54,1
232,3.843856,491,1
233,3.84523,491,1
234,3.861528,60,-1
235,3.865201,491,1
236,3.923322,60,-1
237,3.927672,491,1
238,3.944103,60,-1
239,3.960471,491,1
240,3.976878,60,-1
241,4.010164,91,1
242,4.010576,91,1
243,4.026407,60,-1
244,4.026738,60,-1
245,4.109218,311,1
246,4.125469,60,-1
247,4.230471,155,-1
248,4.265219,54,1
