Serial number,time,size,direction
1,0.0,291,1
2,0.016569,60,-1
3,0.06084,1514,1
4,0.061133,380,1
5,0.077494,60,-1
6,0.077496,60,-1
7,0.08992,491,1
8,0.091357,1291,1
9,0.10644,60,-1
10,0.107985,60,-1
11,0.116025,491,1
12,0.11745,1291,1
13,0.132564,60,-1
14,0.132732,99,-1
15,0.144237,491,1
16,0.144783,1514,1
17,0.144815,1514,1
18,0.14484,371,1
19,0.160759,60,-1
20,0.161544,60,-1
21,0.163746,1514,1
22,0.168616,1514,1
23,0.169994,1514,1
24,0.170928,1514,1
25,0.172322,1514,1
26,0.178228,218,-1
27,0.179822,1514,1
28,0.185302,60,-1
29,0.186765,427,1
30,0.187631,60,-1
31,0.196525,60,-1
32,0.214565,491,1
33,0.231119,60,-1
34,0.24701,491,1
35,0.298497,491,1
36,0.309903,60,-1
37,0.315014,60,-1
38,0.360247,491,1
39,0.376848,60,-1
40,0.396236,491,1
41,0.4128,60,-1
42,0.458817,491,1
43,0.475539,60,-1
44,0.485486,491,1
45,0.502253,60,-1
46,0.549343,491,1
47,0.56601,60,-1
48,0.600103,491,1
49,0.616929,60,-1
50,0.647943,491,1
51,0.664522,60,-1
52,0.694469,491,1
53,0.726517,60,-1
54,0.761941,491,1
55,0.778495,60,-1
56,0.786574,491,1
57,0.803098,60,-1
58,0.859074,491,1
59,0.875671,60,-1
60,0.882677,491,1
61,0.899211,60,-1
62,0.953104,491,1
63,0.969687,60,-1
64,0.997819,491,1
65,1.014444,60,-1
66,1.04647,491,1
67,1.063197,60,-1
68,1.094588,491,1
69,1.111156,60,-1
70,1.158413,491,1
71,1.175,60,-1
72,1.188987,491,1
73,1.205582,60,-1
74,1.258785,491,1
75,1.275326,60,-1
76,1.283745,491,1
77,1.300301,60,-1
78,1.359756,491,1
79,1.37632,60,-1
80,1.399186,491,1
81,1.415774,60,-1
82,1.44709,491,1
83,1.463638,60,-1
84,1.49533,491,1
85,1.512544,60,-1
86,1.560535,491,1
87,1.577141,60,-1
88,1.595725,491,1
89,1.612613,60,-1
90,1.658075,491,1
91,1.674672,60,-1
92,1.687469,491,1
93,1.703992,60,-1
94,1.751235,491,1
95,1.767761,60,-1
96,1.795729,491,1
97,1.812257,60,-1
98,1.865859,491,1
99,1.882428,60,-1
100,1.899846,491,1
101,1.91639,60,-1
102,1.958017,491,1
103,1.974598,60,-1
104,1.989874,491,1
105,2.00641,60,-1
106,2.057819,491,1
107,2.074458,60,-1
108,2.087989,491,1
109,2.104604,60,-1
110,2.154118,491,1
111,2.170631,60,-1
112,2.20239,491,1
113,2.219055,60,-1
114,2.24862,491,1
115,2.265176,60,-1
116,2.296328,491,1
117,2.312897,60,-1
118,2.313076,99,-1
119,2.347841,54,1
120,2.35897,491,1
121,2.392786,491,1
122,2.409327,60,-1
123,2.458801,491,1
124,2.48291,491,1
125,2.499454,60,-1
126,2.554243,491,1
127,2.571061,99,-1
128,2.572614,54,1
129,2.597891,491,1
130,2.647917,491,1
131,2.660055,60,-1
132,2.664673,60,-1
133,2.695768,491,1
134,2.712517,60,-1
135,2.76263,491,1
136,2.779221,60,-1
137,2.786733,491,1
138,2.803348,60,-1
139,2.858773,491,1
140,2.875295,60,-1
141,2.897055,491,1
142,2.913632,60,-1
143,2.973799,491,1
144,2.973912,491,1
145,2.989815,60,-1
146,2.990537,60,-1
147,2.996247,491,1
148,3.013528,60,-1
149,3.041849,150,-1
150,3.066934,491,1
151,3.104416,491,1
152,3.121014,60,-1
153,3.13788,54,1
154,3.160431,491,1
155,3.225315,491,1
156,3.229917,60,-1
157,3.241857,60,-1
158,3.255785,491,1
159,3.272296,60,-1
160,3.285593,491,1
161,3.302107,60,-1
162,3.355291,491,1
163,3.371858,60,-1
164,3.381047,172,-1
165,3.416178,491,1
166,3.417101,54,1
167,3.489951,60,-1
168,3.555165,491,1
169,3.555649,491,1
170,3.571878,60,-1
171,3.572272,60,-1
172,3.591091,491,1
173,3.591616,491,1
174,3.607847,60,-1
175,3.608213,60,-1
176,3.659035,491,1
177,3.675655,60,-1
178,3.70226,491,1
179,3.718923,60,-1
180,3.771637,491,1
181,3.788144,60,-1
182,3.814914,491,1
183,3.831457,60,-1
184,3.851945,491,1
185,3.868455,60,-1
186,3.896014,491,1
187,3.91257,60,-1
188,3.959254,491,1
189,3.97577,60,-1
190,3.991094,491,1
191,4.007686,60,-1
192,4.058679,491,1
193,4.075223,60,-1
194,4.085006,491,1
195,4.106322,60,-1
196,4.148897,491,1
197,4.165504,60,-1
198,4.195369,491,1
199,4.212163,60,-1
200,4.244412,491,1
201,4.261,60,-1
202,4.292899,491,1
203,4.309398,60,-1
204,4.357569,491,1
205,4.374103,60,-1
206,4.394049,491,1
207,4.410605,60,-1
208,4.454652,491,1
209,4.471246,60,-1
210,4.48643,491,1
211,4.502988,60,-1
212,4.540972,217,-1
213,4.541258,1514,-1
214,4.541443,852,-1
215,4.545435,54,1
216,4.546604,54,1
217,4.546882,54,1
218,4.555774,491,1
219,4.597794,1514,-1
220,4.597903,1514,-1
221,4.598021,1267,-1
222,4.598151,1514,-1
223,4.598228,1514,-1
224,4.598382,328,-1
225,4.598384,1030,-1
226,4.598511,1514,-1
227,4.598614,1514,-1
228,4.598819,1267,-1
229,4.601169,54,1
230,4.6179,1514,-1
231,4.618147,1514,-1
232,4.618149,1514,-1
233,4.618151,391,-1
234,4.62151,491,1
235,4.621711,54,1
236,4.621848,54,1
237,4.621965,54,1
238,4.627284,99,1
239,4.627464,54,1
240,4.627605,54,1
241,4.638574,1514,-1
242,4.638579,1514,-1
243,4.638647,1514,-1
244,4.63919,1514,-1
245,4.639193,1514,-1
246,4.639195,1514,-1
247,4.639197,1514,-1
248,4.639256,1514,-1
249,4.639353,1514,-1
250,4.639492,1514,-1
251,4.644017,1514,-1
252,4.644224,1190,-1
253,4.644692,1514,-1
254,4.644788,1514,-1
255,4.644913,1267,-1
256,4.645112,1514,-1
257,4.65189,491,1
258,4.652091,54,1
259,4.652218,54,1
260,4.652341,54,1
261,4.652464,54,1
262,4.652586,54,1
263,4.659209,99,1
264,4.659413,54,1
265,4.659545,54,1
266,4.668856,1514,-1
267,4.66886,1514,-1
268,4.669104,1514,-1
269,4.669107,1514,-1
270,4.669373,1514,-1
271,4.669375,1514,-1
272,4.669537,1514,-1
273,4.66969,1437,-1
274,4.671691,1514,-1
275,4.671819,1514,-1
276,4.671988,1267,-1
277,4.672163,54,1
278,4.672323,54,1
279,4.672587,54,1
280,4.672717,99,1
281,4.675342,54,1
282,4.676041,1514,-1
283,4.676044,1514,-1
284,4.676279,1514,-1
285,4.676281,1514,-1
286,4.676402,1514,-1
287,4.676542,54,1
288,4.676634,1514,-1
289,4.679681,54,1
290,4.688888,1514,-1
291,4.689217,1514,-1
292,4.689222,1514,-1
293,4.689224,1514,-1
294,4.689387,1514,-1
295,4.689566,1514,-1
296,4.690172,1514,-1
297,4.692037,1514,-1
298,4.692253,1514,-1
299,4.693279,1514,-1
300,4.693508,1514,-1
301,4.696404,1514,-1
302,4.696625,1514,-1
303,4.70074,66,1
304,4.700968,66,1
305,4.70105,66,1
306,4.701129,66,1
307,4.702553,503,1
308,4.717463,1514,-1
309,4.717707,1514,-1
310,4.717897,1514,-1
311,4.74138,103,1
312,4.741598,103,1
313,4.758445,60,-1
314,4.793609,443,1
315,4.799917,60,-1
316,4.810131,60,-1
317,4.863794,443,1
318,4.863878,66,1
319,4.863955,66,1
320,4.864031,66,1
321,4.864102,66,1
322,4.864177,54,1
323,4.879693,60,-1
324,4.880585,1514,-1
325,4.880707,1514,-1
326,4.880825,1514,-1
327,4.880954,1514,-1
328,4.881082,1514,-1
329,4.881201,1514,-1
330,4.881395,1514,-1
331,4.910532,99,1
332,4.926983,60,-1
333,5.120166,1514,-1
334,5.470987,99,1
335,5.486959,60,-1
336,5.590246,1514,-1
337,5.93109,99,1
338,5.946943,60,-1
339,6.580258,1514,-1
340,6.723639,54,1
341,6.723873,66,1
342,6.740372,1514,-1
343,6.740544,879,-1
344,6.744072,66,1
345,6.744437,66,1
346,6.760871,1514,-1
347,6.761175,1514,-1
348,6.780289,66,1
349,6.78049,66,1
350,6.797147,1514,-1
351,6.797151,1514,-1
352,6.797345,1514,-1
353,6.797472,1514,-1
354,6.802758,66,1
355,6.802955,66,1
356,6.80309,66,1
357,6.803215,66,1
358,6.809123,111,1
359,6.819468,1514,-1
360,6.819593,1514,-1
361,6.81979,1514,-1
362,6.821575,66,1
363,6.821788,66,1
364,6.821875,54,1
365,6.825651,60,-1
