Serial number,time,size,direction
1,0.0,286,1
2,0.007962,952,1
3,0.016142,60,-1
4,0.02419,60,-1
5,0.02749,1514,1
6,0.029181,1514,1
7,0.029211,408,1
8,0.043815,60,-1
9,0.045495,60,-1
10,0.045676,99,-1
11,0.051945,1514,1
12,0.053304,631,1
13,0.054485,491,1
14,0.055753,491,1
15,0.069587,1514,1
16,0.069927,60,-1
17,0.070908,1031,1
18,0.072173,60,-1
19,0.078007,491,1
20,0.087191,60,-1
21,0.091211,491,1
22,0.097326,1291,1
23,0.107442,60,-1
24,0.110479,491,1
25,0.110781,491,1
26,0.112123,491,1
27,0.112788,491,1
28,0.119293,491,1
29,0.119966,491,1
30,0.126704,60,-1
31,0.12762,491,1
32,0.128095,491,1
33,0.128343,60,-1
34,0.129359,491,1
35,0.129857,491,1
36,0.13088,491,1
37,0.135482,60,-1
38,0.144346,60,-1
39,0.14603,60,-1
40,0.14853,491,1
41,0.162697,218,-1
42,0.190494,491,1
43,0.20528,60,-1
44,0.206681,60,-1
45,0.237785,491,1
46,0.253961,60,-1
47,0.304118,491,1
48,0.32032,60,-1
49,0.336834,491,1
50,0.353069,60,-1
51,0.401576,491,1
52,0.417865,60,-1
53,0.425956,491,1
54,0.442203,60,-1
55,0.498959,491,1
56,0.515161,60,-1
57,0.538035,491,1
58,0.554226,60,-1
59,0.590415,491,1
60,0.60662,60,-1
61,0.636439,491,1
62,0.652678,60,-1
63,0.709727,491,1
64,0.726132,60,-1
65,0.734162,491,1
66,0.750486,60,-1
67,0.800252,491,1
68,0.816561,60,-1
69,0.832479,491,1
70,0.848903,60,-1
71,0.896451,491,1
72,0.912843,60,-1
73,0.95205,491,1
74,0.968242,60,-1
75,0.987917,491,1
76,1.004071,60,-1
77,1.039823,491,1
78,1.056037,60,-1
79,1.105178,491,1
80,1.121343,60,-1
81,1.131299,491,1
82,1.147437,60,-1
83,1.202836,491,1
84,1.219061,60,-1
85,1.227112,491,1
86,1.243392,60,-1
87,1.298296,491,1
88,1.314553,60,-1
89,1.341043,491,1
90,1.393022,491,1
91,1.405308,60,-1
92,1.44441,491,1
93,1.45532,60,-1
94,1.504786,491,1
95,1.505294,60,-1
96,1.527399,60,-1
97,1.530302,491,1
98,1.54662,60,-1
99,1.603028,491,1
100,1.619241,60,-1
101,1.627712,491,1
102,1.643873,60,-1
103,1.697666,491,1
104,1.71386,60,-1
105,1.742235,491,1
106,1.747828,152,-1
107,1.792677,54,1
108,1.79321,491,1
109,1.805324,60,-1
110,1.809653,60,-1
111,1.854345,491,1
112,1.870647,60,-1
113,1.912055,491,1
114,1.928274,60,-1
115,1.934332,491,1
116,1.950534,60,-1
117,1.966109,174,-1
118,1.968791,54,1
119,1.994083,491,1
120,2.031146,491,1
121,2.047284,60,-1
122,2.098878,491,1
123,2.151745,491,1
124,2.155306,60,-1
125,2.167907,60,-1
126,2.193145,491,1
127,2.209709,60,-1
128,2.238747,491,1
129,2.252407,211,-1
130,2.252778,1514,-1
131,2.252967,920,-1
132,2.253199,1514,-1
133,2.253289,1514,-1
134,2.253337,1267,-1
135,2.253386,495,-1
136,2.255024,60,-1
137,2.255589,54,1
138,2.255735,54,1
139,2.256691,54,1
140,2.293057,1514,-1
141,2.293264,1514,-1
142,2.293266,1267,-1
143,2.293365,1514,-1
144,2.293478,1514,-1
145,2.293597,328,-1
146,2.293598,1030,-1
147,2.293739,1514,-1
148,2.293826,1514,-1
149,2.29394,1267,-1
150,2.294012,1514,-1
151,2.294197,847,-1
152,2.355972,54,1
153,2.356207,491,1
154,2.356227,491,1
155,2.356256,54,1
156,2.356464,91,1
157,2.356546,91,1
158,2.357349,54,1
159,2.365542,1514,-1
160,2.372337,1514,-1
161,2.372448,1514,-1
162,2.372449,60,-1
163,2.372648,1514,-1
164,2.372737,1514,-1
165,2.372738,60,-1
166,2.37368,1514,-1
167,2.373806,1514,-1
168,2.373902,776,-1
169,2.447371,54,1
170,2.491728,91,1
171,2.491821,54,1
172,2.491893,54,1
173,2.491964,54,1
174,2.492034,54,1
175,2.492105,54,1
176,2.49219,54,1
177,2.492261,54,1
178,2.492331,54,1
179,2.492403,54,1
180,2.492473,54,1
181,2.492545,99,1
182,2.492633,303,1
183,2.507401,60,-1
184,2.508745,60,-1
185,2.610721,157,-1
186,2.638271,154,-1
187,2.639842,54,1
188,2.783666,77,1
189,2.801875,77,-1
190,2.803437,66,1
