Serial number,time,size,direction
1,0.0,1514,1
2,0.000167,199,1
3,0.016699,60,-1
4,0.044367,491,1
5,0.045625,1514,1
6,0.047391,1514,1
7,0.047422,1267,1
8,0.049088,1514,1
9,0.050638,1514,1
10,0.062235,60,-1
11,0.064189,60,-1
12,0.067297,60,-1
13,0.074932,1514,1
14,0.075269,1514,1
15,0.076154,1514,1
16,0.078112,1514,1
17,0.078143,1514,1
18,0.078166,1009,1
19,0.091913,60,-1
20,0.093201,491,1
21,0.094701,60,-1
22,0.095002,60,-1
23,0.104403,426,1
24,0.109855,99,-1
25,0.111349,54,1
26,0.128657,491,1
27,0.145189,60,-1
28,0.149145,215,-1
29,0.175678,491,1
30,0.242426,491,1
31,0.243489,60,-1
32,0.258939,60,-1
33,0.283653,491,1
34,0.30022,60,-1
35,0.325209,491,1
36,0.341848,60,-1
37,0.39178,491,1
38,0.408268,60,-1
39,0.416053,491,1
40,0.432562,60,-1
41,0.482235,491,1
42,0.498722,60,-1
43,0.530087,491,1
44,0.546535,60,-1
45,0.576902,491,1
46,0.593359,60,-1
47,0.628201,491,1
48,0.644645,60,-1
49,0.691236,491,1
50,0.707715,60,-1
51,0.719177,491,1
52,0.735637,60,-1
53,0.807066,491,1
54,0.81262,491,1
55,0.823759,60,-1
56,0.829221,60,-1
57,0.877815,491,1
58,0.894305,60,-1
59,0.943042,491,1
60,0.959543,60,-1
61,0.980264,491,1
62,0.996793,60,-1
63,1.028217,491,1
64,1.044716,60,-1
65,1.086148,491,1
66,1.102666,60,-1
67,1.117846,491,1
68,1.134395,60,-1
69,1.190749,491,1
70,1.207282,60,-1
71,1.214008,491,1
72,1.230526,60,-1
73,1.277375,491,1
74,1.294316,60,-1
75,1.321313,491,1
76,1.337926,60,-1
77,1.378216,491,1
78,1.42299,491,1
79,1.439586,60,-1
80,1.486117,491,1
81,1.515707,491,1
82,1.53227,60,-1
83,1.591923,491,1
84,1.608445,60,-1
85,1.638863,491,1
86,1.655348,60,-1
87,1.673866,491,1
88,1.690721,60,-1
89,1.721289,491,1
90,1.738098,60,-1
91,1.769968,491,1
92,1.786511,60,-1
93,1.815833,491,1
94,1.832335,60,-1
95,1.88638,491,1
96,1.902931,60,-1
97,1.916843,491,1
98,1.933341,60,-1
99,1.992921,491,1
100,2.009425,60,-1
101,2.011192,491,1
102,2.027677,60,-1
103,2.076063,491,1
104,2.092543,60,-1
105,2.121875,491,1
106,2.13837,60,-1
107,2.198114,491,1
108,2.214709,60,-1
109,2.228396,491,1
110,2.244923,60,-1
111,2.245074,99,-1
112,2.285311,491,1
113,2.340727,491,1
114,2.343531,60,-1
115,2.357279,60,-1
116,2.388546,491,1
117,2.405166,60,-1
118,2.412564,491,1
119,2.429189,60,-1
120,2.479167,491,1
121,2.495742,60,-1
122,2.522868,491,1
123,2.539479,60,-1
124,2.573993,491,1
125,2.590465,60,-1
126,2.628271,491,1
127,2.644787,60,-1
128,2.690167,491,1
129,2.706741,60,-1
130,2.712713,491,1
131,2.729254,60,-1
132,2.778965,491,1
133,2.795438,60,-1
134,2.810497,491,1
135,2.826982,60,-1
136,2.875061,491,1
137,2.891608,60,-1
138,2.9273,491,1
139,2.943858,60,-1
140,2.974152,491,1
141,2.990655,60,-1
142,3.048086,491,1
143,3.064698,60,-1
144,3.082987,491,1
145,3.099534,60,-1
146,3.117463,491,1
147,3.135112,60,-1
148,3.191439,491,1
149,3.208018,60,-1
150,3.208047,491,1
151,3.224608,60,-1
152,3.280872,491,1
153,3.29741,60,-1
154,3.327693,491,1
155,3.344203,60,-1
156,3.375276,491,1
157,3.391815,60,-1
158,3.428632,491,1
159,3.445229,60,-1
160,3.483809,491,1
161,3.500326,60,-1
162,3.519744,491,1
163,3.536299,60,-1
164,3.630126,491,1
165,3.632119,491,1
166,3.646636,60,-1
167,3.648649,60,-1
168,3.747492,491,1
169,3.762733,491,1
170,3.763979,60,-1
171,3.769208,491,1
