Serial number,time,size,direction
1,0.0,290,1
2,0.016506,60,-1
3,0.022625,1078,1
4,0.022976,819,1
5,0.039369,60,-1
6,0.039551,60,-1
7,0.039769,1078,1
8,0.04031,1067,1
9,0.040342,491,1
10,0.043114,491,1
11,0.044841,491,1
12,0.049591,491,1
13,0.053902,491,1
14,0.056371,60,-1
15,0.056944,60,-1
16,0.056946,60,-1
17,0.059671,60,-1
18,0.061378,60,-1
19,0.066129,60,-1
20,0.07043,60,-1
21,0.091579,491,1
22,0.108074,60,-1
23,0.149439,213,-1
24,0.168267,1078,1
25,0.169617,1078,1
26,0.174062,1078,1
27,0.176051,1078,1
28,0.176081,1078,1
29,0.176112,1078,1
30,0.17615,1078,1
31,0.186207,60,-1
32,0.192634,60,-1
33,0.192838,60,-1
34,0.198431,1078,1
35,0.201753,1078,1
36,0.215067,60,-1
37,0.215271,99,-1
38,0.270289,60,-1
39,0.288745,1078,1
40,0.289268,1078,1
41,0.289298,1078,1
42,0.289322,543,1
43,0.305879,60,-1
44,0.305881,60,-1
45,0.320128,54,1
46,0.334963,491,1
47,0.3515,60,-1
48,0.367912,491,1
49,0.384434,60,-1
50,0.442241,491,1
51,0.459053,60,-1
52,0.4772,491,1
53,0.493749,60,-1
54,0.549677,491,1
55,0.566406,60,-1
56,0.608408,491,1
57,0.62506,60,-1
58,0.637364,491,1
59,0.654069,60,-1
60,0.674145,491,1
61,0.690737,60,-1
62,0.737306,491,1
63,0.754069,60,-1
64,0.769237,491,1
65,0.785929,60,-1
66,0.832569,491,1
67,0.849052,60,-1
68,0.880808,491,1
69,0.897314,60,-1
70,0.929906,491,1
71,0.946461,60,-1
72,0.977352,491,1
73,0.993857,60,-1
74,1.041826,491,1
75,1.058525,60,-1
76,1.073576,491,1
77,1.090215,60,-1
78,1.137857,491,1
79,1.154389,60,-1
80,1.169352,491,1
81,1.185858,60,-1
82,1.233135,491,1
83,1.249656,60,-1
84,1.276104,491,1
85,1.292608,60,-1
86,1.3354,491,1
87,1.351906,60,-1
88,1.377324,491,1
89,1.393879,60,-1
90,1.445115,491,1
91,1.461627,60,-1
92,1.478461,491,1
93,1.495008,60,-1
94,1.563065,491,1
95,1.5662,491,1
96,1.579636,60,-1
97,1.582801,60,-1
98,1.63649,491,1
99,1.653223,60,-1
100,1.678155,491,1
101,1.694736,60,-1
102,1.724632,491,1
103,1.741244,60,-1
104,1.772285,491,1
105,1.788888,60,-1
106,1.839358,491,1
107,1.85586,60,-1
108,1.873679,491,1
109,1.890231,60,-1
110,1.93844,491,1
111,1.954933,60,-1
112,1.967304,152,-1
113,1.96918,54,1
114,1.970909,491,1
115,2.035862,491,1
116,2.040245,60,-1
117,2.052399,60,-1
118,2.076135,177,-1
119,2.112718,54,1
120,2.112979,491,1
121,2.130997,491,1
122,2.147601,60,-1
123,2.173642,491,1
124,2.230283,60,-1
125,2.271515,491,1
126,2.274149,491,1
127,2.287982,60,-1
128,2.290632,60,-1
129,2.341278,491,1
130,2.357756,60,-1
131,2.357757,99,-1
132,2.359617,54,1
133,2.369138,491,1
134,2.43637,491,1
135,2.440288,60,-1
136,2.452966,60,-1
137,2.480515,491,1
138,2.483028,221,-1
139,2.483515,1514,-1
140,2.483654,1514,-1
141,2.483657,85,-1
142,2.485507,54,1
143,2.486212,54,1
144,2.490909,1514,-1
145,2.491035,1514,-1
146,2.491277,1267,-1
147,2.491279,281,-1
148,2.496183,54,1
149,2.522826,54,1
150,2.529985,1514,-1
151,2.530089,1514,-1
152,2.530203,1267,-1
153,2.530346,1514,-1
154,2.530454,1514,-1
155,2.530572,328,-1
156,2.530574,1030,-1
157,2.530698,1514,-1
158,2.530797,1514,-1
159,2.530923,1267,-1
160,2.531005,1514,-1
161,2.531177,847,-1
162,2.536614,54,1
163,2.536742,54,1
164,2.536865,54,1
165,2.53699,54,1
166,2.538193,54,1
167,2.538432,54,1
168,2.539463,1514,-1
169,2.539669,1058,-1
170,2.540676,491,1
171,2.542543,54,1
172,2.543027,99,1
173,2.559468,60,-1
174,2.565509,1514,-1
175,2.565615,1514,-1
176,2.565734,1267,-1
177,2.565873,1514,-1
178,2.565953,1514,-1
179,2.566054,334,-1
180,2.566056,514,-1
181,2.566179,1514,-1
182,2.566282,1514,-1
183,2.566402,1267,-1
184,2.566534,1514,-1
185,2.566626,1363,-1
186,2.566699,1420,-1
187,2.566897,126,-1
188,2.566899,1117,-1
189,2.570622,54,1
190,2.570752,54,1
191,2.57164,54,1
192,2.573488,54,1
193,2.573614,54,1
194,2.574585,99,1
195,2.576123,54,1
196,2.576379,54,1
197,2.579253,491,1
198,2.587825,1514,-1
199,2.587963,1514,-1
200,2.588134,1267,-1
201,2.588356,1514,-1
202,2.588359,1514,-1
203,2.588361,363,-1
204,2.588531,1514,-1
205,2.58875,1514,-1
206,2.590157,1514,-1
207,2.59028,1514,-1
208,2.590416,1514,-1
209,2.590614,1514,-1
210,2.592693,1128,-1
211,2.602936,54,1
212,2.608699,54,1
213,2.60888,54,1
214,2.609012,54,1
215,2.60914,54,1
216,2.609284,54,1
217,2.622787,1514,-1
218,2.623089,1514,-1
219,2.623128,1267,-1
220,2.62313,1514,-1
221,2.623184,1185,-1
222,2.623338,692,-1
223,2.625576,1514,-1
224,2.62558,1514,-1
225,2.626055,1514,-1
226,2.626058,1514,-1
227,2.62606,1514,-1
228,2.626062,1514,-1
229,2.626216,1128,-1
230,2.646079,1514,-1
231,2.646085,1514,-1
232,2.646285,1267,-1
233,2.656878,99,1
234,2.657277,491,1
235,2.657317,54,1
236,2.657538,54,1
237,2.657666,54,1
238,2.657791,54,1
239,2.65803,54,1
240,2.658165,54,1
241,2.658301,54,1
242,2.658467,99,1
243,2.673579,1514,-1
244,2.673774,1514,-1
245,2.674097,1514,-1
246,2.674204,1514,-1
247,2.674316,1514,-1
248,2.674463,1514,-1
249,2.674575,1514,-1
250,2.674685,1514,-1
251,2.674922,1474,-1
252,2.675757,491,1
253,2.676685,54,1
254,2.678303,1514,-1
255,2.678387,1514,-1
256,2.678565,1267,-1
257,2.678635,1514,-1
258,2.678823,153,-1
259,2.678824,1514,-1
260,2.678954,264,-1
261,2.678956,1514,-1
262,2.679055,1514,-1
263,2.679192,54,1
264,2.679312,1267,-1
265,2.679556,54,1
266,2.6797,54,1
267,2.681415,54,1
268,2.682403,54,1
269,2.683368,54,1
270,2.69126,99,1
271,2.691606,54,1
272,2.69174,54,1
273,2.693407,1514,-1
274,2.693631,1514,-1
275,2.69537,54,1
276,2.695946,1514,-1
277,2.696162,1375,-1
278,2.697527,54,1
279,2.702197,1514,-1
280,2.702406,1514,-1
281,2.702407,1267,-1
282,2.702467,1097,-1
283,2.702535,1514,-1
284,2.702641,780,-1
285,2.702779,1514,-1
286,2.702885,1514,-1
287,2.703085,1267,-1
288,2.706074,54,1
289,2.707949,54,1
290,2.708095,54,1
291,2.708272,1514,-1
292,2.708387,1514,-1
293,2.708499,1514,-1
294,2.708687,1412,-1
295,2.709804,54,1
296,2.709931,99,1
297,2.710573,54,1
298,2.71423,1514,-1
299,2.714386,1514,-1
300,2.714387,1267,-1
301,2.714446,581,-1
302,2.714582,1514,-1
303,2.7148,1296,-1
304,2.719879,54,1
305,2.720135,54,1
306,2.720227,54,1
307,2.720302,54,1
308,2.720404,54,1
309,2.720886,99,1
310,2.722661,1514,-1
311,2.722837,663,-1
312,2.724838,54,1
313,2.726629,1514,-1
314,2.726736,695,-1
315,2.726789,1514,-1
316,2.726972,62,-1
317,2.726973,1068,-1
318,2.727142,91,-1
319,2.735803,54,1
320,2.735978,54,1
321,2.737552,54,1
322,2.769605,491,1
323,2.771008,491,1
324,2.780373,60,-1
325,2.786189,60,-1
326,2.787578,60,-1
327,2.820645,91,1
328,2.822032,431,1
329,2.83715,60,-1
330,2.838503,60,-1
331,3.159852,159,-1
332,3.181564,156,-1
333,3.185445,54,1
