Serial number,time,size,direction
1,0.0,174,1
2,0.013675,76,1
3,0.016195,60,-1
4,0.022735,169,-1
5,0.02572,74,1
6,0.06451,74,1
7,0.088264,74,-1
8,0.116907,66,1
9,0.118293,282,1
10,0.125197,74,-1
11,0.147973,66,1
12,0.149397,282,1
13,0.181103,66,-1
14,0.182478,1514,-1
15,0.182574,1514,-1
16,0.182727,1266,-1
17,0.182925,740,-1
18,0.188213,66,1
19,0.188343,66,1
20,0.191062,66,1
21,0.19119,66,1
22,0.210539,66,-1
23,0.211821,1514,-1
24,0.211928,1514,-1
25,0.212019,1266,-1
26,0.212189,740,-1
27,0.228106,192,1
28,0.229487,66,1
29,0.229778,66,1
30,0.23049,66,1
31,0.230774,66,1
32,0.264219,192,1
33,0.290796,117,-1
34,0.307005,66,1
35,0.309122,312,1
36,0.325265,117,-1
37,0.326758,66,1
38,0.328153,316,1
39,0.413861,66,-1
40,0.414645,432,-1
41,0.414647,97,-1
42,0.416567,456,-1
43,0.419521,97,1
44,0.419795,66,1
45,0.420938,76,1
46,0.423265,76,1
47,0.429998,168,-1
48,0.430001,168,-1
49,0.432423,74,1
50,0.432759,74,1
51,0.446623,74,-1
52,0.44708,74,-1
53,0.448008,66,1
54,0.448356,66,1
55,0.449657,282,1
56,0.461459,66,1
57,0.464257,66,-1
58,0.465813,1514,-1
59,0.46592,1514,-1
60,0.466075,1266,-1
61,0.466291,1514,-1
62,0.467603,66,1
63,0.469205,66,1
64,0.469473,66,1
65,0.470277,66,1
66,0.471599,282,1
67,0.481755,66,-1
68,0.481757,66,-1
69,0.482275,1514,-1
70,0.482498,1300,-1
71,0.483439,54,1
72,0.48358,54,1
73,0.484287,66,1
74,0.485039,66,1
75,0.486345,66,-1
76,0.487851,1514,-1
77,0.487957,1514,-1
78,0.488163,1266,-1
79,0.488421,1514,-1
80,0.491186,66,1
81,0.491501,66,1
82,0.491657,66,1
83,0.491796,66,1
84,0.506054,1514,-1
85,0.506269,1300,-1
86,0.509033,66,1
87,0.509231,66,1
88,0.528358,192,1
89,0.542894,324,-1
90,0.554566,66,1
91,0.582213,347,1
92,0.597365,628,-1
93,0.597368,97,-1
94,0.59737,66,-1
95,0.603277,97,1
96,0.603546,66,1
97,0.603673,54,1
98,0.617263,60,-1
99,0.629536,192,1
100,0.644738,324,-1
101,0.646528,66,1
102,0.649261,351,1
103,0.669804,1514,-1
104,0.670038,1514,-1
105,0.670041,1514,-1
106,0.670198,1514,-1
107,0.670279,1514,-1
108,0.670397,1514,-1
109,0.670506,1514,-1
110,0.670629,1514,-1
111,0.670764,1514,-1
112,0.670894,1514,-1
113,0.670999,1514,-1
114,0.671121,1514,-1
115,0.671253,1514,-1
116,0.671364,1514,-1
117,0.671493,1514,-1
118,0.671707,1514,-1
119,0.672438,66,1
120,0.673373,66,1
121,0.674234,66,1
122,0.675083,66,1
123,0.675903,66,1
124,0.676742,66,1
125,0.679039,66,1
126,0.679485,66,1
127,0.690178,1514,-1
128,0.690301,1514,-1
129,0.690438,1514,-1
130,0.69055,1514,-1
131,0.690685,1514,-1
132,0.690801,1514,-1
133,0.690937,1514,-1
134,0.691054,1514,-1
135,0.69117,1514,-1
136,0.69129,1514,-1
137,0.691421,1514,-1
138,0.691538,1514,-1
139,0.691667,1514,-1
140,0.691789,1514,-1
141,0.691905,1514,-1
142,0.692039,1514,-1
143,0.692151,1514,-1
144,0.692278,1514,-1
145,0.692413,1514,-1
146,0.692521,1514,-1
147,0.692641,1514,-1
148,0.692767,1514,-1
149,0.69289,1514,-1
150,0.6931,1514,-1
151,0.693227,1514,-1
152,0.69335,1514,-1
153,0.693468,1514,-1
154,0.693588,1514,-1
155,0.69371,1514,-1
156,0.693919,1514,-1
157,0.69446,1514,-1
158,0.694676,1514,-1
159,0.733655,1514,-1
160,0.824468,66,1
161,0.82476,66,1
162,0.82489,66,1
163,0.825013,66,1
164,0.825147,66,1
165,0.827744,66,1
166,0.827992,66,1
167,0.828113,66,1
168,0.82823,66,1
169,0.828868,66,1
170,0.829698,66,1
171,0.830557,66,1
172,0.834133,66,1
173,0.838738,1514,-1
174,0.838954,1514,-1
175,0.839623,1514,-1
176,0.839848,1514,-1
177,0.841635,1514,-1
178,0.841759,1514,-1
179,0.841986,1514,-1
180,0.842814,66,1
181,0.842944,66,1
182,0.843073,66,1
183,0.843192,78,1
184,0.843309,66,1
185,0.843426,66,1
186,0.843542,1514,-1
187,0.84373,66,1
188,0.843856,66,1
189,0.843978,66,1
190,0.845391,1514,-1
191,0.845611,1514,-1
192,0.847315,1514,-1
193,0.847536,1514,-1
194,0.848108,66,1
195,0.848228,66,1
