Serial number,time,size,direction
1,0.0,290,1
2,0.016604,60,-1
3,0.052022,1043,1
4,0.06459,1514,1
5,0.065938,231,1
6,0.068737,60,-1
7,0.074762,891,1
8,0.075156,891,1
9,0.076717,491,1
10,0.079207,491,1
11,0.08132,60,-1
12,0.08248,60,-1
13,0.086652,491,1
14,0.091423,60,-1
15,0.091798,60,-1
16,0.093305,60,-1
17,0.095783,60,-1
18,0.099112,1291,1
19,0.103212,60,-1
20,0.115823,60,-1
21,0.126337,491,1
22,0.133672,491,1
23,0.135226,1291,1
24,0.138498,491,1
25,0.142874,60,-1
26,0.147074,1291,1
27,0.150242,60,-1
28,0.151948,60,-1
29,0.155136,60,-1
30,0.163822,60,-1
31,0.179066,491,1
32,0.180606,491,1
33,0.180637,491,1
34,0.184039,1514,1
35,0.185414,1514,1
36,0.185445,371,1
37,0.185467,491,1
38,0.185492,491,1
39,0.186222,491,1
40,0.186605,491,1
41,0.18746,491,1
42,0.187991,218,-1
43,0.197192,60,-1
44,0.198885,1514,1
45,0.200384,1216,1
46,0.200805,60,-1
47,0.202209,60,-1
48,0.202212,60,-1
49,0.20323,60,-1
50,0.204242,99,-1
51,0.217142,60,-1
52,0.232342,491,1
53,0.294076,60,-1
54,0.297577,491,1
55,0.314193,60,-1
56,0.343639,491,1
57,0.360266,60,-1
58,0.397675,491,1
59,0.414297,60,-1
60,0.439602,491,1
61,0.456207,60,-1
62,0.506179,491,1
63,0.522956,60,-1
64,0.537407,491,1
65,0.554268,60,-1
66,0.603402,491,1
67,0.620238,60,-1
68,0.629023,491,1
69,0.645684,60,-1
70,0.703645,491,1
71,0.72028,60,-1
72,0.746677,491,1
73,0.763264,60,-1
74,0.788431,491,1
75,0.805007,60,-1
76,0.836312,491,1
77,0.852923,60,-1
78,0.90928,491,1
79,0.925848,60,-1
80,0.934803,491,1
81,0.951353,60,-1
82,1.007694,491,1
83,1.024367,60,-1
84,1.032567,491,1
85,1.049205,60,-1
86,1.09872,491,1
87,1.115412,60,-1
88,1.142434,491,1
89,1.159057,60,-1
90,1.189858,491,1
91,1.206478,60,-1
92,1.237263,491,1
93,1.253841,60,-1
94,1.30708,491,1
95,1.323667,60,-1
96,1.337001,491,1
97,1.353568,60,-1
98,1.401161,491,1
99,1.417764,60,-1
100,1.431522,491,1
101,1.448116,60,-1
102,1.496606,491,1
103,1.513205,60,-1
104,1.549407,491,1
105,1.566118,60,-1
106,1.596162,491,1
107,1.612925,60,-1
108,1.643542,491,1
109,1.660239,60,-1
110,1.708017,491,1
111,1.724708,60,-1
112,1.738921,491,1
113,1.755515,60,-1
114,1.803701,491,1
115,1.820374,60,-1
116,1.836735,491,1
