Serial number,time,size,direction
1,0.0,77,1
2,0.024025,77,-1
3,0.025843,66,1
4,0.705539,283,1
5,0.722413,60,-1
6,0.731847,1074,1
7,0.748788,60,-1
8,0.751875,1514,1
9,0.753261,1031,1
10,0.759719,491,1
11,0.761898,491,1
12,0.762858,491,1
13,0.764169,491,1
14,0.765221,491,1
15,0.766661,491,1
16,0.768234,491,1
17,0.769054,60,-1
18,0.769414,491,1
19,0.770402,60,-1
20,0.772732,1365,1
21,0.773704,491,1
22,0.776529,60,-1
23,0.778145,1514,1
24,0.778851,60,-1
25,0.780013,60,-1
26,0.780322,779,1
27,0.781073,60,-1
28,0.782025,60,-1
29,0.783486,60,-1
30,0.783756,928,1
31,0.784752,1365,1
32,0.785112,60,-1
33,0.785772,491,1
34,0.786224,60,-1
35,0.786915,491,1
36,0.787899,491,1
37,0.789015,491,1
38,0.789833,60,-1
39,0.790562,60,-1
40,0.795147,60,-1
41,0.797178,60,-1
42,0.800646,60,-1
43,0.80172,60,-1
44,0.802773,60,-1
45,0.803868,60,-1
46,0.804935,60,-1
47,0.805857,60,-1
48,0.806634,491,1
49,0.823469,60,-1
50,0.868816,219,-1
51,0.876577,491,1
52,0.893454,60,-1
53,0.903928,491,1
54,0.920897,60,-1
55,0.969161,491,1
56,0.986111,60,-1
57,1.007114,491,1
58,1.024132,60,-1
59,1.070291,491,1
60,1.087169,60,-1
61,1.113025,491,1
62,1.129829,60,-1
63,1.160662,491,1
64,1.177591,60,-1
65,1.209136,491,1
66,1.21717,150,-1
67,1.268103,60,-1
68,1.27138,491,1
69,1.288206,60,-1
70,1.306287,491,1
71,1.323074,60,-1
72,1.3722,491,1
73,1.388989,60,-1
74,1.404228,491,1
75,1.421024,60,-1
76,1.469997,491,1
77,1.486887,60,-1
78,1.516924,491,1
79,1.533845,60,-1
80,1.558912,491,1
81,1.575898,60,-1
82,1.620277,491,1
83,1.637259,60,-1
84,1.679281,491,1
85,1.696207,60,-1
86,1.703704,491,1
87,1.720542,60,-1
88,1.720544,99,-1
89,1.75995,54,1
90,1.771599,491,1
91,1.802514,491,1
92,1.819309,60,-1
93,1.870001,491,1
94,1.928115,60,-1
95,1.942799,491,1
96,1.959637,60,-1
97,1.960053,491,1
98,1.976897,60,-1
99,2.00836,491,1
100,2.025327,60,-1
101,2.083897,491,1
102,2.100808,60,-1
103,2.108041,491,1
104,2.12499,60,-1
105,2.172571,491,1
106,2.189467,60,-1
107,2.20487,491,1
108,2.221814,60,-1
109,2.266479,491,1
110,2.283292,60,-1
111,2.311408,491,1
112,2.328291,60,-1
113,2.371238,491,1
114,2.388169,60,-1
