Serial number,time,size,direction
1,0.0,288,1
2,0.015011,969,1
3,0.016151,60,-1
4,0.026728,1291,1
5,0.02806,491,1
6,0.031277,60,-1
7,0.043026,60,-1
8,0.044375,60,-1
9,0.058275,1291,1
10,0.07467,60,-1
11,0.074673,99,-1
12,0.081732,54,1
13,0.089205,891,1
14,0.096518,1514,1
15,0.097653,631,1
16,0.097682,491,1
17,0.110175,491,1
18,0.1108,491,1
19,0.112903,60,-1
20,0.113016,491,1
21,0.113914,60,-1
22,0.116222,491,1
23,0.126497,1514,1
24,0.126982,60,-1
25,0.12748,631,1
26,0.132459,60,-1
27,0.143655,60,-1
28,0.151565,212,-1
29,0.169221,1514,1
30,0.170828,1514,1
31,0.170858,771,1
32,0.172879,491,1
33,0.187153,60,-1
34,0.189085,60,-1
35,0.212405,54,1
36,0.226135,491,1
37,0.284993,491,1
38,0.290241,60,-1
39,0.301215,60,-1
40,0.329424,491,1
41,0.345613,60,-1
42,0.378935,491,1
43,0.395095,60,-1
44,0.413292,491,1
45,0.429485,60,-1
46,0.482525,491,1
47,0.498708,60,-1
48,0.525752,491,1
49,0.541939,60,-1
50,0.568017,491,1
51,0.584225,60,-1
52,0.623051,491,1
53,0.639389,60,-1
54,0.678117,151,-1
55,0.683549,491,1
56,0.683789,54,1
57,0.721666,491,1
58,0.737993,60,-1
59,0.780871,491,1
60,0.811677,491,1
61,0.827854,60,-1
62,0.876145,491,1
63,0.935297,491,1
64,0.940363,60,-1
65,0.951547,60,-1
66,0.972559,491,1
67,0.988721,60,-1
68,1.028219,491,1
69,1.044377,60,-1
70,1.081905,491,1
71,1.098065,60,-1
72,1.115465,491,1
73,1.131732,60,-1
74,1.179667,491,1
75,1.195972,60,-1
76,1.210551,491,1
77,1.226797,60,-1
78,1.284702,491,1
79,1.300875,60,-1
80,1.326073,491,1
81,1.342256,60,-1
82,1.377633,491,1
83,1.393795,60,-1
84,1.429718,491,1
85,1.445915,60,-1
86,1.482982,491,1
87,1.499167,60,-1
88,1.517858,491,1
89,1.534114,60,-1
90,1.58009,491,1
91,1.596404,60,-1
92,1.611465,491,1
93,1.627727,60,-1
94,1.676898,491,1
95,1.693178,60,-1
96,1.721908,491,1
97,1.738255,60,-1
98,1.770679,491,1
99,1.786947,60,-1
100,1.819032,491,1
101,1.835255,60,-1
102,1.894555,491,1
103,1.910768,60,-1
104,1.913161,491,1
105,1.929327,60,-1
106,1.983754,491,1
107,1.999956,60,-1
108,2.019819,491,1
109,2.036006,60,-1
110,2.07427,491,1
111,2.090406,60,-1
112,2.122437,491,1
113,2.138586,60,-1
114,2.170034,491,1
115,2.186241,60,-1
116,2.216412,491,1
117,2.232569,60,-1
118,2.288437,491,1
119,2.304785,60,-1
120,2.318236,491,1
121,2.334482,60,-1
122,2.384112,491,1
123,2.400257,60,-1
124,2.409179,491,1
125,2.425356,60,-1
126,2.478175,491,1
127,2.494507,60,-1
128,2.52597,491,1
129,2.542112,60,-1
130,2.577705,491,1
131,2.593894,60,-1
132,2.593897,99,-1
133,2.623063,491,1
134,2.680314,60,-1
135,2.686698,491,1
136,2.703082,60,-1
137,2.712982,491,1
138,2.729256,60,-1
139,2.783873,491,1
140,2.800121,60,-1
141,2.817276,491,1
142,2.833507,60,-1
143,2.880254,491,1
144,2.896455,60,-1
145,2.927971,491,1
146,2.944195,60,-1
147,2.944196,99,-1
148,2.978219,491,1
149,3.024891,491,1
150,3.041044,60,-1
151,3.089735,491,1
152,3.160309,60,-1
153,3.209336,491,1
154,3.209558,491,1
155,3.211213,491,1
156,3.225654,60,-1
157,3.225799,60,-1
158,3.22744,60,-1
159,3.284833,491,1
160,3.301197,60,-1
161,3.349299,491,1
162,3.365611,60,-1
163,3.370096,491,1
164,3.386341,60,-1
165,3.42335,491,1
166,3.439556,60,-1
167,3.485186,491,1
168,3.501359,60,-1
169,3.513394,491,1
170,3.529594,60,-1
171,3.597286,491,1
172,3.613454,60,-1
173,3.615857,491,1
174,3.632004,60,-1
175,3.677109,491,1
176,3.693294,60,-1
177,3.798019,491,1
178,3.798484,491,1
179,3.814392,60,-1
180,3.814717,60,-1
181,3.823257,491,1
182,3.839666,60,-1
183,3.886704,491,1
184,3.902925,60,-1
185,3.917236,491,1
186,3.933431,60,-1
187,3.98327,491,1
188,3.999441,60,-1
189,4.014891,491,1
190,4.031088,60,-1
191,4.075676,491,1
192,4.091988,60,-1
193,4.122563,491,1
194,4.138763,60,-1
195,4.170822,491,1
196,4.187029,60,-1
197,4.219252,491,1
198,4.235537,60,-1
199,4.284269,491,1
200,4.300587,60,-1
201,4.314455,491,1
202,4.330769,60,-1
203,4.385287,491,1
204,4.401647,60,-1
205,4.409586,491,1
206,4.425908,60,-1
207,4.481701,491,1
208,4.49797,60,-1
209,4.526917,491,1
210,4.543132,60,-1
211,4.574181,491,1
212,4.590352,60,-1
213,4.621553,491,1
214,4.637795,60,-1
215,4.685215,491,1
216,4.701384,60,-1
217,4.715711,491,1
218,4.731933,60,-1
219,4.779732,491,1
220,4.796002,60,-1
221,4.810051,491,1
222,4.826296,60,-1
223,4.880841,491,1
224,4.897126,60,-1
225,4.926255,491,1
226,4.937018,176,-1
227,4.972349,54,1
228,4.975985,491,1
229,4.990428,60,-1
230,4.992176,60,-1
231,5.023822,491,1
232,5.039992,60,-1
233,5.086053,491,1
234,5.102277,60,-1
235,5.127965,491,1
236,5.144188,60,-1
237,5.192358,491,1
238,5.208585,60,-1
239,5.212067,491,1
240,5.22827,60,-1
241,5.276738,491,1
242,5.293048,60,-1
243,5.32235,491,1
244,5.338714,60,-1
245,5.37809,491,1
246,5.394441,60,-1
247,5.428886,491,1
248,5.44258,215,-1
249,5.442903,1514,-1
250,5.443089,795,-1
251,5.445152,60,-1
252,5.448184,54,1
253,5.448332,54,1
254,5.448411,54,1
255,5.449795,1514,-1
256,5.449889,1514,-1
257,5.449963,1267,-1
258,5.450131,982,-1
259,5.453067,54,1
260,5.453883,54,1
261,5.454034,54,1
262,5.454959,54,1
263,5.489712,1514,-1
264,5.489806,1514,-1
265,5.489899,1267,-1
266,5.490039,1514,-1
267,5.490126,1514,-1
268,5.490127,328,-1
269,5.490254,1030,-1
270,5.490383,1514,-1
271,5.49049,1514,-1
272,5.490688,1267,-1
273,5.49283,491,1
274,5.495498,54,1
275,5.49824,99,1
276,5.498315,54,1
277,5.499889,54,1
278,5.501971,54,1
279,5.511829,1514,-1
280,5.512023,1514,-1
281,5.514531,1514,-1
282,5.514667,1514,-1
283,5.514781,1514,-1
284,5.514979,1514,-1
285,5.515306,54,1
286,5.516387,1514,-1
287,5.516516,1514,-1
288,5.516636,1514,-1
289,5.516759,1514,-1
290,5.516887,1514,-1
291,5.517092,1514,-1
292,5.518644,1514,-1
293,5.518774,1514,-1
294,5.518984,1514,-1
295,5.519282,54,1
296,5.519422,54,1
297,5.519497,54,1
298,5.519568,54,1
299,5.520303,54,1
300,5.521818,54,1
301,5.523374,491,1
302,5.523448,99,1
303,5.53145,67,-1
304,5.535659,1514,-1
305,5.535759,1514,-1
306,5.53587,1267,-1
307,5.535992,1514,-1
308,5.536075,1514,-1
309,5.536078,241,-1
310,5.53608,176,-1
311,5.536273,1514,-1
312,5.536482,1514,-1
313,5.536624,1514,-1
314,5.536827,1514,-1
315,5.538131,1514,-1
316,5.538325,1514,-1
317,5.539736,60,-1
318,5.551341,54,1
319,5.5539,54,1
320,5.559274,99,1
321,5.559351,54,1
322,5.567621,1514,-1
323,5.567822,1514,-1
324,5.567956,54,1
325,5.568099,54,1
326,5.568174,54,1
327,5.570199,1514,-1
328,5.570392,1514,-1
329,5.570748,54,1
330,5.572053,54,1
331,5.575578,1514,-1
332,5.57571,1514,-1
333,5.575819,1514,-1
334,5.576013,1314,-1
335,5.581251,54,1
336,5.581335,54,1
337,5.608258,491,1
338,5.62966,491,1
339,5.636745,91,1
340,5.636831,91,1
341,5.645756,303,1
342,5.645894,60,-1
343,5.652925,60,-1
344,5.710299,60,-1
345,6.008279,157,-1
346,6.031183,149,-1
347,6.03253,54,1
