Serial number,time,size,direction
1,0.0,287,1
2,0.016718,60,-1
3,0.122036,1514,1
4,0.12239,344,1
5,0.122419,1291,1
6,0.122456,1514,1
7,0.122479,779,1
8,0.139083,60,-1
9,0.139085,60,-1
10,0.139355,60,-1
11,0.1396,60,-1
12,0.139601,60,-1
13,0.236801,1514,1
14,0.237261,1514,1
15,0.237293,1514,1
16,0.238266,1514,1
17,0.238756,1514,1
18,0.239495,212,-1
19,0.241012,54,1
20,0.253595,60,-1
21,0.254162,60,-1
22,0.254164,60,-1
23,0.255054,60,-1
24,0.255496,1514,1
25,0.25578,60,-1
26,0.256185,1514,1
27,0.257284,1514,1
28,0.257316,1514,1
29,0.25787,898,1
30,0.272254,60,-1
31,0.273007,60,-1
32,0.273969,60,-1
33,0.274158,60,-1
34,0.274513,60,-1
35,0.290187,491,1
36,0.306808,60,-1
37,0.400017,491,1
38,0.400191,491,1
39,0.417792,60,-1
40,0.418095,60,-1
41,0.447695,491,1
42,0.464402,60,-1
43,0.51221,491,1
44,0.528922,60,-1
45,0.557974,491,1
46,0.574611,60,-1
47,0.692238,491,1
48,0.692319,491,1
49,0.692349,491,1
50,0.70906,60,-1
51,0.709067,60,-1
52,0.709069,60,-1
53,0.755901,491,1
54,0.772584,60,-1
55,0.792247,491,1
56,0.809633,60,-1
57,0.844451,491,1
58,0.861131,60,-1
59,0.893873,491,1
60,0.911571,60,-1
61,0.956507,491,1
62,0.974259,60,-1
63,0.985198,491,1
64,1.002176,60,-1
65,1.057969,491,1
66,1.074576,60,-1
67,1.082419,491,1
68,1.099805,60,-1
69,1.152792,491,1
70,1.169594,60,-1
71,1.183243,491,1
72,1.200104,60,-1
73,1.247808,491,1
74,1.264474,60,-1
75,1.311412,491,1
76,1.328303,60,-1
77,1.336764,491,1
78,1.353945,60,-1
79,1.390058,491,1
80,1.406696,60,-1
81,1.456014,491,1
82,1.472554,60,-1
83,1.487915,491,1
84,1.504505,60,-1
85,1.55803,491,1
86,1.575231,60,-1
87,1.597903,491,1
88,1.614526,60,-1
89,1.645394,491,1
90,1.662004,60,-1
91,1.693418,491,1
92,1.710142,60,-1
93,1.755021,491,1
94,1.771739,60,-1
95,1.794774,491,1
96,1.811518,60,-1
97,1.85587,491,1
98,1.872536,60,-1
99,1.888112,491,1
100,1.904854,60,-1
101,1.90486,99,-1
102,1.949168,491,1
103,1.995655,491,1
104,2.012668,60,-1
105,2.044036,491,1
106,2.093534,491,1
107,2.110157,60,-1
108,2.136644,152,-1
109,2.142525,491,1
110,2.189409,491,1
111,2.206739,60,-1
112,2.256941,491,1
113,2.291719,491,1
114,2.307806,174,-1
115,2.353393,491,1
116,2.370061,60,-1
117,2.393807,491,1
118,2.451512,491,1
119,2.470493,60,-1
120,2.497661,491,1
121,2.514929,99,-1
122,2.583771,491,1
123,2.594246,491,1
124,2.61081,60,-1
125,2.660716,491,1
126,2.697902,491,1
127,2.71451,60,-1
128,2.720635,218,-1
129,2.72094,1514,-1
130,2.72294,54,1
131,2.740098,1514,-1
132,2.740222,1514,-1
133,2.740345,1514,-1
134,2.740491,592,-1
135,2.742689,54,1
136,2.744744,54,1
137,2.756153,491,1
138,2.784606,1514,-1
139,2.784656,1514,-1
140,2.785052,1267,-1
141,2.785055,1514,-1
142,2.785065,1514,-1
143,2.785067,328,-1
144,2.798517,491,1
145,2.8001,54,1
146,2.801226,54,1
147,2.802141,54,1
148,2.817223,1514,-1
149,2.817491,1514,-1
150,2.818192,1514,-1
151,2.818418,1514,-1
152,2.819097,1514,-1
153,2.819307,1514,-1
154,2.820284,54,1
155,2.821399,54,1
156,2.822477,54,1
157,2.822761,99,1
158,2.837183,1514,-1
159,2.837394,1514,-1
160,2.83826,1514,-1
161,2.838461,1514,-1
162,2.839369,1514,-1
163,2.839571,1514,-1
164,2.839993,54,1
165,2.841622,54,1
166,2.841889,54,1
167,2.852039,491,1
168,2.856723,1514,-1
169,2.856897,1514,-1
170,2.858313,1514,-1
171,2.858452,1514,-1
172,2.858568,1514,-1
173,2.858687,1514,-1
174,2.858798,1514,-1
175,2.859002,1514,-1
176,2.878363,54,1
177,2.879335,54,1
178,2.880381,99,1
179,2.880681,54,1
180,2.89553,1514,-1
181,2.89572,1514,-1
182,2.896533,1514,-1
183,2.896734,1514,-1
184,2.897315,1514,-1
185,2.89751,1514,-1
186,2.897836,1514,-1
187,2.89971,491,1
188,2.899974,54,1
189,2.900068,54,1
190,2.901452,54,1
191,2.916777,1514,-1
192,2.91694,1514,-1
193,2.91702,1514,-1
194,2.917147,1514,-1
195,2.91736,1514,-1
196,2.918313,1514,-1
197,2.918522,1514,-1
198,2.919186,54,1
199,2.919535,99,1
200,2.921376,54,1
201,2.922385,54,1
202,2.935924,1514,-1
203,2.936109,1514,-1
204,2.936503,1514,-1
205,2.938081,1514,-1
206,2.938274,1514,-1
207,2.939157,1514,-1
208,2.939348,1514,-1
209,2.956738,491,1
210,2.956878,91,1
211,2.956953,91,1
212,2.959314,54,1
213,2.959645,54,1
214,2.960623,99,1
215,2.960953,54,1
216,2.973469,1514,-1
217,2.973545,1514,-1
218,2.973546,60,-1
219,2.976196,1514,-1
220,2.976274,54,1
221,2.976319,1514,-1
222,2.976434,1514,-1
223,2.976635,1514,-1
224,2.977386,1514,-1
225,2.977663,1514,-1
226,2.977858,1514,-1
227,2.978487,54,1
228,2.979909,54,1
229,2.981097,54,1
230,2.993063,1514,-1
231,2.993263,1514,-1
232,2.995146,1514,-1
233,2.99534,1514,-1
234,2.996131,54,1
235,2.99656,1514,-1
236,2.996759,1514,-1
237,2.997758,1514,-1
238,2.997949,1514,-1
239,3.013206,1514,-1
240,3.013404,1514,-1
241,3.03825,54,1
242,3.038488,54,1
243,3.038583,54,1
244,3.038665,99,1
245,3.051468,54,1
246,3.051971,431,1
247,3.055009,1514,-1
248,3.055146,1514,-1
249,3.055225,1514,-1
250,3.055342,1514,-1
251,3.055483,1514,-1
252,3.055592,1514,-1
253,3.055712,1514,-1
254,3.055928,1514,-1
255,3.058069,54,1
256,3.058331,99,1
257,3.060643,54,1
258,3.061084,54,1
259,3.068379,1514,-1
260,3.068635,1514,-1
261,3.075041,1514,-1
262,3.075245,1514,-1
263,3.077902,1514,-1
264,3.078109,1514,-1
265,3.078341,1514,-1
266,3.078546,1514,-1
267,3.080158,54,1
268,3.083257,54,1
269,3.086415,54,1
270,3.089567,54,1
271,3.096904,1514,-1
272,3.096961,1514,-1
273,3.097002,67,-1
274,3.121734,99,1
275,3.123335,54,1
276,3.164089,54,1
277,3.186208,60,-1
278,3.510676,158,-1
279,3.548455,151,-1
280,3.601,54,1
281,3.601176,54,1
