Serial number,time,size,direction
1,0.0,98,1
2,0.00068,98,-1
3,0.003095,98,1
4,0.003669,98,-1
5,0.005706,98,1
6,0.006204,98,-1
7,0.039651,98,1
8,0.040271,98,-1
9,0.044991,98,1
10,0.045537,98,-1
11,0.065152,98,1
12,0.065885,98,-1
13,0.067467,98,1
14,0.068182,98,-1
15,0.069491,98,1
16,0.070215,98,-1
17,0.071804,98,1
18,0.072244,98,-1
19,0.073541,98,1
20,0.073988,98,-1
21,0.075554,98,1
22,0.07611,98,-1
23,0.077651,98,1
24,0.078276,98,-1
25,0.079852,98,1
26,0.080497,98,-1
27,0.081799,98,1
28,0.0825,98,-1
29,0.083923,98,1
30,0.084576,98,-1
31,0.088867,89,1
32,0.098236,153,-1
33,0.103958,74,1
34,0.11141,74,-1
35,0.112735,66,1
36,0.113065,150,1
37,0.120996,66,-1
38,0.122363,538,-1
39,0.145139,66,1
40,0.147341,66,1
41,0.1545,66,-1
42,0.156646,66,1
43,0.157736,54,1
44,0.158358,85,1
45,0.159204,153,-1
46,0.167494,74,1
47,0.183207,66,-1
48,0.184529,54,1
49,0.185082,200,1
50,0.202026,60,-1
51,0.204411,410,-1
52,0.204415,473,-1
53,0.225485,54,1
54,0.234434,54,1
55,0.269989,90,1
56,0.300737,90,1
57,0.37989,54,1
58,0.423634,289,1
59,0.440087,60,-1
60,0.459984,1129,1
61,0.460989,1514,1
62,0.462306,231,1
63,0.47138,491,1
64,0.472651,491,1
65,0.476637,60,-1
66,0.477698,60,-1
67,0.478797,60,-1
68,0.479987,491,1
69,0.480521,491,1
70,0.481123,491,1
71,0.487999,60,-1
72,0.489268,60,-1
73,0.496726,60,-1
74,0.497172,60,-1
75,0.497366,891,1
76,0.497673,60,-1
77,0.514125,60,-1
78,0.517943,491,1
79,0.519661,1514,1
80,0.519718,631,1
81,0.523154,491,1
82,0.523572,491,1
83,0.524289,491,1
84,0.524906,491,1
85,0.534746,60,-1
86,0.536412,60,-1
87,0.536416,60,-1
88,0.539759,60,-1
89,0.540175,60,-1
90,0.540853,60,-1
91,0.541879,60,-1
92,0.546675,1514,1
93,0.548162,1514,1
94,0.549907,1514,1
95,0.549968,481,1
96,0.552958,491,1
97,0.564921,60,-1
98,0.567122,60,-1
99,0.567277,99,-1
100,0.569068,54,1
101,0.577142,1514,1
102,0.5785,1068,1
103,0.593896,60,-1
104,0.59663,54,1
105,0.630082,491,1
106,0.634126,217,-1
107,0.663747,491,1
108,0.680282,60,-1
109,0.734363,491,1
110,0.782801,491,1
111,0.798546,60,-1
112,0.799275,60,-1
113,0.825778,491,1
114,0.842324,60,-1
115,0.87605,491,1
116,0.892663,60,-1
117,0.942799,491,1
118,0.959359,60,-1
119,0.975102,491,1
120,0.991682,60,-1
121,1.038303,491,1
122,1.038456,54,1
123,1.05497,60,-1
124,1.062972,491,1
125,1.079599,60,-1
126,1.131938,491,1
127,1.148622,60,-1
128,1.180131,491,1
129,1.19674,60,-1
130,1.238139,491,1
131,1.254769,60,-1
132,1.273978,491,1
133,1.290692,60,-1
134,1.348067,491,1
135,1.364708,60,-1
136,1.367571,491,1
137,1.384134,60,-1
138,1.431804,491,1
139,1.44834,60,-1
140,1.462851,491,1
141,1.479469,60,-1
142,1.536937,491,1
143,1.553637,60,-1
144,1.58118,491,1
145,1.5978,60,-1
146,1.675585,491,1
147,1.692157,60,-1
148,1.719605,491,1
149,1.736166,60,-1
150,1.747617,491,1
151,1.764145,60,-1
152,1.790125,491,1
153,1.80664,60,-1
154,1.859205,491,1
155,1.862732,491,1
156,1.875881,60,-1
157,1.87931,60,-1
158,1.91853,54,1
159,1.962547,491,1
160,1.97908,60,-1
161,1.997196,491,1
162,2.013721,60,-1
163,2.029108,491,1
164,2.045809,60,-1
165,2.078317,491,1
166,2.094954,60,-1
167,2.146013,491,1
168,2.162616,60,-1
169,2.177299,491,1
170,2.193949,60,-1
171,2.243017,491,1
172,2.259588,60,-1
173,2.311119,491,1
174,2.324691,491,1
175,2.327805,60,-1
176,2.341371,60,-1
177,2.376984,491,1
178,2.393557,60,-1
179,2.423028,491,1
180,2.439672,60,-1
181,2.471947,491,1
182,2.488467,60,-1
183,2.553154,491,1
184,2.569793,60,-1
185,2.570011,491,1
186,2.586647,60,-1
187,2.596891,151,-1
188,2.637904,491,1
189,2.668258,491,1
190,2.68497,60,-1
191,2.745066,491,1
192,2.780654,491,1
193,2.797136,60,-1
194,2.822723,491,1
195,2.874586,491,1
196,2.88858,60,-1
197,2.89798,99,-1
198,2.935295,173,-1
199,2.941131,54,1
200,2.942505,491,1
201,2.950528,54,1
202,2.980729,491,1
203,2.997258,60,-1
204,3.030381,491,1
205,3.073018,491,1
206,3.088617,60,-1
207,3.08976,60,-1
208,3.130884,491,1
209,3.147475,60,-1
210,3.179832,491,1
211,3.20031,60,-1
212,3.222475,491,1
213,3.238995,60,-1
214,3.277769,491,1
215,3.294333,60,-1
216,3.342949,491,1
217,3.359513,60,-1
218,3.366954,491,1
219,3.383482,60,-1
220,3.418904,213,-1
221,3.419339,1514,-1
222,3.419436,1514,-1
223,3.419629,1100,-1
224,3.424611,1514,-1
225,3.424722,1514,-1
226,3.424958,1267,-1
227,3.424968,206,-1
228,3.425484,54,1
229,3.42668,54,1
230,3.4335,1514,-1
231,3.433719,1514,-1
232,3.435015,54,1
233,3.436172,54,1
234,3.442108,1514,-1
235,3.442193,1514,-1
236,3.442363,610,-1
237,3.448181,491,1
238,3.448465,54,1
239,3.462435,491,1
240,3.464812,60,-1
241,3.478981,60,-1
242,3.537099,91,1
243,3.537225,91,1
244,3.553608,60,-1
245,3.55361,60,-1
246,3.584222,304,1
247,3.600842,60,-1
248,3.6825,54,1
249,3.868948,160,-1
250,3.888981,151,-1
251,3.905232,54,1
