Serial number,time,size,direction
1,0.0,284,1
2,0.016187,60,-1
3,0.030759,978,1
4,0.033547,491,1
5,0.040944,891,1
6,0.041693,491,1
7,0.043855,491,1
8,0.046196,491,1
9,0.047105,60,-1
10,0.049737,60,-1
11,0.057174,60,-1
12,0.05796,60,-1
13,0.060297,60,-1
14,0.062413,60,-1
15,0.062619,491,1
16,0.076375,491,1
17,0.076816,1514,1
18,0.078205,631,1
19,0.078853,60,-1
20,0.091534,491,1
21,0.091957,1514,1
22,0.092559,60,-1
23,0.09308,631,1
24,0.09316,60,-1
25,0.093633,491,1
26,0.094404,60,-1
27,0.106141,491,1
28,0.107386,491,1
29,0.107743,60,-1
30,0.10827,60,-1
31,0.108911,491,1
32,0.109268,60,-1
33,0.109847,60,-1
34,0.117172,491,1
35,0.119777,491,1
36,0.121578,491,1
37,0.121607,491,1
38,0.121789,491,1
39,0.122256,491,1
40,0.122356,60,-1
41,0.123619,60,-1
42,0.123727,491,1
43,0.124643,491,1
44,0.125132,60,-1
45,0.126151,491,1
46,0.129545,491,1
47,0.133494,60,-1
48,0.135803,928,1
49,0.135998,60,-1
50,0.137787,60,-1
51,0.137789,60,-1
52,0.137989,60,-1
53,0.138466,60,-1
54,0.139977,60,-1
55,0.140833,60,-1
56,0.142387,60,-1
57,0.145822,60,-1
58,0.152105,60,-1
59,0.153447,491,1
60,0.169676,60,-1
61,0.185626,212,-1
62,0.187163,491,1
63,0.187313,54,1
64,0.250591,491,1
65,0.257643,60,-1
66,0.266823,60,-1
67,0.282742,491,1
68,0.298944,60,-1
69,0.298947,99,-1
70,0.300596,54,1
71,0.347579,491,1
72,0.403905,491,1
73,0.407626,60,-1
74,0.420111,60,-1
75,0.438456,491,1
76,0.454657,60,-1
77,0.501129,491,1
78,0.517586,60,-1
79,0.556579,491,1
80,0.572895,60,-1
81,0.580935,491,1
82,0.597271,60,-1
83,0.646956,491,1
84,0.663317,60,-1
85,0.677746,491,1
86,0.695092,60,-1
87,0.747995,491,1
88,0.764324,60,-1
89,0.795952,491,1
90,0.816434,60,-1
91,0.840571,491,1
92,0.856821,60,-1
93,0.886271,491,1
94,0.902443,60,-1
95,0.951649,491,1
96,0.967869,60,-1
97,0.981348,491,1
98,0.997548,60,-1
99,1.051701,491,1
100,1.068035,60,-1
101,1.10093,491,1
102,1.117214,60,-1
103,1.142759,491,1
104,1.159188,60,-1
105,1.1906,491,1
106,1.206842,60,-1
107,1.237035,491,1
108,1.253199,60,-1
109,1.284905,491,1
110,1.301053,60,-1
111,1.354556,491,1
112,1.370785,60,-1
113,1.386201,491,1
114,1.402601,60,-1
115,1.451113,491,1
116,1.467551,60,-1
117,1.4759,491,1
118,1.492197,60,-1
119,1.549139,491,1
120,1.565465,60,-1
121,1.587328,491,1
122,1.603653,60,-1
123,1.645314,491,1
124,1.6617,60,-1
125,1.689785,491,1
126,1.706103,60,-1
127,1.755155,491,1
128,1.77145,60,-1
129,1.80082,491,1
130,1.817105,60,-1
131,1.846674,491,1
132,1.862905,60,-1
133,1.882408,491,1
134,1.89868,60,-1
135,1.946263,491,1
136,1.9625,60,-1
137,1.992646,491,1
138,2.00884,60,-1
139,2.042944,491,1
140,2.059143,60,-1
141,2.089273,491,1
142,2.105526,60,-1
143,2.20914,491,1
144,2.209359,491,1
145,2.219959,491,1
146,2.225507,60,-1
147,2.225673,60,-1
148,2.235675,60,-1
149,2.317357,491,1
150,2.333691,60,-1
151,2.346634,491,1
152,2.34806,491,1
153,2.348108,491,1
154,2.362989,60,-1
155,2.363809,60,-1
156,2.364371,60,-1
157,2.369816,151,-1
158,2.371436,54,1
159,2.405138,491,1
160,2.461096,491,1
161,2.467774,60,-1
162,2.477508,60,-1
163,2.477513,99,-1
164,2.501099,491,1
165,2.54344,54,1
166,2.556453,491,1
167,2.567738,60,-1
168,2.572749,60,-1
169,2.594208,491,1
170,2.610639,60,-1
171,2.657097,491,1
172,2.673457,60,-1
173,2.680789,491,1
174,2.697165,60,-1
175,2.730157,174,-1
176,2.747506,491,1
177,2.76383,60,-1
178,2.809574,491,1
179,2.809751,54,1
180,2.82589,60,-1
181,2.841455,491,1
182,2.85776,60,-1
183,2.893849,491,1
184,2.910145,60,-1
185,2.958366,491,1
186,2.97471,60,-1
187,2.980546,491,1
188,2.996855,60,-1
189,3.051372,491,1
190,3.067711,60,-1
191,3.076224,491,1
192,3.089375,225,-1
193,3.089767,1514,-1
194,3.089845,1514,-1
195,3.089846,280,-1
196,3.091337,54,1
197,3.094747,54,1
198,3.094951,54,1
199,3.095029,54,1
200,3.132092,1514,-1
201,3.132271,1514,-1
202,3.132272,1267,-1
203,3.132385,1514,-1
204,3.132462,1514,-1
205,3.132463,328,-1
206,3.132607,1030,-1
207,3.132743,1514,-1
208,3.132844,1514,-1
209,3.13306,1267,-1
210,3.136424,99,1
211,3.137233,54,1
212,3.138271,54,1
213,3.138457,54,1
214,3.139457,54,1
215,3.139637,54,1
216,3.140186,54,1
217,3.14049,54,1
218,3.142781,54,1
219,3.142914,54,1
220,3.145115,54,1
221,3.148587,491,1
222,3.153612,1514,-1
223,3.153812,1514,-1
224,3.154615,1514,-1
225,3.154719,1514,-1
226,3.154856,1514,-1
227,3.155045,1514,-1
228,3.155754,1514,-1
229,3.155863,1514,-1
230,3.155986,1514,-1
231,3.156176,1514,-1
232,3.156596,1514,-1
233,3.156799,1514,-1
234,3.156928,1514,-1
235,3.157122,1514,-1
236,3.15908,1514,-1
237,3.159082,104,-1
238,3.160312,54,1
239,3.160501,54,1
240,3.16058,54,1
241,3.160652,54,1
242,3.163123,54,1
243,3.166425,54,1
244,3.168434,54,1
245,3.168561,54,1
246,3.169137,99,1
247,3.169313,99,1
248,3.185345,60,-1
249,3.197404,1514,-1
250,3.197558,1514,-1
251,3.197587,1267,-1
252,3.197703,1514,-1
253,3.197788,1514,-1
254,3.197791,241,-1
255,3.197792,176,-1
256,3.19802,1514,-1
257,3.198122,1514,-1
258,3.19826,1267,-1
259,3.19837,1514,-1
260,3.198426,1514,-1
261,3.19846,334,-1
262,3.198511,939,-1
263,3.198596,564,-1
264,3.198788,1160,-1
265,3.20918,54,1
266,3.210011,491,1
267,3.210145,54,1
268,3.21049,54,1
269,3.212811,54,1
270,3.21586,54,1
271,3.216003,54,1
272,3.217499,54,1
273,3.217803,54,1
274,3.222123,1514,-1
275,3.22226,1514,-1
276,3.222368,1267,-1
277,3.226607,54,1
278,3.228615,1514,-1
279,3.228709,1185,-1
280,3.228793,692,-1
281,3.229032,1514,-1
282,3.229135,1514,-1
283,3.229258,1267,-1
284,3.229379,1514,-1
285,3.229437,1514,-1
286,3.229528,334,-1
287,3.229529,423,-1
288,3.229614,1080,-1
289,3.229806,1160,-1
290,3.230724,54,1
291,3.23284,1514,-1
292,3.232967,1514,-1
293,3.233089,1267,-1
294,3.233832,1514,-1
295,3.233952,1514,-1
296,3.234071,1514,-1
297,3.234209,1514,-1
298,3.234395,1514,-1
299,3.23484,54,1
300,3.234923,54,1
301,3.235003,54,1
302,3.235149,54,1
303,3.235277,99,1
304,3.237988,54,1
305,3.238164,99,1
306,3.240703,54,1
307,3.240845,54,1
308,3.240995,54,1
309,3.242588,54,1
310,3.243049,1514,-1
311,3.243248,1514,-1
312,3.243646,491,1
313,3.245166,54,1
314,3.247012,1514,-1
315,3.247151,660,-1
316,3.249686,54,1
317,3.254348,60,-1
318,3.292893,54,1
319,3.293156,491,1
320,3.307876,60,-1
321,3.309971,60,-1
322,3.347657,91,1
323,3.347802,91,1
324,3.363832,60,-1
325,3.36396,60,-1
326,3.386542,314,1
327,3.402886,60,-1
328,3.613245,161,-1
329,3.617866,54,1
330,3.676929,153,-1
331,3.678624,54,1
332,4.160242,107,-1
333,4.20298,54,1
