Serial number,time,size,direction
1,0.0,1514,1
2,0.000189,208,1
3,0.01111,262,1
4,0.016963,60,-1
5,0.016967,60,-1
6,0.020003,1514,1
7,0.02038,631,1
8,0.020748,491,1
9,0.027923,60,-1
10,0.028728,491,1
11,0.036949,60,-1
12,0.0372,60,-1
13,0.037551,60,-1
14,0.045541,60,-1
15,0.076153,491,1
16,0.077324,491,1
17,0.09128,1514,1
18,0.092756,231,1
19,0.092784,491,1
20,0.092971,60,-1
21,0.093146,99,-1
22,0.094892,54,1
23,0.106564,491,1
24,0.106989,891,1
25,0.108275,60,-1
26,0.109708,60,-1
27,0.11174,491,1
28,0.112198,491,1
29,0.113086,491,1
30,0.113668,491,1
31,0.114554,491,1
32,0.115126,491,1
33,0.123927,60,-1
34,0.124585,891,1
35,0.125414,491,1
36,0.125901,491,1
37,0.129081,60,-1
38,0.130597,60,-1
39,0.131903,928,1
40,0.131999,60,-1
41,0.132989,491,1
42,0.133571,491,1
43,0.134405,491,1
44,0.134978,491,1
45,0.13587,491,1
46,0.136025,218,-1
47,0.142286,60,-1
48,0.143746,928,1
49,0.14883,60,-1
50,0.15041,60,-1
51,0.151811,60,-1
52,0.152772,491,1
53,0.160734,60,-1
54,0.213645,60,-1
55,0.217112,491,1
56,0.233941,60,-1
57,0.263299,491,1
58,0.280178,60,-1
59,0.31202,491,1
60,0.328881,60,-1
61,0.364476,491,1
62,0.38136,60,-1
63,0.427398,491,1
64,0.4443,60,-1
65,0.459721,491,1
66,0.476596,60,-1
67,0.532722,491,1
68,0.549608,60,-1
69,0.552135,491,1
70,0.569121,60,-1
71,0.646553,491,1
72,0.662761,491,1
73,0.66346,60,-1
74,0.679692,60,-1
75,0.715885,491,1
76,0.732746,60,-1
77,0.760099,491,1
78,0.776969,60,-1
79,0.823587,491,1
80,0.840412,60,-1
81,0.85894,491,1
82,0.876018,60,-1
83,0.923471,491,1
84,0.940295,60,-1
85,0.954235,491,1
86,0.971132,60,-1
87,1.021986,491,1
88,1.038891,60,-1
89,1.069379,491,1
90,1.086258,60,-1
91,1.110603,491,1
92,1.127533,60,-1
93,1.166802,491,1
94,1.183757,60,-1
95,1.227363,491,1
96,1.244223,60,-1
97,1.25798,491,1
98,1.27483,60,-1
99,1.34429,491,1
100,1.352879,491,1
101,1.361126,60,-1
102,1.369693,60,-1
103,1.426841,491,1
104,1.443708,60,-1
105,1.467077,491,1
106,1.483915,60,-1
107,1.515355,491,1
108,1.53221,60,-1
109,1.564846,491,1
110,1.581723,60,-1
111,1.630377,491,1
112,1.647352,60,-1
113,1.65677,491,1
114,1.674418,60,-1
115,1.71401,150,-1
116,1.728825,491,1
117,1.75752,491,1
118,1.774376,60,-1
119,1.817651,491,1
120,1.869017,491,1
121,1.88362,60,-1
122,1.885849,60,-1
123,1.9138,491,1
124,1.930627,60,-1
125,1.93157,172,-1
126,1.966201,54,1
127,1.976577,491,1
128,2.033645,60,-1
129,2.04823,491,1
130,2.060297,491,1
131,2.065085,60,-1
132,2.07717,60,-1
133,2.154105,491,1
134,2.154301,491,1
135,2.171002,60,-1
136,2.171185,60,-1
137,2.224697,491,1
138,2.241578,60,-1
139,2.268109,491,1
140,2.284969,60,-1
141,2.316472,491,1
142,2.32314,207,-1
143,2.32356,1514,-1
144,2.323639,1514,-1
145,2.323641,226,-1
146,2.330958,1514,-1
147,2.331066,1514,-1
148,2.331148,1267,-1
149,2.331325,979,-1
150,2.33646,54,1
151,2.337996,54,1
152,2.338076,54,1
153,2.33888,54,1
154,2.339166,54,1
155,2.340111,54,1
156,2.340281,54,1
157,2.34098,54,1
158,2.35007,99,1
159,2.353426,1514,-1
160,2.354933,1514,-1
161,2.355822,1514,-1
162,2.356016,1514,-1
163,2.356562,54,1
164,2.357026,1514,-1
165,2.357219,1514,-1
166,2.357827,1514,-1
167,2.357964,54,1
168,2.358014,766,-1
169,2.359378,54,1
170,2.360396,54,1
171,2.39624,491,1
172,2.413088,60,-1
173,2.427781,491,1
174,2.444758,99,-1
175,2.458811,491,1
176,2.473499,91,1
177,2.473753,91,1
178,2.490294,60,-1
179,2.496475,420,1
180,2.513334,60,-1
181,2.725787,160,-1
182,2.76675,154,-1
183,2.771937,54,1
