Serial number,time,size,direction
1,0.0,286,1
2,0.01664,60,-1
3,0.038422,943,1
4,0.055221,60,-1
5,0.055826,1291,1
6,0.058282,491,1
7,0.063821,491,1
8,0.06702,491,1
9,0.072611,60,-1
10,0.074291,1514,1
11,0.074707,631,1
12,0.074831,60,-1
13,0.078067,491,1
14,0.080477,60,-1
15,0.084183,60,-1
16,0.08847,491,1
17,0.088863,491,1
18,0.091836,60,-1
19,0.092201,60,-1
20,0.095411,60,-1
21,0.10504,60,-1
22,0.105411,60,-1
23,0.127799,491,1
24,0.128567,1514,1
25,0.129127,1514,1
26,0.129158,1514,1
27,0.131002,1514,1
28,0.131034,1514,1
29,0.131059,1514,1
30,0.13111,471,1
31,0.145132,60,-1
32,0.146073,60,-1
33,0.146726,60,-1
34,0.146889,60,-1
35,0.148488,60,-1
36,0.148673,60,-1
37,0.151204,491,1
38,0.153924,219,-1
39,0.171247,54,1
40,0.200446,491,1
41,0.216301,60,-1
42,0.21716,60,-1
43,0.24005,491,1
44,0.256848,60,-1
45,0.302643,491,1
46,0.319416,60,-1
47,0.330865,491,1
48,0.392854,491,1
49,0.409886,60,-1
50,0.439106,491,1
51,0.456601,60,-1
52,0.48792,491,1
53,0.505296,60,-1
54,0.537425,491,1
55,0.554224,60,-1
56,0.60323,491,1
57,0.620347,60,-1
58,0.634749,491,1
59,0.651315,60,-1
60,0.701021,491,1
61,0.717623,60,-1
62,0.726231,491,1
63,0.742788,60,-1
64,0.791608,491,1
65,0.809471,60,-1
66,0.838152,491,1
67,0.854925,60,-1
68,0.885655,491,1
69,0.902374,60,-1
70,0.937213,491,1
71,0.953933,60,-1
72,1.003266,491,1
73,1.020336,60,-1
74,1.032449,491,1
75,1.049145,60,-1
76,1.098488,491,1
77,1.11556,60,-1
78,1.130515,491,1
79,1.14733,60,-1
80,1.196702,491,1
81,1.213397,60,-1
82,1.27313,491,1
83,1.290014,60,-1
84,1.291153,491,1
85,1.307807,60,-1
86,1.333157,491,1
87,1.350034,60,-1
88,1.405904,491,1
89,1.422755,60,-1
90,1.430729,491,1
91,1.447845,60,-1
92,1.49694,491,1
93,1.513592,60,-1
94,1.528674,491,1
95,1.54534,60,-1
96,1.591589,491,1
97,1.60823,60,-1
98,1.608376,99,-1
99,1.640285,491,1
100,1.689208,491,1
101,1.706165,60,-1
102,1.737643,491,1
103,1.803329,491,1
104,1.806364,60,-1
105,1.81998,60,-1
106,1.835487,491,1
107,1.85223,60,-1
108,1.901411,491,1
109,1.918178,60,-1
110,1.927281,491,1
111,1.944649,60,-1
112,1.995629,491,1
113,2.012381,60,-1
114,2.125827,491,1
115,2.125989,491,1
116,2.140117,491,1
117,2.142843,60,-1
118,2.156665,60,-1
119,2.250927,491,1
120,2.251621,491,1
121,2.267607,60,-1
122,2.268221,60,-1
123,2.313066,491,1
124,2.32965,60,-1
125,2.364089,491,1
126,2.381215,60,-1
127,2.418278,491,1
128,2.435247,60,-1
129,2.435415,99,-1
130,2.458598,491,1
131,2.516318,60,-1
132,2.522402,491,1
133,2.539471,60,-1
134,2.560872,491,1
135,2.577811,60,-1
136,2.700086,491,1
137,2.700728,491,1
138,2.705401,491,1
139,2.716972,60,-1
140,2.717456,60,-1
141,2.721982,60,-1
142,2.72702,491,1
143,2.743644,60,-1
144,2.797721,491,1
145,2.814373,60,-1
146,2.842755,491,1
147,2.859768,60,-1
148,2.892996,491,1
149,2.909825,60,-1
150,2.937787,491,1
151,2.954451,60,-1
152,3.011415,491,1
153,3.028443,60,-1
154,3.030431,491,1
155,3.047106,60,-1
156,3.102433,491,1
157,3.119074,60,-1
158,3.125434,491,1
159,3.142496,60,-1
160,3.169544,151,-1
161,3.199692,491,1
162,3.241117,54,1
163,3.245443,491,1
164,3.262048,60,-1
165,3.304819,491,1
166,3.342809,491,1
167,3.359813,60,-1
168,3.402976,491,1
169,3.433018,491,1
170,3.449944,60,-1
171,3.483669,176,-1
172,3.499892,491,1
173,3.500197,54,1
174,3.563026,491,1
175,3.576389,60,-1
176,3.579814,60,-1
177,3.608796,491,1
178,3.625574,60,-1
179,3.643758,491,1
180,3.660472,60,-1
181,3.700036,491,1
182,3.717129,60,-1
183,3.734437,491,1
184,3.751401,60,-1
185,3.806345,212,-1
186,3.806685,491,1
187,3.80693,1514,-1
188,3.80701,1514,-1
189,3.807011,195,-1
190,3.813574,1514,-1
191,3.813769,1514,-1
192,3.821205,54,1
193,3.821292,54,1
194,3.821469,54,1
195,3.821627,54,1
196,3.821703,54,1
197,3.82178,54,1
198,3.823558,60,-1
199,3.837945,1425,-1
200,3.83966,54,1
201,3.911757,1514,-1
202,3.91186,1514,-1
203,3.911982,1267,-1
204,3.912109,1514,-1
205,3.912122,491,1
206,3.912215,1514,-1
207,3.912218,328,-1
208,3.912284,491,1
209,3.915147,54,1
210,3.915493,54,1
211,3.91557,54,1
212,3.918931,54,1
213,3.91927,54,1
214,3.919345,54,1
215,3.928898,60,-1
216,3.931856,1514,-1
217,3.932306,1514,-1
218,3.932505,1514,-1
219,3.933503,54,1
220,3.935997,1514,-1
221,3.936125,1514,-1
222,3.936328,1514,-1
223,3.93749,491,1
224,3.940233,54,1
225,3.942182,54,1
226,3.950279,1120,-1
227,3.95711,1514,-1
228,3.957417,1514,-1
229,3.957608,1514,-1
230,3.959317,1514,-1
231,3.959513,1514,-1
232,4.005731,491,1
233,4.005957,54,1
234,4.006088,54,1
235,4.009812,54,1
236,4.022701,1514,-1
237,4.022805,1514,-1
238,4.022898,1514,-1
239,4.023121,1514,-1
240,4.026627,1514,-1
241,4.026821,1514,-1
242,4.078878,99,1
243,4.079099,491,1
244,4.079118,91,1
245,4.079207,91,1
246,4.079291,54,1
247,4.079373,99,1
248,4.079459,54,1
249,4.095701,1514,-1
250,4.095848,1514,-1
251,4.09595,1514,-1
252,4.096066,1514,-1
253,4.09619,1514,-1
254,4.096311,1514,-1
255,4.096439,1514,-1
256,4.096632,1514,-1
257,4.129092,302,1
258,4.19641,60,-1
259,4.203516,302,1
260,4.219403,60,-1
261,4.266325,143,-1
262,4.448749,903,1
263,4.465149,60,-1
264,4.536632,1514,-1
265,4.924977,903,1
266,4.94113,60,-1
267,5.076603,1514,-1
268,5.166465,66,1
269,5.183251,1514,-1
270,5.246043,66,1
271,5.263593,1514,-1
