Serial number,time,size,direction
1,0.0,283,1
2,0.017424,60,-1
3,0.061493,1514,1
4,0.061795,343,1
5,0.079042,60,-1
6,0.079202,60,-1
7,0.163125,1514,1
8,0.163472,631,1
9,0.165662,491,1
10,0.166341,491,1
11,0.167173,491,1
12,0.16932,491,1
13,0.181006,60,-1
14,0.181212,60,-1
15,0.181214,214,-1
16,0.183104,54,1
17,0.18391,60,-1
18,0.187019,60,-1
19,0.211995,891,1
20,0.213527,491,1
21,0.213556,491,1
22,0.218497,1514,1
23,0.220338,231,1
24,0.220365,1291,1
25,0.227775,491,1
26,0.229134,491,1
27,0.230963,60,-1
28,0.233669,1514,1
29,0.235217,1514,1
30,0.236126,60,-1
31,0.237628,1514,1
32,0.237969,60,-1
33,0.238508,1514,1
34,0.239819,1514,1
35,0.241123,183,1
36,0.247016,60,-1
37,0.25285,60,-1
38,0.256384,60,-1
39,0.258831,60,-1
40,0.278818,1514,1
41,0.280129,231,1
42,0.294063,491,1
43,0.298279,60,-1
44,0.34652,491,1
45,0.360323,60,-1
46,0.364161,60,-1
47,0.394703,491,1
48,0.412259,60,-1
49,0.418067,491,1
50,0.435608,60,-1
51,0.493329,491,1
52,0.511364,60,-1
53,0.527596,491,1
54,0.545142,60,-1
55,0.582047,491,1
56,0.599545,60,-1
57,0.625661,491,1
58,0.643081,60,-1
59,0.694946,491,1
60,0.712396,60,-1
61,0.725933,491,1
62,0.743495,60,-1
63,0.790381,491,1
64,0.807889,60,-1
65,0.820278,491,1
66,0.837765,60,-1
67,0.885766,491,1
68,0.903223,60,-1
69,0.931737,491,1
70,0.949222,60,-1
71,0.968527,77,1
72,0.979768,491,1
73,0.985874,77,-1
74,0.997394,60,-1
75,1.005426,66,1
76,1.026871,491,1
77,1.044687,60,-1
78,1.092649,491,1
79,1.110201,60,-1
80,1.122737,491,1
81,1.140336,60,-1
82,1.186984,491,1
83,1.204564,60,-1
84,1.218887,491,1
85,1.236382,60,-1
86,1.254494,406,1
87,1.272163,60,-1
88,1.288744,491,1
89,1.306194,60,-1
90,1.337918,491,1
91,1.355385,60,-1
92,1.38601,491,1
93,1.403497,60,-1
94,1.520442,491,1
95,1.520626,491,1
96,1.530161,491,1
97,1.538031,60,-1
98,1.538034,60,-1
99,1.547703,60,-1
100,1.626837,491,1
101,1.644273,60,-1
102,1.661229,491,1
103,1.678706,60,-1
104,1.683625,491,1
105,1.701035,60,-1
106,1.736915,491,1
107,1.754354,60,-1
108,1.800014,491,1
109,1.81748,60,-1
110,1.830578,491,1
111,1.848001,60,-1
112,1.908562,491,1
113,1.926166,60,-1
114,1.926167,99,-1
115,1.931759,491,1
116,1.990843,60,-1
117,1.992809,491,1
118,2.010397,60,-1
119,2.052485,491,1
120,2.070023,60,-1
121,2.123883,491,1
122,2.129548,491,1
123,2.141339,60,-1
124,2.147107,60,-1
125,2.172982,151,-1
126,2.181767,491,1
127,2.199286,99,-1
128,2.228653,491,1
