Serial number,time,size,direction
1,0.0,1078,1
2,0.000551,635,1
3,0.002068,491,1
4,0.0021,1078,1
5,0.016651,60,-1
6,0.017071,60,-1
7,0.018454,1078,1
8,0.018581,60,-1
9,0.018583,60,-1
10,0.019251,1078,1
11,0.019284,1078,1
12,0.020642,1078,1
13,0.022225,753,1
14,0.023673,491,1
15,0.024526,491,1
16,0.027774,491,1
17,0.035122,60,-1
18,0.035866,60,-1
19,0.035868,60,-1
20,0.037201,60,-1
21,0.038775,60,-1
22,0.038879,491,1
23,0.040127,60,-1
24,0.040491,491,1
25,0.041158,60,-1
26,0.041427,491,1
27,0.044764,60,-1
28,0.055402,60,-1
29,0.057005,60,-1
30,0.057964,60,-1
31,0.058277,1078,1
32,0.059308,1067,1
33,0.059338,491,1
34,0.05989,1078,1
35,0.060283,1078,1
36,0.062101,1078,1
37,0.062131,915,1
38,0.062154,491,1
39,0.074823,60,-1
40,0.075936,60,-1
41,0.075938,60,-1
42,0.076382,1078,1
43,0.076908,60,-1
44,0.077341,1078,1
45,0.078413,1078,1
46,0.078442,256,1
47,0.078789,60,-1
48,0.078791,60,-1
49,0.093933,60,-1
50,0.095001,60,-1
51,0.117644,491,1
52,0.129261,216,-1
53,0.14384,54,1
54,0.149259,491,1
55,0.16582,60,-1
56,0.231557,491,1
57,0.248202,99,-1
58,0.261537,491,1
59,0.312429,491,1
60,0.3199,60,-1
61,0.328994,60,-1
62,0.354738,491,1
63,0.37138,60,-1
64,0.421403,491,1
65,0.438047,60,-1
66,0.458927,491,1
67,0.475536,60,-1
68,0.521158,491,1
69,0.542543,60,-1
70,0.547294,491,1
71,0.563832,60,-1
72,0.62115,491,1
73,0.637721,60,-1
74,0.665056,491,1
75,0.681542,60,-1
76,0.709833,491,1
77,0.726817,60,-1
78,0.764274,491,1
79,0.780852,60,-1
80,0.825154,491,1
81,0.841693,60,-1
82,0.858121,491,1
83,0.87466,60,-1
84,0.931036,491,1
85,0.94765,60,-1
86,0.954237,491,1
87,0.970876,60,-1
88,1.021368,491,1
89,1.038003,60,-1
90,1.062235,491,1
91,1.078752,60,-1
92,1.109546,491,1
93,1.126171,60,-1
94,1.157864,491,1
95,1.174509,60,-1
96,1.221565,491,1
97,1.238084,60,-1
98,1.257929,491,1
99,1.274464,60,-1
100,1.318581,491,1
101,1.335212,60,-1
102,1.349265,491,1
103,1.365859,60,-1
104,1.42152,491,1
105,1.438257,60,-1
106,1.460294,491,1
107,1.478814,60,-1
108,1.510197,491,1
109,1.526839,60,-1
110,1.556815,491,1
111,1.573821,60,-1
112,1.631737,491,1
113,1.648379,60,-1
114,1.663695,491,1
115,1.680325,60,-1
116,1.716633,491,1
117,1.73311,60,-1
118,1.746975,491,1
119,1.763978,60,-1
120,1.821732,491,1
121,1.838241,60,-1
122,1.861355,491,1
123,1.87788,60,-1
124,1.909613,491,1
125,1.92666,60,-1
126,1.957402,491,1
127,1.974067,60,-1
128,1.974069,99,-1
129,2.022133,491,1
130,2.059303,491,1
131,2.075953,60,-1
132,2.120646,491,1
133,2.145018,491,1
134,2.161509,60,-1
135,2.221585,491,1
136,2.265365,491,1
137,2.281994,60,-1
138,2.328908,491,1
139,2.35812,491,1
140,2.374662,60,-1
141,2.422676,491,1
142,2.457952,491,1
143,2.474502,60,-1
144,2.518152,491,1
145,2.55035,491,1
146,2.567,60,-1
147,2.62207,491,1
148,2.657785,491,1
149,2.674227,60,-1
150,2.703358,151,-1
151,2.709625,491,1
152,2.764163,491,1
153,2.779918,60,-1
154,2.78063,60,-1
155,2.792009,170,-1
156,2.826755,491,1
157,2.857855,491,1
158,2.874327,60,-1
159,2.923078,491,1
160,2.956182,491,1
161,2.972674,60,-1
162,3.031263,491,1
163,3.059747,491,1
164,3.07638,60,-1
165,3.107204,491,1
166,3.160132,491,1
167,3.169967,60,-1
168,3.176615,60,-1
169,3.196417,227,-1
170,3.196877,1514,-1
171,3.19697,1514,-1
172,3.196974,158,-1
173,3.200115,54,1
174,3.200278,54,1
175,3.202594,1514,-1
176,3.202704,1514,-1
177,3.202769,1267,-1
178,3.202785,391,-1
179,3.205163,54,1
180,3.206941,54,1
181,3.22118,491,1
182,3.241126,1514,-1
183,3.241232,1514,-1
184,3.241347,1267,-1
185,3.241499,1514,-1
186,3.241565,1514,-1
187,3.241712,328,-1
188,3.241713,1030,-1
189,3.241841,1514,-1
190,3.241944,1514,-1
191,3.242135,1267,-1
192,3.244164,54,1
193,3.244241,54,1
194,3.245019,54,1
195,3.260813,1514,-1
196,3.260945,1514,-1
197,3.261065,1514,-1
198,3.261066,391,-1
199,3.264195,491,1
200,3.264357,54,1
201,3.264431,99,1
202,3.264719,1514,-1
203,3.264826,1514,-1
204,3.265016,1267,-1
205,3.266637,54,1
206,3.281037,1514,-1
207,3.28117,1514,-1
208,3.281358,1514,-1
209,3.283267,1514,-1
210,3.283466,1514,-1
211,3.307712,1514,-1
212,3.313416,491,1
213,3.344204,91,1
214,3.344338,91,1
215,3.346993,54,1
216,3.347266,54,1
217,3.347394,54,1
218,3.347522,54,1
219,3.360627,60,-1
220,3.363606,1514,-1
221,3.363773,1514,-1
222,3.363893,1514,-1
223,3.364008,1514,-1
224,3.364148,1514,-1
225,3.364265,1514,-1
226,3.364385,1514,-1
227,3.364597,1514,-1
228,3.38712,54,1
229,3.403817,1514,-1
230,3.404036,1514,-1
231,3.462077,420,1
232,3.513043,420,1
233,3.519938,60,-1
234,3.529051,60,-1
