Serial number,time,size,direction
1,0.0,77,1
2,0.01755,77,-1
3,0.019274,66,1
4,0.089346,783,1
5,0.090682,266,1
6,0.106347,60,-1
7,0.107574,60,-1
8,0.13614,1514,1
9,0.137777,1468,1
10,0.139697,491,1
11,0.141564,491,1
12,0.141604,491,1
13,0.141616,491,1
14,0.149235,891,1
15,0.150107,491,1
16,0.150122,491,1
17,0.153095,60,-1
18,0.154726,60,-1
19,0.156513,60,-1
20,0.157138,99,-1
21,0.158457,60,-1
22,0.161376,54,1
23,0.166161,60,-1
24,0.166939,60,-1
25,0.175747,1514,1
26,0.17609,1514,1
27,0.176313,808,1
28,0.186521,491,1
29,0.186985,1514,1
30,0.188562,1514,1
31,0.188579,371,1
32,0.193398,60,-1
33,0.206579,491,1
34,0.207012,60,-1
35,0.255502,491,1
36,0.270858,60,-1
37,0.272178,220,-1
38,0.272179,60,-1
39,0.312375,54,1
40,0.318629,491,1
41,0.335444,60,-1
42,0.355331,491,1
43,0.372113,60,-1
44,0.424447,491,1
45,0.441358,60,-1
46,0.444129,491,1
47,0.461017,60,-1
48,0.507793,491,1
49,0.52461,60,-1
50,0.558621,491,1
51,0.571947,149,-1
52,0.573355,54,1
53,0.575643,60,-1
54,0.606,491,1
55,0.633629,60,-1
56,0.675841,491,1
57,0.698489,60,-1
58,0.714276,491,1
59,0.731153,60,-1
60,0.747378,491,1
61,0.765896,60,-1
62,0.811302,491,1
63,0.828139,60,-1
64,0.842395,491,1
65,0.859205,60,-1
66,0.907316,491,1
67,0.924172,60,-1
68,0.959678,491,1
69,0.976539,60,-1
70,1.000539,491,1
71,1.017431,60,-1
72,1.057555,491,1
73,1.074682,60,-1
74,1.118358,491,1
75,1.135433,60,-1
76,1.149224,491,1
77,1.166111,60,-1
78,1.212945,491,1
79,1.229828,60,-1
80,1.246026,491,1
81,1.262939,60,-1
82,1.380213,491,1
83,1.380335,491,1
84,1.397075,60,-1
85,1.397077,60,-1
86,1.404756,491,1
87,1.421638,60,-1
88,1.469606,491,1
89,1.486408,60,-1
90,1.514457,491,1
91,1.531299,60,-1
92,1.546987,491,1
93,1.563816,60,-1
94,1.624929,491,1
95,1.645133,491,1
96,1.700706,60,-1
97,1.716312,491,1
98,1.778677,491,1
99,1.783928,60,-1
100,1.795591,60,-1
101,1.810706,491,1
102,1.827586,60,-1
103,1.859071,491,1
104,1.875918,60,-1
105,1.963126,491,1
106,1.963187,491,1
107,1.980081,60,-1
108,1.980086,60,-1
109,2.008929,491,1
110,2.025877,60,-1
111,2.043952,491,1
112,2.06085,60,-1
113,2.112779,491,1
114,2.129774,60,-1
115,2.157157,491,1
116,2.175509,60,-1
117,2.203343,491,1
118,2.220213,60,-1
119,2.250893,491,1
120,2.267804,60,-1
121,2.315425,491,1
122,2.332342,60,-1
123,2.346996,491,1
124,2.36383,60,-1
125,2.417493,491,1
126,2.434677,60,-1
127,2.460997,491,1
128,2.477965,60,-1
129,2.511133,491,1
130,2.528611,60,-1
131,2.559259,491,1
132,2.576078,60,-1
133,2.601278,491,1
134,2.618293,60,-1
135,2.618298,99,-1
136,2.651003,491,1
137,2.721223,491,1
138,2.730695,60,-1
139,2.738197,60,-1
140,2.772666,491,1
141,2.789503,60,-1
142,2.81267,491,1
143,2.829496,60,-1
144,2.845905,491,1
145,2.863071,60,-1
146,2.909119,491,1
147,2.926022,60,-1
148,2.953888,491,1
149,2.97082,60,-1
150,3.00147,491,1
151,3.018332,60,-1
152,3.018334,99,-1
153,3.049646,491,1
154,3.110786,60,-1
155,3.119112,491,1
156,3.13604,60,-1
157,3.147023,491,1
158,3.164038,60,-1
159,3.213106,491,1
160,3.230144,60,-1
161,3.244603,491,1
162,3.261568,60,-1
163,3.31003,491,1
164,3.326874,60,-1
165,3.355333,491,1
166,3.372159,60,-1
167,3.403713,491,1
168,3.420558,60,-1
169,3.458838,173,-1
170,3.472869,491,1
171,3.512932,54,1
172,3.519453,491,1
173,3.536479,60,-1
174,3.553092,491,1
175,3.616863,491,1
176,3.630678,60,-1
177,3.633738,60,-1
178,3.659729,491,1
179,3.676748,60,-1
180,3.719464,491,1
181,3.736446,60,-1
182,3.757027,491,1
183,3.764288,213,-1
184,3.764658,1514,-1
185,3.764743,1514,-1
186,3.764745,214,-1
187,3.769324,54,1
188,3.769475,54,1
189,3.769578,54,1
190,3.769667,54,1
191,3.802666,1514,-1
192,3.802756,1514,-1
193,3.802856,1267,-1
194,3.802994,1514,-1
195,3.803077,1514,-1
196,3.803079,328,-1
197,3.803212,1030,-1
198,3.803349,1514,-1
199,3.803447,1514,-1
200,3.803634,1267,-1
201,3.804868,54,1
202,3.805023,54,1
203,3.805163,54,1
204,3.808181,54,1
205,3.808576,491,1
206,3.808591,54,1
207,3.808726,54,1
208,3.809309,54,1
209,3.821981,1514,-1
210,3.822116,1514,-1
211,3.822227,1514,-1
212,3.822354,1514,-1
213,3.822479,1514,-1
214,3.822691,1514,-1
215,3.824173,54,1
216,3.825124,54,1
217,3.825164,1514,-1
218,3.825362,1514,-1
219,3.825549,1514,-1
220,3.825674,1514,-1
221,3.825796,1514,-1
222,3.825919,1514,-1
223,3.826042,1514,-1
224,3.826167,1514,-1
225,3.826293,1514,-1
226,3.82642,1514,-1
227,3.826612,1514,-1
228,3.826926,54,1
229,3.827597,54,1
230,3.835418,54,1
231,3.835502,54,1
232,3.835647,54,1
233,3.835788,54,1
234,3.840958,256,-1
235,3.846729,54,1
236,3.851945,491,1
237,3.852096,99,1
238,3.868849,60,-1
239,3.921175,91,1
240,3.922338,91,1
241,3.938654,350,1
242,3.939108,60,-1
243,4.000724,60,-1
244,4.239149,155,-1
245,4.279638,54,1
246,4.281893,153,-1
247,4.284826,54,1
