Serial number,time,size,direction
1,0.0,284,1
2,0.017627,60,-1
3,0.041901,1514,1
4,0.04326,345,1
5,0.049763,1514,1
6,0.051414,1514,1
7,0.051446,956,1
8,0.059518,60,-1
9,0.060786,60,-1
10,0.067407,60,-1
11,0.068937,491,1
12,0.069238,60,-1
13,0.06924,60,-1
14,0.070536,491,1
15,0.070904,491,1
16,0.07182,491,1
17,0.072383,491,1
18,0.08635,60,-1
19,0.088293,60,-1
20,0.088295,60,-1
21,0.089456,60,-1
22,0.09014,60,-1
23,0.115197,1514,1
24,0.124804,1431,1
25,0.125401,891,1
26,0.125431,491,1
27,0.125477,491,1
28,0.12554,491,1
29,0.125572,491,1
30,0.13288,60,-1
31,0.134431,1514,1
32,0.142365,60,-1
33,0.142976,60,-1
34,0.142978,60,-1
35,0.14298,60,-1
36,0.142982,60,-1
37,0.143169,60,-1
38,0.143982,1514,1
39,0.145701,1514,1
40,0.146863,1514,1
41,0.146898,1169,1
42,0.146919,491,1
43,0.155671,491,1
44,0.161739,60,-1
45,0.164637,60,-1
46,0.164639,99,-1
47,0.164789,60,-1
48,0.166094,54,1
49,0.170424,212,-1
50,0.171786,54,1
51,0.204761,491,1
52,0.214829,60,-1
53,0.222493,60,-1
54,0.251939,491,1
55,0.269399,60,-1
56,0.300819,491,1
57,0.319135,60,-1
58,0.367544,491,1
59,0.385017,60,-1
60,0.406138,491,1
61,0.423569,60,-1
62,0.465595,491,1
63,0.483142,60,-1
64,0.496721,491,1
65,0.514174,60,-1
66,0.558709,491,1
67,0.576364,60,-1
68,0.605674,491,1
69,0.623166,60,-1
70,0.650654,491,1
71,0.66819,60,-1
72,0.698379,491,1
73,0.71589,60,-1
74,0.765805,491,1
75,0.783703,60,-1
76,0.799294,491,1
77,0.816888,60,-1
78,0.863096,491,1
79,0.880625,60,-1
80,0.894817,491,1
81,0.91238,60,-1
82,1.040131,491,1
83,1.040346,491,1
84,1.0551,491,1
85,1.057563,60,-1
86,1.05775,60,-1
87,1.072621,60,-1
88,1.128591,491,1
89,1.146059,60,-1
90,1.170419,491,1
91,1.188958,60,-1
92,1.193263,491,1
93,1.210785,60,-1
94,1.270563,491,1
95,1.288916,60,-1
96,1.300016,491,1
97,1.317532,60,-1
98,1.362639,491,1
99,1.380254,60,-1
100,1.460624,491,1
101,1.47809,60,-1
102,1.493315,491,1
103,1.503369,491,1
104,1.511368,60,-1
105,1.520892,60,-1
106,1.620743,491,1
107,1.621214,491,1
108,1.638265,60,-1
109,1.638668,60,-1
110,1.658496,491,1
111,1.676023,60,-1
112,1.691668,491,1
113,1.709133,60,-1
114,1.76247,491,1
115,1.780606,60,-1
116,1.807069,491,1
117,1.824961,60,-1
118,1.853942,491,1
119,1.871471,60,-1
120,1.908853,491,1
121,1.926435,60,-1
122,1.973971,491,1
123,1.991482,60,-1
124,1.998687,491,1
125,2.011387,77,1
126,2.016187,60,-1
127,2.016189,99,-1
128,2.028651,77,-1
129,2.029931,66,1
130,2.05575,54,1
131,2.063333,491,1
132,2.092063,491,1
133,2.10949,60,-1
134,2.156477,491,1
135,2.207972,491,1
136,2.225948,60,-1
137,2.255411,491,1
138,2.306773,491,1
139,2.324331,60,-1
140,2.36959,491,1
141,2.39975,491,1
142,2.417233,60,-1
143,2.464724,491,1
144,2.495566,491,1
145,2.513188,60,-1
146,2.558695,491,1
147,2.604399,152,-1
148,2.607678,491,1
149,2.612744,54,1
150,2.654858,491,1
151,2.672491,60,-1
152,2.69786,491,1
153,2.767875,491,1
154,2.785352,60,-1
155,2.797185,491,1
156,2.858231,170,-1
157,2.87047,491,1
158,2.870692,54,1
159,2.901351,491,1
160,2.918892,60,-1
161,2.966983,491,1
162,3.006246,491,1
163,3.023891,60,-1
164,3.065576,491,1
165,3.109117,491,1
166,3.126535,60,-1
167,3.167965,491,1
168,3.197624,491,1
169,3.215881,60,-1
170,3.261309,491,1
171,3.292026,491,1
172,3.30949,60,-1
173,3.364327,491,1
174,3.385329,215,-1
175,3.385512,1514,-1
176,3.385673,708,-1
177,3.389928,54,1
178,3.399722,1514,-1
179,3.399827,1514,-1
180,3.399947,1267,-1
181,3.400093,1169,-1
182,3.415445,54,1
183,3.415721,54,1
184,3.427301,491,1
185,3.466405,491,1
186,3.483952,60,-1
187,3.497861,1514,-1
188,3.497866,1514,-1
189,3.497868,1267,-1
190,3.498445,1514,-1
191,3.498451,1514,-1
192,3.498457,328,-1
