Serial number,time,size,direction
1,0.0,287,1
2,0.016281,60,-1
3,0.033166,1514,1
4,0.033516,460,1
5,0.033548,491,1
6,0.036693,1514,1
7,0.03808,631,1
8,0.049809,60,-1
9,0.049811,60,-1
10,0.051566,1365,1
11,0.053032,60,-1
12,0.054369,60,-1
13,0.056914,491,1
14,0.058107,491,1
15,0.058893,491,1
16,0.067368,491,1
17,0.067887,60,-1
18,0.072295,491,1
19,0.073096,60,-1
20,0.074323,60,-1
21,0.075097,60,-1
22,0.079355,1514,1
23,0.080696,342,1
24,0.083576,60,-1
25,0.088534,60,-1
26,0.095763,60,-1
27,0.096894,60,-1
28,0.102725,491,1
29,0.103532,491,1
30,0.103561,1514,1
31,0.105555,779,1
32,0.118982,60,-1
33,0.119437,1514,1
34,0.119733,60,-1
35,0.119913,60,-1
36,0.120749,342,1
37,0.121842,60,-1
38,0.123628,491,1
39,0.126233,491,1
40,0.130169,491,1
41,0.136953,60,-1
42,0.139872,60,-1
43,0.141754,1514,1
44,0.142092,779,1
45,0.1425,60,-1
46,0.142536,491,1
47,0.144191,491,1
48,0.146405,60,-1
49,0.153478,220,-1
50,0.154814,54,1
51,0.158427,60,-1
52,0.160455,60,-1
53,0.189221,491,1
54,0.246151,491,1
55,0.250193,60,-1
56,0.262363,60,-1
57,0.285958,491,1
58,0.30218,60,-1
59,0.35887,491,1
60,0.375214,60,-1
61,0.384188,491,1
62,0.400436,60,-1
63,0.452903,491,1
64,0.469151,60,-1
65,0.477038,491,1
66,0.493309,60,-1
67,0.548441,491,1
68,0.56494,60,-1
69,0.592346,491,1
70,0.608624,60,-1
71,0.640424,491,1
72,0.656692,60,-1
73,0.686868,491,1
74,0.703096,60,-1
75,0.758776,491,1
76,0.774965,60,-1
77,0.78225,491,1
78,0.798484,60,-1
79,0.853776,491,1
80,0.870033,60,-1
81,0.879833,491,1
82,0.896054,60,-1
83,1.000977,491,1
84,1.00358,491,1
85,1.017251,60,-1
86,1.019898,60,-1
87,1.116329,491,1
88,1.132627,60,-1
89,1.14169,491,1
90,1.156632,491,1
91,1.15788,60,-1
92,1.172895,60,-1
