Serial number,time,size,direction
1,0.0,1514,1
2,0.000244,202,1
3,0.000273,265,1
4,0.01702,60,-1
5,0.017023,60,-1
6,0.017025,60,-1
7,0.046703,1514,1
8,0.048035,231,1
9,0.063632,60,-1
10,0.064784,60,-1
11,0.084368,1291,1
12,0.085192,491,1
13,0.085223,491,1
14,0.086708,1514,1
15,0.101267,60,-1
16,0.102002,60,-1
17,0.102005,60,-1
18,0.102759,1514,1
19,0.103628,1504,1
20,0.103655,60,-1
21,0.104198,491,1
22,0.105012,928,1
23,0.119691,60,-1
24,0.120577,60,-1
25,0.120997,60,-1
26,0.121875,60,-1
27,0.12212,1514,1
28,0.122472,779,1
29,0.133962,214,-1
30,0.136077,54,1
31,0.139307,60,-1
32,0.166204,491,1
33,0.167852,1514,1
34,0.167888,1514,1
35,0.167911,1514,1
36,0.187855,60,-1
37,0.190005,1514,1
38,0.191402,725,1
39,0.208249,60,-1
40,0.237103,491,1
41,0.277339,491,1
42,0.29416,60,-1
43,0.336436,491,1
44,0.38366,491,1
45,0.3937,60,-1
46,0.400469,60,-1
47,0.437759,491,1
48,0.454766,60,-1
49,0.462378,491,1
50,0.479302,60,-1
51,0.531758,491,1
52,0.548726,60,-1
53,0.576217,491,1
54,0.59315,60,-1
55,0.622736,491,1
56,0.639636,60,-1
57,0.676128,491,1
58,0.69299,60,-1
59,0.749373,491,1
60,0.765541,491,1
61,0.766234,60,-1
62,0.782373,60,-1
63,0.84092,491,1
64,0.85777,60,-1
65,0.87703,491,1
66,0.893974,60,-1
67,0.945278,491,1
68,0.962194,60,-1
69,0.977959,491,1
70,0.994911,60,-1
71,1.023969,491,1
72,1.040905,60,-1
73,1.072874,491,1
74,1.089767,60,-1
75,1.142506,491,1
76,1.159363,60,-1
77,1.165323,491,1
78,1.182105,60,-1
79,1.236836,491,1
80,1.253666,60,-1
81,1.261295,491,1
82,1.278148,60,-1
83,1.330505,491,1
84,1.347352,60,-1
85,1.38006,491,1
86,1.396895,60,-1
87,1.449908,491,1
88,1.466808,60,-1
89,1.477652,491,1
90,1.494626,60,-1
91,1.540326,491,1
92,1.557311,60,-1
93,1.577235,491,1
94,1.594146,60,-1
95,1.636752,491,1
96,1.654106,60,-1
97,1.661465,491,1
98,1.678385,60,-1
99,1.73205,491,1
100,1.748919,60,-1
101,1.776406,491,1
102,1.793229,60,-1
103,1.824111,491,1
104,1.840919,60,-1
105,1.877907,491,1
106,1.894732,60,-1
107,1.94138,491,1
108,1.958162,60,-1
109,1.958163,99,-1
110,1.964674,491,1
111,2.033751,60,-1
112,2.035657,491,1
113,2.052591,60,-1
114,2.076451,491,1
115,2.09329,60,-1
116,2.093291,99,-1
117,2.1494,54,1
118,2.149504,491,1
119,2.177062,491,1
120,2.193861,60,-1
121,2.239396,491,1
122,2.278013,491,1
123,2.294848,60,-1
124,2.337202,491,1
125,2.37077,491,1
126,2.387609,60,-1
127,2.443094,491,1
128,2.499602,491,1
129,2.513825,60,-1
130,2.516633,60,-1
131,2.527283,491,1
132,2.544218,60,-1
133,2.591284,491,1
134,2.608173,60,-1
135,2.643967,491,1
136,2.660843,60,-1
137,2.670333,491,1
138,2.687325,60,-1
139,2.75314,491,1
140,2.766469,491,1
141,2.770038,60,-1
142,2.783271,60,-1
143,2.852786,491,1
144,2.869575,60,-1
145,2.882861,491,1
146,2.899675,60,-1
147,2.931517,491,1
148,2.948358,60,-1
149,2.973939,491,1
150,2.9908,60,-1
151,3.08168,491,1
152,3.083165,491,1
153,3.098556,60,-1
154,3.100051,60,-1
155,3.147062,491,1
