Serial number,time,size,direction
1,0.0,291,1
2,0.011,1078,1
3,0.011337,815,1
4,0.016511,60,-1
5,0.027695,60,-1
6,0.028007,60,-1
7,0.049613,1078,1
8,0.050975,667,1
9,0.066298,60,-1
10,0.067549,60,-1
11,0.074644,1078,1
12,0.075246,1078,1
13,0.075277,1078,1
14,0.076855,1078,1
15,0.076885,1078,1
16,0.076907,608,1
17,0.091182,60,-1
18,0.091834,60,-1
19,0.091835,60,-1
20,0.093247,1078,1
21,0.093563,60,-1
22,0.093567,60,-1
23,0.093569,60,-1
24,0.09357,99,-1
25,0.09414,1078,1
26,0.095217,191,1
27,0.095245,491,1
28,0.095976,54,1
29,0.110762,60,-1
30,0.111759,60,-1
31,0.130096,1078,1
32,0.132123,1078,1
33,0.132155,1078,1
34,0.132179,1078,1
35,0.132208,1078,1
36,0.13223,1078,1
37,0.137042,220,-1
38,0.148737,60,-1
39,0.148885,60,-1
40,0.149132,60,-1
41,0.150451,1078,1
42,0.150826,1078,1
43,0.150859,121,1
44,0.167407,60,-1
45,0.184394,491,1
46,0.21225,491,1
47,0.228989,60,-1
48,0.2783,491,1
49,0.327221,491,1
50,0.337227,60,-1
51,0.344065,60,-1
52,0.373404,491,1
53,0.396116,60,-1
54,0.425738,491,1
55,0.442475,60,-1
56,0.488174,491,1
57,0.507272,60,-1
58,0.529809,491,1
59,0.546399,60,-1
60,0.583188,491,1
61,0.599793,60,-1
62,0.6146,491,1
63,0.631096,60,-1
64,0.689274,491,1
65,0.705759,60,-1
66,0.723244,491,1
67,0.739731,60,-1
68,0.773539,491,1
69,0.790017,60,-1
70,0.820712,491,1
71,0.8372,60,-1
72,0.892354,491,1
73,0.908975,60,-1
74,0.944766,491,1
75,0.96142,60,-1
76,0.982674,491,1
77,0.999333,60,-1
78,1.016709,491,1
79,1.03322,60,-1
80,1.092397,491,1
81,1.109071,60,-1
82,1.1286,491,1
83,1.145958,60,-1
84,1.179968,491,1
85,1.196533,60,-1
86,1.218884,491,1
87,1.235399,60,-1
88,1.291329,491,1
89,1.30786,60,-1
90,1.31685,491,1
91,1.333388,60,-1
92,1.388982,491,1
93,1.405647,60,-1
94,1.417562,491,1
95,1.434242,60,-1
96,1.492456,491,1
97,1.509134,60,-1
98,1.527148,491,1
99,1.543778,60,-1
100,1.573902,491,1
101,1.590401,60,-1
102,1.643339,491,1
103,1.659864,60,-1
104,1.684853,491,1
105,1.701365,60,-1
106,1.730485,491,1
107,1.747018,60,-1
108,1.782267,491,1
109,1.798761,60,-1
110,1.817169,491,1
111,1.83363,60,-1
112,1.89261,491,1
113,1.909189,60,-1
114,1.929676,491,1
115,1.946241,60,-1
116,1.972344,491,1
117,1.989231,60,-1
118,2.020078,491,1
119,2.03668,60,-1
120,2.036681,99,-1
121,2.098802,491,1
122,2.13445,491,1
123,2.150887,60,-1
124,2.167107,54,1
125,2.233563,491,1
126,2.276751,491,1
127,2.290573,491,1
128,2.293266,60,-1
129,2.347322,60,-1
130,2.34991,491,1
131,2.366426,60,-1
132,2.382637,491,1
133,2.399157,60,-1
134,2.422183,491,1
135,2.438817,60,-1
136,2.488893,491,1
137,2.505464,60,-1
138,2.544219,491,1
139,2.560752,60,-1
140,2.587912,491,1
141,2.604424,60,-1
142,2.624447,491,1
143,2.64099,60,-1
144,2.723691,491,1
145,2.729981,491,1
146,2.74039,60,-1
147,2.746582,60,-1
148,2.791967,491,1
149,2.808501,60,-1
150,2.826778,491,1
151,2.843322,60,-1
152,2.89191,491,1
153,2.908456,60,-1
154,2.916911,491,1
155,2.933476,60,-1
156,2.933479,99,-1
157,2.938082,54,1
158,2.983364,491,1
159,3.042944,491,1
160,3.057413,60,-1
161,3.059454,60,-1
162,3.089328,491,1
163,3.105868,60,-1
164,3.126671,491,1
165,3.143294,60,-1
166,3.180717,491,1
167,3.197288,60,-1
168,3.223763,491,1
169,3.240305,60,-1
170,3.29594,491,1
171,3.312485,60,-1
172,3.32958,491,1
173,3.346245,60,-1
174,3.386691,491,1
175,3.403316,60,-1
176,3.422616,491,1
177,3.439181,60,-1
178,3.493103,491,1
179,3.509701,60,-1
180,3.528813,491,1
181,3.545444,60,-1
182,3.576115,491,1
183,3.592623,60,-1
184,3.623227,491,1
185,3.630618,150,-1
186,3.631827,54,1
187,3.686691,491,1
188,3.697186,60,-1
189,3.703239,60,-1
190,3.742369,491,1
191,3.758916,60,-1
192,3.78877,491,1
193,3.80529,60,-1
194,3.816761,491,1
195,3.833321,60,-1
196,3.89275,491,1
197,3.909245,60,-1
198,3.929318,491,1
199,3.945917,60,-1
200,3.981391,491,1
201,3.998137,60,-1
202,4.025173,491,1
203,4.041738,60,-1
204,4.088659,491,1
205,4.105225,60,-1
206,4.129573,491,1
207,4.146147,60,-1
208,4.183706,491,1
209,4.200277,60,-1
210,4.214832,491,1
211,4.227463,171,-1
212,4.228821,54,1
213,4.277334,60,-1
214,4.294881,491,1
215,4.311399,60,-1
216,4.325758,491,1
217,4.342308,60,-1
218,4.37447,491,1
219,4.391079,60,-1
220,4.44267,491,1
221,4.45924,60,-1
222,4.485172,491,1
223,4.501729,60,-1
224,4.529704,491,1
225,4.546361,60,-1
226,4.569324,216,-1
227,4.569699,1514,-1
228,4.569875,770,-1
229,4.57079,54,1
230,4.571657,54,1
231,4.572459,54,1
232,4.578711,1514,-1
233,4.578951,1514,-1
234,4.578954,1267,-1
235,4.579192,1078,-1
236,4.581583,54,1
237,4.58178,54,1
238,4.581922,54,1
239,4.582335,54,1
240,4.585063,491,1
241,4.629139,1514,-1
242,4.629259,1514,-1
243,4.629309,1267,-1
244,4.629433,1514,-1
245,4.629507,1514,-1
246,4.629522,328,-1
247,4.629651,1030,-1
248,4.629788,1514,-1
249,4.629892,1514,-1
250,4.630085,1267,-1
251,4.630779,491,1
252,4.632885,54,1
253,4.633826,54,1
254,4.634489,54,1
255,4.635693,54,1
256,4.636601,54,1
257,4.649486,1514,-1
258,4.649678,1514,-1
259,4.650317,1514,-1
260,4.650351,391,-1
261,4.652191,1514,-1
262,4.652296,1514,-1
263,4.652483,1267,-1
264,4.652795,54,1
265,4.652958,54,1
266,4.653206,1514,-1
267,4.653335,1514,-1
268,4.653535,1514,-1
269,4.655048,54,1
270,4.655866,54,1
271,4.656281,54,1
272,4.657064,99,1
273,4.669389,1514,-1
274,4.669521,1514,-1
275,4.669641,1514,-1
276,4.66984,1514,-1
277,4.67146,54,1
278,4.671595,1514,-1
279,4.671794,1514,-1
280,4.672425,1514,-1
281,4.67262,1514,-1
282,4.672964,1514,-1
283,4.673093,1514,-1
284,4.673303,1514,-1
285,4.673612,99,1
286,4.673691,54,1
287,4.676877,54,1
288,4.676948,54,1
289,4.677539,54,1
290,4.688263,1514,-1
291,4.688455,1514,-1
292,4.690197,1105,-1
293,4.699827,491,1
294,4.701523,54,1
295,4.726393,491,1
296,4.726548,91,1
297,4.726743,91,1
298,4.742862,60,-1
299,4.743193,60,-1
300,4.769335,397,1
301,4.837241,60,-1
302,5.042947,160,-1
303,5.075411,152,-1
304,5.089584,54,1
